variable,unit,category,description,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,blue_smr_ccs,gray_smr,green_pem
battery_utility_capex_energy,$/kWh (real 2024 USD),technology_costs,Utility-scale Li-ion battery energy capacity cost,461.180391,369.564259,355.046754,340.529451,326.011798,311.494042,296.981076,292.256967,287.532858,282.804097,278.079992,273.360859,268.632074,263.907976,259.183877,254.459779,249.730937,245.006843,240.287826,235.563737,230.834867,226.110782,221.3867,216.662618,211.933664,207.209587,202.490746,,,
battery_utility_capex_power,$/kW (real 2024 USD),technology_costs,Utility-scale Li-ion battery power capacity cost (4-hr duration),1844.721566,1478.257035,1420.187015,1362.117806,1304.047191,1245.976168,1187.924306,1169.027869,1150.131433,1131.216387,1112.319967,1093.443436,1074.528297,1055.631902,1036.735508,1017.839116,998.923748,980.027372,961.151303,942.254949,923.339466,904.44313,885.546799,866.650473,847.734658,828.838346,809.962985,,,
battery_utility_lcos,$/MWh (real 2024 USD),technology_costs,Utility-scale battery levelized cost of storage (4-hr),218.31,188.85,172.95,160.43,154.65,151.04,147.93,148.14,148.17,149.28,148.41,145.92,142.82,139.92,138.78,136.08,133.87,132.25,131.2,130.08,129.17,128.01,126.88,125.47,124.72,123.81,123.0,,,
battery_utility_rte,fraction (0-1),technology_costs,Utility-scale battery round-trip efficiency,0.86,0.8608,0.8615,0.8623,0.8631,0.8638,0.8646,0.8654,0.8662,0.8669,0.8677,0.8685,0.8692,0.87,0.8708,0.8715,0.8723,0.8731,0.8738,0.8746,0.8754,0.8762,0.8769,0.8777,0.8785,0.8792,0.88,,,
ccus_cost_transport_storage,$/tonne CO2 (real 2024 USD),ccus,Cost of CO2 transport and storage per tonne,18.0,17.5,16.9,16.4,15.8,15.3,14.7,14.2,13.6,13.1,12.5,12.0,11.9,11.7,11.6,11.5,11.3,11.2,11.1,10.9,10.8,10.7,10.5,10.4,10.3,10.1,10.0,,,
coal_ccs_capex,$/kW (real 2024 USD),technology_costs,Coal with CCS (90% capture) capital cost,6907.938454,6808.133629,6708.197481,6608.261334,6508.325186,6408.389039,6308.452891,6208.516744,6108.580597,6009.30106,5908.183013,5808.772154,5744.292984,5679.682492,5615.072,5550.461508,5485.851016,5421.240523,5356.630031,5292.019539,5227.409047,5162.798555,5098.188063,5033.57757,4968.967078,4904.356586,4839.746094,,,
csp_capex,$/kW (real 2024 USD),technology_costs,Concentrating solar power (tower + TES) capital cost,7414.229259,6916.40217,6418.575081,5920.747992,5422.920903,4925.093814,4427.266725,4373.337531,4319.408337,4265.479143,4211.549949,4157.620755,4103.691561,4049.762367,3995.833173,3941.903979,3887.974785,3834.045591,3780.116397,3726.187203,3672.258009,3618.328815,3564.399621,3510.470427,3456.541233,3402.61204,3348.682846,,,
electrolyzer_alkaline_capex,$/kW (real 2024 USD),technology_costs,Alkaline electrolyzer capital cost,500,442,383,325,267,208,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,,,
electrolyzer_efficiency,kWh/kg H2,technology_costs,Electrolyzer system efficiency (electricity per kg H2),54.5,54.2,54.0,53.7,53.4,53.2,52.9,52.6,52.4,52.1,51.8,51.6,51.3,51.0,50.8,50.5,50.3,50.0,49.7,49.5,49.2,48.9,48.7,48.4,48.1,47.9,47.6,,,
electrolyzer_pem_capex,$/kW (real 2024 USD),technology_costs,PEM electrolyzer capital cost,1100,958,817,675,533,392,250,242,233,225,217,208,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,,,
