variable,unit,category,description,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,blue_smr_ccs,gray_smr,green_pem
battery_utility_capex_energy,$/kWh (real 2024 USD),technology_costs,Utility-scale Li-ion battery energy capacity cost,581.828665,573.964283,553.500892,533.037771,512.574948,492.112455,471.65033,468.609632,465.568933,462.528234,459.487536,456.446838,453.406139,450.36544,447.324742,444.284043,441.243344,438.202646,435.161947,432.121249,429.08055,426.039852,422.999153,419.958455,416.917756,413.877057,410.836359,,,
battery_utility_capex_power,$/kW (real 2024 USD),technology_costs,Utility-scale Li-ion battery power capacity cost (4-hr duration),2327.31466,2295.857131,2214.00357,2132.151086,2050.299793,1968.449821,1886.601321,1874.438527,1862.275732,1850.112938,1837.950144,1825.78735,1813.624555,1801.461761,1789.298967,1777.136172,1764.973378,1752.810584,1740.647789,1728.484995,1716.322201,1704.159407,1691.996612,1679.833818,1667.671024,1655.508229,1643.345435,,,
battery_utility_lcos,$/MWh (real 2024 USD),technology_costs,Utility-scale battery levelized cost of storage (4-hr),251.94,245.94,228.4,214.11,206.44,200.75,195.24,196.1,195.59,196.8,195.72,193.31,190.98,188.25,185.26,180.77,177.18,174.82,173.54,172.75,172.3,171.68,171.5,170.99,170.33,169.91,169.17,,,
battery_utility_rte,fraction (0-1),technology_costs,Utility-scale battery round-trip efficiency,0.86,0.8608,0.8615,0.8623,0.8631,0.8638,0.8646,0.8654,0.8662,0.8669,0.8677,0.8685,0.8692,0.87,0.8708,0.8715,0.8723,0.8731,0.8738,0.8746,0.8754,0.8762,0.8769,0.8777,0.8785,0.8792,0.88,,,
ccus_cost_transport_storage,$/tonne CO2 (real 2024 USD),ccus,Cost of CO2 transport and storage per tonne,18.0,17.5,16.9,16.4,15.8,15.3,14.7,14.2,13.6,13.1,12.5,12.0,11.9,11.7,11.6,11.5,11.3,11.2,11.1,10.9,10.8,10.7,10.5,10.4,10.3,10.1,10.0,,,
coal_ccs_capex,$/kW (real 2024 USD),technology_costs,Coal with CCS (90% capture) capital cost,6978.983731,6914.504561,6850.156713,6785.677543,6721.329695,6656.850525,6592.371355,6528.023507,6463.544337,6399.327811,6334.979963,6270.238149,6205.890301,6141.411131,6076.931961,6012.584113,5948.104943,5883.757095,5819.277925,5754.798755,5690.450907,5625.971737,5561.62389,5497.14472,5432.665549,5368.317702,5303.838532,,,
csp_capex,$/kW (real 2024 USD),technology_costs,Concentrating solar power (tower + TES) capital cost,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,8409.883437,,,
electrolyzer_alkaline_capex,$/kW (real 2024 USD),technology_costs,Alkaline electrolyzer capital cost,500,442,383,325,267,208,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,,,
electrolyzer_efficiency,kWh/kg H2,technology_costs,Electrolyzer system efficiency (electricity per kg H2),54.5,54.2,54.0,53.7,53.4,53.2,52.9,52.6,52.4,52.1,51.8,51.6,51.3,51.0,50.8,50.5,50.3,50.0,49.7,49.5,49.2,48.9,48.7,48.4,48.1,47.9,47.6,,,
electrolyzer_pem_capex,$/kW (real 2024 USD),technology_costs,PEM electrolyzer capital cost,1100,958,817,675,533,392,250,242,233,225,217,208,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,,,
