variable,unit,category,description,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,blue_smr_ccs,gray_smr,green_pem
battery_utility_capex_energy,$/kWh (real 2024 USD),technology_costs,Utility-scale Li-ion battery energy capacity cost,515.041284,454.773252,440.952879,427.131491,413.308968,399.485165,385.659914,380.13664,374.613537,369.090613,363.567876,358.045331,352.522987,347.000853,341.478936,335.957247,330.435795,324.914591,319.393644,313.872968,308.352573,302.832474,297.312683,291.793216,286.274088,280.755316,275.236919,,,
battery_utility_capex_power,$/kW (real 2024 USD),technology_costs,Utility-scale Li-ion battery power capacity cost (4-hr duration),2060.165136,1819.093009,1763.811515,1708.525966,1653.235872,1597.940659,1542.639657,1520.546558,1498.454148,1476.362453,1454.271502,1432.181323,1410.091948,1388.003411,1365.915746,1343.82899,1321.743182,1299.658364,1277.574578,1255.491871,1233.410293,1211.329895,1189.250732,1167.172864,1145.096353,1123.021266,1100.947674,,,
battery_utility_lcos,$/MWh (real 2024 USD),technology_costs,Utility-scale battery levelized cost of storage (4-hr),233.32,212.67,197.59,185.84,181.45,178.12,175.43,176.48,175.43,175.27,173.2,170.37,167.61,165.25,162.41,158.78,155.73,153.16,150.49,148.16,145.96,144.14,142.55,141.15,139.57,138.08,136.72,,,
battery_utility_rte,fraction (0-1),technology_costs,Utility-scale battery round-trip efficiency,0.86,0.8608,0.8615,0.8623,0.8631,0.8638,0.8646,0.8654,0.8662,0.8669,0.8677,0.8685,0.8692,0.87,0.8708,0.8715,0.8723,0.8731,0.8738,0.8746,0.8754,0.8762,0.8769,0.8777,0.8785,0.8792,0.88,,,
ccus_cost_transport_storage,$/tonne CO2 (real 2024 USD),ccus,Cost of CO2 transport and storage per tonne,18.0,17.5,16.9,16.4,15.8,15.3,14.7,14.2,13.6,13.1,12.5,12.0,11.9,11.7,11.6,11.5,11.3,11.2,11.1,10.9,10.8,10.7,10.5,10.4,10.3,10.1,10.0,,,
coal_ccs_capex,$/kW (real 2024 USD),technology_costs,Coal with CCS (90% capture) capital cost,6943.526753,6861.319095,6779.111436,6696.903777,6614.827441,6532.619782,6450.412123,6368.204464,6286.128128,6203.657825,6122.238099,6039.505152,5975.025982,5910.546812,5846.067642,5781.457149,5716.977979,5652.498809,5587.888317,5523.409147,5458.929977,5394.450807,5329.840315,5265.361145,5200.881975,5136.271483,5071.792313,,,
csp_capex,$/kW (real 2024 USD),technology_costs,Concentrating solar power (tower + TES) capital cost,7683.875229,7320.871125,6957.86702,6594.862916,6231.858812,5868.854708,5505.850604,5467.329751,5428.808899,5390.288046,5351.767193,5313.24634,5274.725487,5236.204634,5197.683782,5159.162929,5120.642076,5082.121223,5043.60037,5005.079517,4966.558665,4928.037812,4889.516959,4850.996106,4812.475253,4773.9544,4735.433548,,,
electrolyzer_alkaline_capex,$/kW (real 2024 USD),technology_costs,Alkaline electrolyzer capital cost,500,442,383,325,267,208,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,,,
electrolyzer_efficiency,kWh/kg H2,technology_costs,Electrolyzer system efficiency (electricity per kg H2),54.5,54.2,54.0,53.7,53.4,53.2,52.9,52.6,52.4,52.1,51.8,51.6,51.3,51.0,50.8,50.5,50.3,50.0,49.7,49.5,49.2,48.9,48.7,48.4,48.1,47.9,47.6,,,
electrolyzer_pem_capex,$/kW (real 2024 USD),technology_costs,PEM electrolyzer capital cost,1100,958,817,675,533,392,250,242,233,225,217,208,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,,,
electrolyzer_soec_capex,$/kW (real 2024 USD),technology_costs,Solid oxide electrolyzer (SOEC) capital cost,2500,2318,2136,1955,1773,1591,1409,1227,1045,864,682,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,,,
geothermal_capex,$/kW (real 2024 USD),technology_costs,Geothermal power plant capital cost (hydrothermal),7429.311754,7323.78134,7225.620224,7133.889281,7047.814471,6966.750698,6890.154986,6817.566237,6748.589738,6682.885142,6620.157033,6560.147439,6528.122691,6496.258068,6464.552767,6433.005993,6401.616953,6370.384858,6339.308924,6308.388369,6277.622417,6247.010295,6216.551233,6186.244467,6156.089235,6126.084778,6096.230344,,,
h2_carbon_intensity_by_pathway,kg CO2e/kg H2,emissions,H2 production carbon intensity by pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'2024': 0.46500000000000047, '2025': 0.46500000000000047, '2026': 0.46500000000000047, '2027': 0.46500000000000047, '2028': 0.46500000000000047, '2029': 0.46500000000000047, '2030': 0.46500000000000047, '2031': 0.46500000000000047, '2032': 0.46500000000000047, '2033': 0.46500000000000047, '2034': 0.46500000000000047, '2035': 0.46500000000000047, '2036': 0.46500000000000047, '2037': 0.46500000000000047, '2038': 0.46500000000000047, '2039': 0.46500000000000047, '2040': 0.46500000000000047, '2041': 0.46500000000000047, '2042': 0.46500000000000047, '2043': 0.46500000000000047, '2044': 0.46500000000000047, '2045': 0.46500000000000047, '2046': 0.46500000000000047, '2047': 0.46500000000000047, '2048': 0.46500000000000047, '2049': 0.46500000000000047, '2050': 0.46500000000000047}","{'2024': 9.3, '2025': 9.3, '2026': 9.3, '2027': 9.3, '2028': 9.3, '2029': 9.3, '2030': 9.3, '2031': 9.3, '2032': 9.3, '2033': 9.3, '2034': 9.3, '2035': 9.3, '2036': 9.3, '2037': 9.3, '2038': 9.3, '2039': 9.3, '2040': 9.3, '2041': 9.3, '2042': 9.3, '2043': 9.3, '2044': 9.3, '2045': 9.3, '2046': 9.3, '2047': 9.3, '2048': 9.3, '2049': 9.3, '2050': 9.3}","{'2024': 17.27, '2025': 16.53, '2026': 15.02, '2027': 13.92, '2028': 13.22, '2029': 12.39, '2030': 11.1, '2031': 10.27, '2032': 7.55, '2033': 6.93, '2034': 6.33, '2035': 5.82, '2036': 5.33, '2037': 4.64, '2038': 4.04, '2039': 3.4, '2040': 3.19, '2041': 2.93, '2042': 2.63, '2043': 2.47, '2044': 2.4, '2045': 2.36, '2046': 2.39, '2047': 2.45, '2048': 2.52, '2049': 2.59, '2050': 2.65}"
