year,grid_import_capacity_[MWh],grid_export_capacity,P_wind,P_solar,wind_PPA,solar_PPA,grid_import_tariff,export_revenues,max_loads,min_loads,RES,RES_constraint,RES_grid_constraint,NH3_potential_3h,NH3_potential_2h,NH3_potential,excess_after_min,NH3_supplied_after_RES,H2_supplied_after_RES,min_loads_after_RES,excess_after_max,max_loads_after_RES,min_loads_after_RES_pot_curtailment,H2_min_required,H2_min_pot_curtailment,min_loads_supplied_after_RES,wind_prod_ratio,solar_prod_ratio,H2_shortfall,H2_SOC_target,H2_charging,H2_wind_charging,H2_solar_charging,H2_storage,H2_SOC_[%],RES_excess_after_H2,H2_discharge,min_loads_after_H2,excess_after_H2_charging,H2_SOC_target_remaining,BESS_shortfall,SOC_target,NH3_potential_inclu_SOCs_excess,NH3_target,RES_available,grid_import,grid_to_HB,grid_to_H2,NH3_target_after_grid,RES_BESS_charging,P_wind_BESS_charging,P_solar_BESS_charging,E_bat,SOC_[%],RES_excess,H2_SOC_excess,BESS_SOC_excess,SOCs_excess,BESS_discharge,RES_to_plant,RES_to_H2,RES_to_HB,BESS_to_H2,BESS_to_HB,grid_export,wind_grid_export,solar_grid_export,RES_excess_after_grid_export,H2_charging_after_grid_export,H2_wind_charging_after_grid_export,H2_solar_charging_after_grid_export,BESS_charging_after_grid_export,BESS_wind_charging_after_grid_export,BESS_solar_charging_after_grid_export,NH3_target_remainder,RES_final_curtailment,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,final_H2_prod_[MWh],final_NH3_prod_[MWh],final_H2_prod_[tonnes],final_NH3_prod_[tonnes],grey_H2_prod_[tonnes],green_H2_prod_[tonnes],green_NH3_prod_[tonnes],grey_NH3_prod_[tonnes],max_energy_deficit,min_energy_deficit,NH3_cf_[%],H2_cf_[%],trip_event,test_ramp_rates,shortfall_events,BESS_usable_energy,HB_loads,HB_checks,total_H2_charging,solar_transmission_losses,wind_transmission_losses,wind_cost,solar_cost,grid_import_cost,elec_feed_water_m3,elec_cooling_water_m3,HB_cooling_water_m3,waste_water_m3,total_water_m3,waste_water_energy_MWh,water_consumption_cost,solar_export_revenues,wind_export_revenues,total_grid_export_revenues,Electrolyser_SOH,gross_solar_NPV,solar_cost_NPV,PV_opex,final_solar_curtailment_NPV,total_solar_BESS_charging_NPV,total_solar_H2_charging_NPV,PV_variable_opex_NPV,direct_solar_NPV,gross_wind_NPV,wind_cost_NPV,wind_opex,final_wind_curtailment_NPV,total_wind_BESS_charging_NPV,total_wind_H2_charging_NPV,wind_variable_opex_NPV,direct_wind_NPV,BESS_opex,BESS_NPV,electrolyser_opex_NPV,H2_storage_opex_NPV,H2_discharge_storage_NPV,HB_opex_NPV,NH3_storage_opex_NPV,NH3_fixed_opex_NPV,process_plant_fixed_opex_NPV,water_cost_NPV,H2_water_cost_NPV,NH3_water_cost_NPV,grid_import_NPV,grid_import_cost_NPV,solar_grid_export_NPV,wind_grid_export_NPV,max_energy_deficit_NPV,min_energy_deficit_NPV,grid_OPEX_NPV,final_NH3_prod_NPV,max_loads_NPV,min_loads_NPV,final_H2_prod_[tonnes]_NPV,final_NH3_prod_[tonnes]_NPV,H2_pipeline_opex_NPV,H2O_pipeline_opex_NPV,BESS_aug_cost,elect_aug_cost,electrolyser_stack_replacment,HB_refurbishment,grid_fixed_opex
1,876000.0,350400.0,0.0,906117.1568627452,0.0,0.0,0.0,0.0,995991.700815734,588014.6471377568,906117.1568627452,662460.294117647,705242.9914114407,705222.3302544161,705229.2173067576,670018.7354831742,672717.9411764707,17574.83795170959,888542.3189110357,292200.78431372554,243656.8627450981,1089539.705882353,48543.92156862739,273577.2751579971,29920.412412899,233399.21568627452,0.0,4326.0,270885.22848808946,4724.277600614723,183703.1319402575,0.0,183703.1319402575,5963.454828128064,0.0052128101644476075,722414.0249224876,281798.0821862244,18791.112461513512,632568.4654026898,350.5158029275571,0.0,57600.0,3257513.9004360107,648598.4035938773,722414.0249224876,35169.1656976152,21652.728865622765,13516.43683199243,0.0,0.0,0.0,0.0,0.0,0.0,390782.86921245,5471239.168732628,0.0,7006673.6434567915,0.0,331631.1557100376,309026.6650499032,22604.490660134416,0.0,0.0,99719.32551581658,0.0,99719.32551581658,192704.90313177943,98358.64056485402,0.0,98358.64056485402,0.0,0.0,0.0,0.0,166829.84729697753,166829.84729697753,0.0,613692.9282151491,0.0,604604.8743870072,648598.4035938773,11511.897836767082,63224.599322510316,257.3578985527881,11249.51917814409,61810.54493485763,1414.0543876526822,0.0,21000.0,100091.88924311404,69.01094331548992,0.0,67599.99999999907,0.0,0.0,44257.21952575717,5886.999999999994,282061.7725051116,25875.055834801893,0.0,0.0,0.0,0.0,101534.93892028567,0.0,371760.6440163607,483499.7091442175,956795.2920808638,1063.6993601172785,765436.233664691,0.0,0.0,0.0,198.0,906117.1568627452,0.0,22811844.518835,166829.84729697753,0.0,282061.7725051115,295.7149238263071,613692.9282151491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5304000.0,0.0,281798.0821862244,39151.295192902355,0.0,0.0,0.0,765436.233664691,0.0,0.0,35169.1656976152,0.0,99719.32551581658,0.0,0.0,21000.0,0.02,648598.4035938773,995991.700815734,588014.6471377568,11511.897836767082,63224.599322510316,0.02,0.02,0.0,0.0,0.0,0.0,0.0
2,876000.0,350400.0,0.0,901133.5125000002,0.0,0.0,0.0,0.0,982347.1661925581,561039.4369883467,901133.5125000002,661565.5125,704439.7062327825,704419.0450757577,704425.9321280997,669216.2950757577,667831.425,17573.56270661155,883559.9497933886,292297.9125,239568.0000000001,1090434.4875,52729.912499999904,273673.12809917354,34105.12809917347,233302.08750000002,0.0,4326.0,270978.35630165285,4725.807676111543,201842.41345555137,0.0,201842.41345555137,4389.889286036888,0.003837315809472805,699291.0990444487,282927.3019313318,18624.784400826426,627585.0497197139,409.80223170609645,0.0,57600.0,1043496.1881308554,633237.645723598,699291.0990444487,20568.0287145567,20531.50226114143,36.526453415268804,0.0,0.0,0.0,0.0,0.0,0.0,369548.78396673925,-1428467.2542096262,0.0,366671.42177892954,0.0,329742.31507770956,307463.6319244661,22278.68315324337,0.0,0.0,99258.0855310458,0.0,99258.0855310458,189206.05116183165,81084.64727386179,0.0,81084.64727386179,0.0,0.0,0.0,0.0,163384.84790086182,163384.84790086182,0.0,612669.3758071226,0.0,590427.2191072945,633237.645723598,11130.64366063837,61157.407734835506,0.6885911150352682,11129.959616625029,61153.62426717048,3.7834676650289456,0.0,1.4210854715202004e-14,97721.41274036121,67.3926742503475,0.0,27039.999999999374,0.0,0.0,42810.185414384796,6131.999999999992,282927.0607294132,25821.203260969865,0.0,0.0,0.0,0.0,98172.27708683044,0.0,359605.5574808328,467487.0337468116,925264.8683144747,1028.4714742429856,740211.8946515799,0.0,0.0,0.0,196.02,830537.7995391707,0.0,21340112.61439403,150585.1132726837,0.0,260762.2679533762,276.0607906241937,564672.2357669333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.29032258064516,0.0,4961806.451612903,0.0,260762.49025929198,36625.40518045704,0.0,0.0,0.0,682222.9443793363,0.0,0.0,18956.708492678987,0.0,91482.10648022655,0.0,0.0,1.3097561949494934e-14,0.018709677419354837,583629.1665655281,905389.0932650305,517087.0386989371,10258.657751740433,56366.27440998665,0.018709677419354837,0.018709677419354837,0.0,0.0,0.0,0.0,0.0
3,876000.0,350400.0,0.0,896177.2781812501,0.0,0.0,0.0,0.0,981313.7626645868,560422.6508768419,896177.2781812501,660660.216375,703627.7830358816,703607.1218788567,703614.0089311985,668405.2120038568,662972.6621625002,17572.294475361552,878604.9837058886,292395.38398125005,235517.06180625016,1091339.783625,56878.32217499986,273769.3313491735,38252.26954292343,233204.61601875,0.0,4326.0,271071.2716575929,4727.334262951557,202195.2953652076,0.0,202195.2953652076,4389.374762519549,0.003836866051153453,693981.9828160426,283105.6119874854,18626.052632076426,622532.3655865456,411.5644513077793,0.0,57600.0,1042397.0937535821,632169.6165607156,693981.9828160426,20378.956545624478,20341.659640616006,37.296905008473686,0.0,0.0,0.0,0.0,0.0,0.0,365296.93478843675,-1437408.407842516,0.0,365449.67111121124,0.0,328685.0480276058,306683.5321736905,22001.51585391526,0.0,0.0,98726.34498355241,0.0,98726.34498355241,185660.51212817398,80910.07767671038,0.0,80910.07767671038,0.0,0.0,0.0,0.0,159890.4739811712,159890.4739811712,0.0,611790.4210695238,0.0,589826.2021206169,632169.6165607156,11009.221168612503,60490.25070647336,0.6961540105657265,11008.529474567587,60486.42568443728,3.8250220360754197,0.0,1.4210854715202004e-13,97556.59417761532,67.32407283650461,0.0,27039.999999999243,0.0,0.0,42343.175494531264,6131.9999999999845,283105.373041918,25770.03814700277,0.0,0.0,0.0,0.0,97101.3307071623,0.0,355682.6741540634,462387.2890817253,915171.2939429509,1017.2520359797957,732137.0351543607,0.0,0.0,0.0,194.0598,761262.5268587144,0.0,20190686.54666882,135819.8084318386,0.0,240485.35585119072,257.73868983653114,519688.6075894785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.626430801248697,0.0,4641689.906347553,0.0,240485.5588247662,34262.475813975936,0.0,0.0,0.0,621917.6751720025,0.0,0.0,17311.012377093997,0.0,83863.61569245676,0.0,0.0,1.2071485667737268e-13,0.017502601456815814,536999.822940148,833582.1637024246,476053.98362831393,9351.841125199095,51383.7632623104,0.017502601456815814,0.017502601456815814,0.0,0.0,0.0,0.0,0.0
4,876000.0,350400.0,0.0,891248.3031512534,0.0,0.0,0.0,0.0,980278.5445250515,559807.8187730218,891248.3031512534,659743.7690237281,702805.2353217017,702784.5741646772,702791.4612170183,667583.4997939895,658141.9012489315,17571.033219383426,873677.2699318699,292493.5980976781,231504.5341275252,1092256.230976272,60989.06397015293,273866.2842096235,42361.75008209837,233106.40190232187,0.0,4326.0,271164.0632998398,4728.858819753894,202542.85493856066,0.0,202542.85493856066,4388.793883830243,0.0038363582900614013,688705.4482126927,283277.96188396943,18627.313888054552,617506.1934175249,413.36133023309145,0.0,57600.0,1041245.3805341073,631097.6209124785,688705.4482126927,20191.216688392862,20153.15394525291,38.06274313993329,0.0,0.0,0.0,0.0,0.0,0.0,361077.00587257644,-1446631.3373427407,0.0,364097.9697433164,0.0,327628.44234011625,305900.97807309305,21727.46426702314,0.0,0.0,98187.82666152088,0.0,98187.82666152088,182154.30897391847,80734.87023713715,0.0,80734.87023713715,0.0,0.0,0.0,0.0,156435.87395194254,156435.87395194254,0.0,610906.1675158141,0.0,589216.7659919308,631097.6209124785,10888.95636073032,59829.454588965855,0.7034143848956547,10888.257320806893,59825.58967476314,3.864914202723377,0.0,5.684341886080802e-14,97391.16350572662,67.25451044309222,0.0,27039.99999999912,0.0,0.0,41880.61821227606,6131.999999999992,283277.72517569776,25718.435021975914,0.0,0.0,0.0,0.0,96040.5951016414,0.0,351797.1929831193,457336.16715067334,905173.955235434,1006.1395677314813,724139.1641883473,0.0,0.0,0.0,192.119202,697765.5142497619,0.0,19100748.90968279,122474.9126020646,0.0,221780.42514508832,240.62757659349455,478283.3859294106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.005370749555233,0.0,4342226.041421905,0.0,221780.61046591113,32051.993503396843,0.0,0.0,0.0,566934.4160339166,0.0,0.0,15807.867062512463,0.0,76872.04466061738,0.0,0.0,4.450317296861666e-14,0.016373401362827698,494091.4383127459,767468.0112265511,438278.07488224085,8525.05211827457,46840.964522394934,0.016373401362827698,0.016373401362827698,0.0,0.0,0.0,0.0,0.0
5,876000.0,350400.0,0.0,886346.4374839215,0.0,0.0,0.0,0.0,979249.8780936678,559197.6267252937,886346.4374839215,658813.9660419989,701973.3690768528,701952.707919828,701959.5949721696,666752.603338753,653338.5356896832,17569.77890031318,868776.6585836085,292592.0982057616,227532.47144192256,1093186.033958001,65059.62676383906,273963.52999863675,46431.058556714255,233007.9017942384,0.0,4326.0,271256.83603023645,4730.383069073344,202892.72670013388,0.0,202892.72670013388,4388.178581363217,0.0038358204382545604,683453.7107837877,283446.6914720638,18628.568207124794,612506.839949233,415.16811236294535,0.0,57600.0,1040049.0219701319,630028.14650606,683453.7107837877,20005.06929484158,19966.245297906364,38.82399693521454,0.0,0.0,0.0,0.0,0.0,0.0,356877.32504463295,-1456003.7128911682,0.0,362640.2033147141,0.0,326576.3857391547,305119.7249840579,21456.660755096815,0.0,0.0,97646.05344912481,0.0,97646.05344912481,178677.5413134791,80553.730282029,0.0,80553.730282029,0.0,0.0,0.0,0.0,153010.79378398118,153010.79378398118,0.0,610022.8427213177,0.0,588605.0059631559,630028.14650606,10769.95128322132,59175.58007571886,0.7103788642231963,10769.245194916612,59171.67689514621,3.9031805726549247,0.0,1.4210854715202004e-14,97226.12191258911,67.18468279456178,0.0,27039.999999999105,0.0,0.0,41422.90605300318,6131.999999999994,283446.4569821629,25666.747529497927,0.0,0.0,0.0,0.0,94990.97031801206,0.0,347952.4108452269,452337.9538952954,895281.3350585345,995.1434985696499,716225.0680468275,0.0,0.0,0.0,190.19800998,639564.7962409109,0.0,18067408.06853401,110408.65400994761,0.0,204527.67432519142,224.650816781313,440176.796123737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.424379088293605,0.0,4062082.425846298,0.0,204527.8435270738,29984.122954790593,0.0,0.0,0.0,516809.5908506557,0.0,0.0,14435.143558156124,0.0,70458.88112914255,0.0,0.0,1.0254187319957756e-14,0.015317052887806555,454612.1088837755,706601.5299049189,403502.6272686419,7771.319888791149,42699.5768392778,0.015317052887806555,0.015317052887806555,0.0,0.0,0.0,0.0,0.0
6,876000.0,350400.0,0.0,881471.5320777601,0.0,0.0,0.0,0.0,978222.7368588585,558594.7124302791,881471.5320777601,657873.0327421846,701131.6134006875,701110.9522436628,701117.8392960042,665911.8502579856,648562.12374339,17568.531479997822,863903.0005977622,292690.5916656299,223598.49933557535,1094126.9672578154,69092.09233005455,274060.7760381897,50462.27670261439,232909.4083343701,0.0,4326.0,271349.29639308335,4731.902187512726,203245.64402174164,0.0,203245.64402174164,4387.5141696497885,0.0038352396587847805,678225.8880560184,283609.6502386617,18629.815627440155,607534.448739114,416.9921867032543,0.0,57600.0,1038803.877168108,628958.4952618345,678225.8880560184,19820.983406492236,19781.406100925476,39.577305566753964,0.0,0.0,0.0,0.0,0.0,0.0,352698.02643933776,-1465568.7352941171,0.0,361065.538559488,0.0,325527.8616166806,304339.4502404966,21188.411376184013,0.0,0.0,97102.59840112022,0.0,97102.59840112022,175231.65411161794,80363.77392659959,0.0,80363.77392659959,0.0,0.0,0.0,0.0,149616.73625792362,149616.73625792362,0.0,609137.2795650219,0.0,587988.4454944045,628958.4952618345,10652.148335817916,58528.310681585084,0.7169925410261608,10651.43555150746,58524.3711621289,3.939519456187697,0.0,9.492850949754938e-12,97061.05302979116,67.1143072131497,0.0,27039.99999999984,0.0,0.0,40969.81747710949,6131.999999999992,283609.4179483412,25614.9178536943,0.0,0.0,0.0,0.0,93951.94832191402,0.0,344146.4668077203,447390.23010435246,885488.6452339869,984.2585062295757,708390.9161871895,0.0,0.0,0.0,188.2960298802,586218.6081673603,0.0,17087897.891967654,99501.92569568515,0.0,188613.14540804163,209.7328385801624,405103.9599290865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.880870760016597,0.0,3800012.5919207307,0.0,188613.29989165612,28049.66340932023,0.0,0.0,0.0,471112.1367093926,0.0,0.0,13181.8542995637,0.0,64577.63865608003,0.0,0.0,6.313177078093807e-12,0.014328855927302904,418285.9687122646,650562.5541046722,371490.8569748773,7084.162498925238,38923.985151591856,0.014328855927302904,0.014328855927302904,0.0,0.0,0.0,0.0,0.0
7,876000.0,350400.0,0.0,876623.4386513323,0.0,0.0,0.0,0.0,977191.3012328435,557994.2857715182,876623.4386513323,656924.307076413,700281.0815316245,700260.4203745996,700267.3074269412,665062.3154700458,643811.9820628013,17567.290920494193,859056.1477308383,292788.54341146897,219699.13157491936,1095075.692923587,73089.41183654958,274157.4872245251,54458.355649605786,232811.45658853106,0.0,4326.0,271441.48071746685,4733.416772175952,203598.75833063974,0.0,203598.75833063974,4386.823798642715,0.0038346361876247506,673024.6803206925,283769.1806992264,18631.05618694378,602589.4065905355,418.82242055924775,0.0,57600.0,1037529.5496616814,627890.2596862644,673024.6803206925,19636.717594964997,19595.446057160745,41.27153780424982,0.0,0.0,0.0,0.0,0.0,0.0,348540.3189286195,-1475227.6117992925,0.0,359424.001460492,0.0,324484.3613920731,303558.3927667278,20925.96862534529,0.0,0.0,96545.17197310759,0.0,96545.17197310759,171824.95469632754,80170.19225918439,0.0,80170.19225918439,0.0,0.0,0.0,0.0,146262.3153818973,146262.3153818973,0.0,608253.3119818973,0.0,587368.6148943562,627890.2596862644,10535.563690005547,57887.735260723,0.7402828549144593,10534.827534596672,57883.66777250918,4.067488213815711,0.0,9.36495325731812e-12,96896.20261338084,67.04355837168774,0.0,27039.999999999607,0.0,0.0,40521.41468250604,6131.999999999992,283768.9505898241,25562.639314430246,0.0,0.0,0.0,0.0,92923.67174584894,0.0,340379.88333305134,442493.6749802329,875797.2300591333,973.4860849565126,700637.7840473065,0.0,0.0,0.0,186.413069581398,537322.0330160735,0.0,16159573.594298378,89650.76815142916,0.0,173934.78512546077,195.80125161077078,372825.8814134509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.372427485176816,0.0,3554850.4892161665,0.0,173934.9261698892,26240.007705493117,0.0,0.0,0.0,429452.4900125465,0.0,0.0,12036.229645105052,0.0,59176.889180931066,0.0,0.0,5.740202122663179e-12,0.013404413609412394,384862.25210298423,598964.6106563818,342019.85804004426,6457.722040370524,35482.00313334236,0.013404413609412394,0.013404413609412394,0.0,0.0,0.0,0.0,0.0
8,876000.0,350400.0,0.0,871802.00973875,0.0,0.0,0.0,0.0,976161.4043471678,557394.5063307912,871802.00973875,655968.0703824081,699421.8073468703,699401.1461898457,699408.0332421875,664204.0328824689,639088.068886325,17566.057184067842,854235.9525546824,292886.0591475749,215833.93935634187,1096031.929617592,77052.11979123301,274253.7692242047,58419.82986786287,232713.94085242512,0.0,4326.0,271533.588392572,4734.930100301059,203943.27584782487,0.0,203943.27584782487,4386.160080805659,0.003834056014690261,667858.7338909252,283931.0078281548,18632.289923370136,597671.460352226,420.63216167080196,0.0,57600.0,1036258.8519158693,626818.2618386892,667858.7338909252,19455.066192522154,19412.101340572717,42.96485194943007,0.0,0.0,0.0,0.0,0.0,0.0,344426.5460729128,-1484764.2294529243,0.0,357814.95474602375,0.0,323432.1878180123,302766.9657431002,20665.222074912173,0.0,0.0,95986.54200667531,0.0,95986.54200667531,168452.50003292388,79987.50403331361,0.0,79987.50403331361,0.0,0.0,0.0,0.0,142942.4141886711,142942.4141886711,0.0,607362.9676991509,0.0,586740.710476188,626818.2618386892,10420.100039848297,57253.319164978515,0.7630253833025987,10419.341062642785,57249.12671781751,4.192447161003289,0.0,9.414691248821327e-12,96730.77160208969,66.97188796669192,0.0,27039.99999999979,0.0,0.0,40077.32341548488,6131.99999999999,283930.77988113853,25510.085844252797,0.0,0.0,0.0,0.0,91905.28235146201,0.0,336649.51669007353,437644.20167362853,866199.0007151641,962.817243681983,692959.2005721312,0.0,0.0,0.0,184.54893888558402,492503.9279580509,0.0,15279907.591471061,80751.93641825118,0.0,160399.97935030903,182.7923412750493,343115.34493678156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.896787002262183,0.0,3325505.2963635107,0.0,160400.10812358512,24547.103982558077,0.0,0.0,0.0,391470.91241360776,0.0,0.0,10990.679548183603,0.0,54225.32689912519,0.0,0.0,5.318607170848662e-12,0.012539612731385787,354106.15325824113,551459.2999230365,314886.8444022256,5886.5890901983585,32343.908665498166,0.012539612731385787,0.012539612731385787,0.0,0.0,0.0,0.0,0.0
9,876000.0,350400.0,0.0,867007.098685187,0.0,0.0,0.0,0.0,975137.8922323496,556789.6617806765,867007.098685187,655006.7517257051,698550.6482134551,698529.9870564303,698536.8741087718,663333.8598924461,634390.3645074501,17564.83023319183,849442.2684519952,292983.2658222632,212000.34695948186,1096993.248274295,80982.91886278137,274349.748948017,62349.40198853522,232616.73417773677,0.0,4326.0,271625.47812314605,4736.439849473287,204302.37713249246,0.0,204302.37713249246,4385.382533275781,0.0038333763402760308,662704.7215526946,284089.9564669561,18633.516874246146,592780.3364398814,422.52269379782837,0.0,57600.0,1034933.7185668832,625744.1646235567,662704.7215526946,19274.98914454425,19230.34925539522,44.6398891490326,0.0,0.0,0.0,0.0,0.0,0.0,340325.5025406383,-1494783.8000998884,0.0,356076.8600814985,0.0,322379.21901205624,301971.95293708204,20407.26607497418,0.0,0.0,95430.59217711295,0.0,95430.59217711295,165107.55683209293,79787.35353143243,0.0,79787.35353143243,0.0,0.0,0.0,0.0,139650.0604954522,139650.0604954522,0.0,606468.9496759812,0.0,586106.3234901559,625744.1646235567,10305.776015497899,56625.16475767063,0.7849236230503014,10304.995062273003,56620.85199051101,4.3127671596170405,0.0,2.842170943040401e-14,96565.01661580283,66.899477627001,0.0,27039.99999999891,0.0,0.0,39637.6153303694,6131.999999999994,284089.7306639249,25457.49633664073,0.0,0.0,0.0,0.0,90896.94445669149,0.0,332955.96877510316,432842.5926509118,856695.5058827067,952.2537038320061,685356.4047061652,0.0,0.0,0.0,182.70344949672818,451424.1072389693,0.0,14446485.386743007,72711.51987178608,0.0,147916.8431668028,170.64676884778362,315769.8530851864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.451833002116236,0.0,3110956.567565865,0.0,147916.96073554238,22963.419854651103,0.0,0.0,0.0,356844.1407275369,0.0,0.0,10035.897952637346,0.0,49687.79372414544,0.0,0.0,1.4798315752296077e-14,0.011730605458393155,325805.8686065633,507724.50779635075,289903.3656937737,5365.902706282428,29482.99326124969,0.011730605458393155,0.011730605458393155,0.0,0.0,0.0,2531434.9112426033,0.0
10,876000.0,350400.0,0.0,862238.5596424185,0.0,0.0,0.0,0.0,974115.8195132583,556178.9298732516,862238.5596424185,654037.0681245024,697670.6987213665,697650.037564342,697656.9246166835,662454.8911199617,629718.4975026592,17563.610030545642,844674.9496118729,293079.93786024075,208201.49151791606,1097962.9318754976,84878.44634232469,274445.2007833484,66243.70926543235,232520.06213975922,0.0,4326.0,271717.3725389233,4737.949678923695,204671.11203997035,0.0,204671.11203997035,4384.554150939513,0.003832652229842232,657567.4476024482,284252.5804295371,18634.737076892336,587916.1145993304,424.46412457845673,0.0,57600.0,1033601.2894864664,624668.9388290239,657567.4476024482,19097.06271918042,19050.75651237397,46.30620680643314,0.0,0.0,0.0,0.0,0.0,0.0,336248.15192214167,-1505026.4039038667,0.0,354338.69381206285,0.0,321319.29568030644,301167.7373201955,20151.558360110965,0.0,0.0,94873.38543330757,0.0,94873.38543330757,161793.521776587,79581.24471224712,0.0,79581.24471224712,0.0,0.0,0.0,0.0,136388.7794705724,136388.7794705724,0.0,605571.6524325239,0.0,585466.4002792195,624668.9388290239,10192.597972766107,56003.30696069286,0.8061616335226798,10191.795705212575,55998.87750116801,4.4294595248498885,0.0,0.0,96399.08746682348,66.82643537030242,0.0,27039.999999998967,0.0,0.0,39202.31487248493,6131.999999999992,284252.35675221746,25404.742306014625,0.0,0.0,0.0,0.0,89898.71411979708,0.0,329299.44492887397,428089.1148561766,847287.2739048477,941.7960526835885,677829.8191238781,0.0,0.0,0.0,180.8764150017609,413770.76004530414,0.0,13657001.499413906,65450.2032089517,0.0,136406.9286657866,159.3064931641694,290601.52794930665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.035585711657123,0.0,2910249.6922390345,0.0,136407.0360039861,21481.908896286513,0.0,0.0,0.0,325276.7535200131,0.0,0.0,9164.29225715109,0.0,45527.80939777347,0.0,0.0,0.0,0.01097379220301295,299765.9275446572,467458.38318725815,266898.9642846376,4891.2206057876465,26874.84876086533,0.01097379220301295,0.01097379220301295,0.0,0.0,0.0,0.0,0.0
