year,year,final_NH3_prod_[tonnes],green_NH3_prod_[tonnes],grey_NH3_prod_[tonnes],total_grid_export_revenues,grid_import_cost,solar_cost,wind_cost,grid_fixed_opex,HB_refurbishment,water_consumption_cost,electrolyser_stack_replacment,PV_opex,wind_opex,revenues_from_NH3_EUR,revenues_from_H2_EUR,product_revenues,total_revenues_EUR,total_OPEX_EUR,total_costs_EUR,D_and_A_EUR,taxes,cashflows,cashflows_NPV,RES_revenues_NPV,green_NH3_rev_NPV,grey_NH3_rev_NPV,green_H2_rev_NPV,grey_H2_rev_NPV,CAPEX_deployments_USD
1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-132200679.20355564
2,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-991505094.0266672
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-528802716.8142226
4,1,88804.48264879199,88804.48264879199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078019.982390119,0.0,22811844.518835,0.0,57722913.721714795,0.0,57722913.721714795,57722913.721714795,41526677.44299418,42604697.4253843,110167232.66962971,0.0,15118216.296330497,13933839.90445207,0.0,53200842.13982931,0.0,0.0,0.0,-0.0
5,2,87750.96898933523,87750.96898933525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062072.5153988504,0.0,21340112.61439403,0.0,57038129.843067914,0.0,57038129.843067914,57038129.843067914,40335668.03241559,41397740.54781444,110167232.66962971,0.0,15640389.29525347,13285811.374421602,0.0,48451340.94422724,0.0,0.0,0.0,-0.0
6,3,86476.86811600378,86476.86811600377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046651.7292623474,0.0,20190686.54666882,0.0,56209964.27540245,0.0,56209964.27540245,56209964.27540245,39471175.2959607,40517827.02522305,110167232.66962971,0.0,15692137.250179403,12285501.33485197,0.0,44007236.24371456,0.0,0.0,0.0,-0.0
7,4,85218.69277705756,85218.69277705754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031423.6941264835,0.0,19100748.90968279,0.0,55392150.3050874,0.0,55392150.3050874,55392150.3050874,38670444.99021405,39701868.68434054,110167232.66962971,0.0,15690281.620746866,11321703.730453042,0.0,39969551.210456334,0.0,0.0,0.0,-0.0
8,5,83976.96049784719,83976.96049784719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016394.6737182962,0.0,18067408.06853401,0.0,54585024.32360067,0.0,54585024.32360067,54585024.32360067,37930649.59027324,38947044.263991535,110167232.66962971,0.0,15637980.059609137,10399967.068118883,0.0,36301520.6064986,0.0,0.0,0.0,-0.0
9,6,82750.57158541164,82750.57158541164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001551.3582531618,0.0,17087897.891967654,0.0,53787871.53051757,0.0,53787871.53051757,53787871.53051757,37249088.03653297,38250639.39478613,110167232.66962971,0.0,15537232.135731444,9523470.158929229,0.0,32969011.78783142,0.0,0.0,0.0,-0.0
10,7,81542.1847259384,81542.1847259384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986925.9248805536,0.0,16159573.594298378,0.0,53002420.071859956,0.0,53002420.071859956,53002420.071859956,36623181.59103217,37610107.51591273,110167232.66962971,0.0,15392312.55594723,8695522.96218466,0.0,29942463.753319558,0.0,0.0,0.0,-0.0
11,8,80350.57743612438,80350.57743612437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972503.5819036074,0.0,15279907.591471061,0.0,52227875.33348084,0.0,52227875.33348084,52227875.33348084,36050469.708155856,37022973.29005946,110167232.66962971,0.0,15204902.04342138,7916727.9495363915,0.0,27193459.005305827,0.0,0.0,0.0,-0.0
12,9,79175.8859781549,79175.8859781549,0.0,0.0,0.0,0.0,0.0,0.0,506286982.2485207,958285.9986785552,0.0,14446485.386743007,0.0,51464325.88580068,0.0,51464325.88580068,51464325.88580068,541815588.1836987,542773874.1823772,110167232.66962971,0.0,-491309548.29657656,-235769466.5157359,0.0,24696683.996384997,0.0,0.0,0.0,-0.0
13,10,78017.42629125694,78017.42629125694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944264.9425239465,0.0,13657001.499413906,0.0,50711327.08931701,0.0,50711327.08931701,50711327.08931701,35055353.856075495,35999618.798599444,110167232.66962971,0.0,14711708.290717565,6506774.007261752,0.0,22428880.348770328,0.0,0.0,0.0,-0.0
14,11,76874.87307329683,76874.87307329683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930436.3323753104,0.0,12909255.448174128,0.0,49968667.497642934,0.0,49968667.497642934,49968667.497642934,34628583.09018564,35559019.42256095,110167232.66962971,0.0,14409648.075081982,5873896.0179015985,0.0,20369044.094963714,0.0,0.0,0.0,-0.0
15,12,84788.42498986707,84788.42498986708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026206.0733479554,58683111.17866441,12201147.798969809,0.0,55112476.243413605,0.0,55112476.243413605,55112476.243413605,92929376.5342759,93955582.60762386,110167232.66962971,0.0,-38843106.364210255,-14593420.47579435,0.0,20705850.13827367,0.0,0.0,0.0,-0.0
16,13,83548.3038611276,83548.3038611276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011208.1101781809,0.0,11478809.92464583,0.0,54306397.50973294,0.0,54306397.50973294,54306397.50973294,33854604.24463714,34865812.35481532,110167232.66962971,0.0,19440585.15491762,6731668.739294125,0.0,18804612.903715793,0.0,0.0,0.0,-0.0
17,14,82326.40486329468,82326.40486329468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996419.1154822317,0.0,10798891.722767528,0.0,53512163.161141545,0.0,53512163.161141545,53512163.161141545,33510322.957558703,34506742.07304093,110167232.66962971,0.0,19005421.088100612,6065423.949866356,0.0,17077967.09908003,0.0,0.0,0.0,-0.0
18,15,81120.22384748323,81120.22384748323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981820.3634260807,0.0,10158926.29647125,0.0,52728145.500864096,0.0,52728145.500864096,52728145.500864096,33211028.99978429,34192849.36321037,110167232.66962971,0.0,18535296.137653723,5451969.9866482215,0.0,15509450.9732889,0.0,0.0,0.0,-0.0
19,16,79932.1172002281,79932.11720022811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967440.3656027894,0.0,9556588.493452465,0.0,51955876.18014827,0.0,51955876.18014827,51955876.18014827,32954472.7373152,33921913.10291799,0.0,2705094.4615845424,15328868.61564574,4155605.2945999815,0.0,14085065.21606128,0.0,0.0,0.0,-0.0
20,17,78762.81371183411,78762.81371183408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953287.948505274,0.0,8989686.884386275,0.0,51195828.91269215,0.0,51195828.91269215,51195828.91269215,32738539.391906943,33691827.340412214,0.0,2625600.2358419904,14878401.336437948,3717497.8005137723,0.0,12791722.516068198,0.0,0.0,0.0,-0.0
21,18,77609.21575175782,77609.21575175783,0.0,0.0,0.0,0.0,0.0,0.0,506286982.2485207,939325.6206317887,0.0,8456156.186402703,0.0,50445990.23864259,0.0,50445990.23864259,50445990.23864259,538848223.7300569,539787549.3506887,0.0,0.0,-489341559.1120461,-112687777.6299326,0.0,11616929.779373745,0.0,0.0,0.0,-0.0
22,19,76470.7703531853,76470.7703531853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925546.6883953505,0.0,7954050.107578775,0.0,49706000.72957045,0.0,49706000.72957045,49706000.72957045,32420711.682139255,33346258.370534606,0.0,2453961.353855376,13905781.005180467,2951415.5433658515,0.0,10549789.551349597,0.0,0.0,0.0,-0.0
23,20,75349.88610519965,75349.88610519965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911980.3043462335,0.0,7481534.589658654,0.0,48977425.96837977,0.0,48977425.96837977,48977425.96837977,32315196.08783754,33227176.392183773,0.0,2362537.4364294,13387712.1397666,2618855.8971089465,0.0,9580787.178827433,0.0,0.0,0.0,-0.0
24,21,74245.66158352276,74245.66158352276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898615.5582011212,0.0,7036881.427401153,0.0,48259680.02928979,0.0,48259680.02928979,48259680.02928979,32243047.848052718,33141663.406253837,0.0,2267702.493455393,12850314.12958056,2316803.7228087876,0.0,8700815.03268815,0.0,0.0,0.0,-0.0
25,22,73155.50168801952,73155.50168801952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885421.0404540093,0.0,6618462.244083607,0.0,47551076.09721269,0.0,47551076.09721269,47551076.09721269,32202721.16104494,33088142.201498948,0.0,2169440.084357061,12293493.811356679,2042777.5995534025,0.0,7901437.506424026,0.0,0.0,0.0,-0.0
26,23,72084.28574783952,72084.28574783952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872456.8861140435,0.0,6224742.803764781,0.0,46854785.73609569,0.0,46854785.73609569,46854785.73609569,32192765.604480535,33065222.490594577,0.0,2068434.4868251667,11721128.758675946,1795086.8212462051,0.0,7175794.253170647,0.0,0.0,0.0,-0.0
27,24,79510.10086532941,79510.10086532941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962325.7720892779,26360204.75619607,5854277.641930035,0.0,51681565.56246412,0.0,51681565.56246412,51681565.56246412,58572025.54085259,59534351.31294187,0.0,0.0,-7852785.750477754,-1108434.4936004367,0.0,7294943.701885983,0.0,0.0,0.0,-0.0
28,25,78346.38234295108,78346.38234295111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948249.5875812484,0.0,5505704.997111366,0.0,50925148.522918224,0.0,50925148.522918224,50925148.522918224,32258611.286978744,33206860.87455999,0.0,2657743.147253735,15060544.501104498,1959283.2201658764,0.0,6625045.261683028,0.0,0.0,0.0,-0.0
29,26,77200.67294959896,77200.67294959896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,934382.7588255159,0.0,5177742.026995916,0.0,50180437.41723932,0.0,50180437.41723932,50180437.41723932,32331941.911211304,33266324.67003682,0.0,2537116.9120803755,14376995.835122129,1723832.0624884926,0.0,6016740.07014829,0.0,0.0,0.0,-0.0
30,27,76073.60612164588,76073.60612164586,0.0,0.0,0.0,0.0,0.0,0.0,506286982.2485207,920741.5826285734,0.0,4869180.29341103,0.0,49447843.97906981,0.0,49447843.97906981,49447843.97906981,538717675.4244103,539638417.007039,0.0,0.0,-490190573.0279691,-54170397.69456549,0.0,5464424.492986327,0.0,0.0,0.0,-0.0
31,28,74961.69961310926,74961.69961310926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907283.9055275831,0.0,4578881.5014042305,0.0,48725104.74852102,0.0,48725104.74852102,48725104.74852102,32553817.07712002,33461100.982647605,0.0,2289600.5648810123,12974403.200992405,1321462.1277721208,0.0,4962723.8801993625,0.0,0.0,0.0,-0.0
32,29,73866.1964474675,73866.1964474675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894024.6893009669,0.0,4305773.4784246925,0.0,48013027.69085388,0.0,48013027.69085388,48013027.69085388,32700333.08777622,33594357.77707719,0.0,2162800.487066503,12255869.426710185,1150487.00614468,0.0,4507094.728310891,0.0,0.0,0.0,-0.0
33,30,72781.44353080563,72781.44353080563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880895.5564394948,0.0,4048846.3803607076,0.0,47307938.29502366,0.0,47307938.29502366,47307938.29502366,32869324.383852504,33750219.940292,0.0,2033657.7532097483,11524060.60152191,997041.8501316904,0.0,4093001.2392816693,0.0,0.0,0.0,-0.0
