,P_solar,P_wind,final_solar_curtailment,final_wind_curtailment,direct_solar,direct_wind,BESS_discharge,grid_import,final_H2_prod_[tonnes],final_NH3_prod_[tonnes]
2049-01-31,70188.3695604246,0.0,-2545.692160222656,0.0,70188.3695604246,0.0,0.0,0.0,1167.3121324857937,6217.87773029595
2049-02-28,65291.312590618516,0.0,-2368.0786949965286,0.0,65291.312590618516,0.0,0.0,0.0,1083.5107693728714,5956.438095903943
2049-03-31,73980.02182830583,0.0,-2683.2132269333747,0.0,73980.02182830583,0.0,0.0,0.0,1227.3651185161405,6771.766152981016
2049-04-30,73455.41554601822,0.0,-2664.1860560732025,0.0,73455.41554601822,0.0,0.0,0.0,1219.7003755311378,6710.5121182225985
2049-05-31,70907.01431699767,0.0,-2571.7569959532857,0.0,70907.01431699767,0.0,0.0,0.0,1181.1276013893937,6484.4579231475755
2049-06-30,61036.953191748886,0.0,-2213.775504363951,0.0,61036.953191748886,0.0,0.0,0.0,1024.6084746855001,5636.67641777305
2049-07-31,65607.39336321021,0.0,-2379.5427644687666,0.0,65607.39336321021,0.0,0.0,0.0,1099.9846638817658,6006.991272291117
2049-08-31,65128.44319251918,0.0,-2362.1715147545838,0.0,65128.44319251918,0.0,0.0,0.0,1088.1871687784483,5999.615290339581
2049-09-30,67260.67140429401,0.0,-2439.506216736054,0.0,67260.67140429401,0.0,0.0,0.0,1118.7398065111545,6142.401025773905
2049-10-31,72317.52476468812,0.0,-2622.9154059731463,0.0,72317.52476468812,0.0,0.0,0.0,1200.5055761768483,6585.224998581131
2049-11-30,64450.625535739215,0.0,-2337.5874546641185,0.0,64450.625535739215,0.0,0.0,0.0,1071.8394412364946,5873.328797246794
2049-12-31,61860.51920477947,0.0,-2243.645774266615,0.0,61860.51920477947,0.0,0.0,0.0,1029.6131185869008,5860.371760966101
