year,coal_gw,gas_gw,solar_gw,wind_gw,nuclear_gw,hydro_gw,total_gw,coal_share,gas_share,solar_share,wind_share,nuclear_share,hydro_share
1990,310.0,130.0,0.2,1.5,99.6,73.5,614.8,50.422901756668836,21.14508783344177,0.03253090435914119,0.24398178269355889,16.20039037085231,11.955107351984386
1991,311.6,135.0,0.22,1.56,99.58,74.28,622.24,50.0771406531242,21.69580869118025,0.03535613268192338,0.2507071226536385,16.00347132939059,11.937516070969401
1992,313.2,140.0,0.24,1.62,99.56,75.06,629.6800000000001,49.73955024774488,22.233515436412144,0.038114597890992245,0.2572735357641977,15.81120569177995,11.920340490407826
1993,314.8,145.0,0.26,1.6800000000000002,99.53999999999999,75.84,637.12,49.409844299347064,22.758663987945756,0.04080863887493722,0.26368658965344055,15.623430436966348,11.903566047212456
1994,316.4,150.0,0.28,1.74,99.52,76.62,644.56,49.087749782797566,23.271689214347774,0.04344048653344918,0.26995159488643417,15.439990070745935,11.887178850688844
1995,318.0,155.0,0.3,1.8,99.5,77.4,652.0,48.77300613496933,23.773006134969325,0.046012269938650305,0.27607361963190186,15.26073619631902,11.87116564417178
1996,320.4,166.0,0.33999999999999997,1.94,99.18,77.80000000000001,665.6599999999999,48.13268034732447,24.937655860349135,0.05107712646095605,0.29144007451251397,14.899498242345945,11.687648349007004
1997,322.8,177.0,0.38,2.08,98.86,78.2,679.32,47.51810634163575,26.05546723193782,0.05593829123240888,0.3061885414826591,14.552788082199847,11.511511511511511
1998,325.2,188.0,0.42,2.2199999999999998,98.54,78.60000000000001,692.98,46.92776126295131,27.129210078212935,0.060607809749199104,0.32035556581719526,14.219746601633526,11.342318681635835
1999,327.6,199.0,0.45999999999999996,2.36,98.22,79.0,706.6400000000001,46.36024000905694,28.161440054341668,0.0650967961055134,0.33397486697611223,13.899581116268536,11.179667157251215
2000,330.0,210.0,0.5,2.5,97.9,79.4,720.3,45.81424406497293,29.154518950437318,0.06941552131056504,0.3470776065528252,13.591559072608636,11.02318478411773
2001,331.0,246.0,0.56,4.3,98.32000000000001,79.5,759.68,43.57097725358046,32.38205560235889,0.07371524852569504,0.566027801179444,12.942291491154172,10.46493260320135
2002,332.0,282.0,0.62,4.7,98.74000000000001,79.6,797.6600000000001,41.62174360003008,35.35340872050748,0.07772735250608027,0.5892234786751247,12.378707720081238,9.979189128199984
2003,333.0,318.0,0.68,6.4,99.16,79.06666666666666,836.3066666666666,39.81792962709054,38.024329193437815,0.0813098863255903,0.765269518358497,11.856894600066962,9.454267174720597
2004,334.0,354.0,0.74,6.7,99.58,78.53333333333333,873.5533333333334,38.23464318148863,40.52414277319454,0.08471148489311851,0.7669823632214785,11.399418467103706,8.990101730098523
2005,335.0,390.0,0.8,9.1,100.0,78.0,912.9,36.69624274290722,42.7209990141308,0.0876328184905247,0.9968233103297185,10.954102311315587,8.54419980282616
2006,336.0,397.0,1.0,11.6,100.24,78.04,923.88,36.368359527211325,42.97094860804434,0.10823916525955753,1.255574317010867,10.849893925618046,8.44698445685587
2007,337.0,404.0,1.2,16.8,100.48,78.08,937.5600000000001,35.944366227228116,43.090575536498996,0.12799180852425443,1.791885319339562,10.717180767097572,8.328000341311489
2008,338.0,411.0,1.6,25.2,100.72,78.12,954.6400000000001,35.40601692784715,43.05287857202715,0.16760244699572613,2.639738540182686,10.55057403838096,8.183189474566328
2009,339.0,418.0,2.1,35.1,100.96000000000001,78.16,973.32,34.829244236222415,42.945793777996954,0.21575638022438665,3.606213783750462,10.372744832120988,8.03024698968479
2010,340.0,425.0,3.0,40.3,101.2,78.2,987.7,34.42340791738382,43.029259896729776,0.30373595221221017,4.080186291384023,10.24602612129189,7.917383820998279
