year,onshore_gw,offshore_gw,total_gw
1990,1.5,0.0,1.5
1995,1.8,0.0,1.8
2000,2.5,0.0,2.5
2001,4.3,0.0,4.3
2002,4.7,0.0,4.7
2003,6.4,0.0,6.4
2004,6.7,0.0,6.7
2005,9.1,0.0,9.1
2006,11.6,0.0,11.6
2007,16.8,0.0,16.8
2008,25.2,0.0,25.2
2009,35.1,0.0,35.1
2010,40.3,0.0,40.3
2011,46.9,0.0,46.9
2012,60.0,0.0,60.0
2013,61.1,0.0,61.1
2014,65.9,0.0,65.9
2015,74.5,0.0,74.5
2016,82.2,0.03,82.2
2017,89.1,0.03,89.1
2018,96.4,0.03,96.4
2019,105.6,0.03,105.6
2020,122.5,0.04,122.5
2021,135.0,0.04,135.0
2022,145.0,0.04,145.0
2023,152.0,0.2,152.2
2024,158.0,0.5,158.5
