,gas_price,residential_cents_kwh,industrial_cents_kwh,electric_power_bcfd,industrial_bcfd,heating_demand,gas_share_pct,coal_share_pct,gas_rigs,lng_exports_bcfd,shale_era,post_order2023,post_fra2023,post_401_battles,post_mats,post_rggi,post_ira
gas_price,1.0,-0.4034460048850356,-0.1778963615190677,-0.23579662489937653,-0.4616975327356133,0.03774144912635513,-0.5246655027344438,0.5428134921801638,0.33718739787059854,-0.19977600565036893,-0.39712026989822513,-0.1920740900898698,-0.1966479235382298,-0.2905740671122691,-0.3446845707813875,-0.39712026989822513,-0.1715328166344044
residential_cents_kwh,-0.4034460048850356,1.0,0.9200946258383331,0.8222280816481375,0.6051485527773359,-0.1589877483389771,0.9179787167449721,-0.9088796141110803,-0.39214037302764676,0.7921101830916442,0.7686254667881008,0.5136450007745401,0.5260358189775634,0.728658978662083,0.7415295881317662,0.7686254667881008,0.6411471432602781
industrial_cents_kwh,-0.1778963615190677,0.9200946258383331,1.0,0.8042889006466734,0.3926740380017164,-0.2156492100043939,0.8089145482024115,-0.7228170738280502,-0.21314231864020045,0.6339071344183937,0.7026214591899274,0.3963090125129141,0.4121459356026314,0.5519450002685239,0.5559182289309973,0.7026214591899274,0.5243099127072558
electric_power_bcfd,-0.23579662489937653,0.8222280816481375,0.8042889006466734,1.0,0.327346629472115,-0.35443175026698437,0.9351637405324771,-0.8023719161227943,-0.2692642465569589,0.6923391658078538,0.6859433193452561,0.38837030987379983,0.41628986449202166,0.7135888798516985,0.7345362979780735,0.6859433193452561,0.46388568829047444
industrial_bcfd,-0.4616975327356133,0.6051485527773359,0.3926740380017164,0.327346629472115,1.0,0.4799415540116946,0.6524360597342193,-0.7726239006070174,-0.4591887285044768,0.6543031370664812,0.39668358173860047,0.3179164825367262,0.3191245339340266,0.66894789649984,0.6546622444785519,0.39668358173860047,0.4062457174021107
heating_demand,0.03774144912635513,-0.1589877483389771,-0.2156492100043939,-0.35443175026698437,0.4799415540116946,1.0,-0.2352934928747506,0.06564454407946485,-0.011864905960914792,0.011558542734822957,0.00696512981364733,-0.022701727839142403,-0.03514854346768234,-0.008657423665187321,-0.02041974894908661,0.00696512981364733,-0.0015106887054253334
gas_share_pct,-0.5246655027344438,0.9179787167449721,0.8089145482024115,0.9351637405324771,0.6524360597342193,-0.2352934928747506,1.0,-0.948298041123662,-0.4597382328088371,0.7813330122893171,0.7442308938259913,0.40961853703143497,0.4276026712329527,0.809247360006072,0.8412654925654116,0.7442308938259913,0.5132755423840935
coal_share_pct,0.5428134921801638,-0.9088796141110803,-0.7228170738280502,-0.8023719161227943,-0.7726239006070174,0.06564454407946485,-0.948298041123662,1.0,0.5460408162720161,-0.8465205386433101,-0.7423079313402381,-0.425107317760024,-0.4346729985470345,-0.8667835872261004,-0.8896502669794464,-0.7423079313402381,-0.5450007773371994
gas_rigs,0.33718739787059854,-0.39214037302764676,-0.21314231864020045,-0.2692642465569589,-0.4591887285044768,-0.011864905960914792,-0.4597382328088371,0.5460408162720161,1.0,-0.6670268580342309,-0.08322268518987405,-0.3744441432971998,-0.3848962962948919,-0.4931415859586695,-0.4875825251150887,-0.08322268518987405,-0.4700255115907682
lng_exports_bcfd,-0.19977600565036893,0.7921101830916442,0.6339071344183937,0.6923391658078538,0.6543031370664812,0.011558542734822957,0.7813330122893171,-0.8465205386433101,-0.6670268580342309,1.0,0.47756410193585835,0.5786521319524529,0.595241196948907,0.8188254892988213,0.7589404173484239,0.47756410193585835,0.7319470710968502
shale_era,-0.39712026989822513,0.7686254667881008,0.7026214591899274,0.6859433193452561,0.39668358173860047,0.00696512981364733,0.7442308938259913,-0.7423079313402381,-0.08322268518987405,0.47756410193585835,1.0,0.19992161473341866,0.20604084592303337,0.5798335076138009,0.6288517674735,1.0,0.2611164839335464
post_order2023,-0.1920740900898698,0.5136450007745401,0.3963090125129141,0.38837030987379983,0.3179164825367262,-0.022701727839142403,0.40961853703143497,-0.425107317760024,-0.3744441432971998,0.5786521319524529,0.19992161473341866,1.0,0.9703008830011282,0.3447914135838056,0.3179153261135479,0.19992161473341868,0.7656414934887763
post_fra2023,-0.1966479235382298,0.5260358189775634,0.4121459356026314,0.41628986449202166,0.3191245339340266,-0.03514854346768234,0.4276026712329527,-0.4346729985470345,-0.3848962962948919,0.595241196948907,0.20604084592303337,0.9703008830011282,1.0,0.3553448416097182,0.32764612676661675,0.20604084592303337,0.7890763647670372
post_401_battles,-0.2905740671122691,0.728658978662083,0.5519450002685239,0.7135888798516985,0.66894789649984,-0.008657423665187321,0.809247360006072,-0.8667835872261004,-0.4931415859586695,0.8188254892988213,0.5798335076138009,0.3447914135838056,0.3553448416097182,1.0,0.9220511694566164,0.5798335076138009,0.45033010425376035
post_mats,-0.3446845707813875,0.7415295881317662,0.5559182289309973,0.7345362979780735,0.6546622444785519,-0.02041974894908661,0.8412654925654116,-0.8896502669794464,-0.4875825251150887,0.7589404173484239,0.6288517674735,0.3179153261135479,0.32764612676661675,0.9220511694566164,1.0,0.6288517674735,0.41522739926869984
post_rggi,-0.39712026989822513,0.7686254667881008,0.7026214591899274,0.6859433193452561,0.39668358173860047,0.00696512981364733,0.7442308938259913,-0.7423079313402381,-0.08322268518987405,0.47756410193585835,1.0,0.19992161473341868,0.20604084592303337,0.5798335076138009,0.6288517674735,1.0,0.2611164839335464
post_ira,-0.1715328166344044,0.6411471432602781,0.5243099127072558,0.46388568829047444,0.4062457174021107,-0.0015106887054253334,0.5132755423840935,-0.5450007773371994,-0.4700255115907682,0.7319470710968502,0.2611164839335464,0.7656414934887763,0.7890763647670372,0.45033010425376035,0.41522739926869984,0.2611164839335464,1.0
