Year,Region,Gas_Price_USD_MMBtu,Elec_Price_cents_kWh,Gas_Share_of_Gen_Pct,Coal_Share_Pct,Renewables_Share_Pct,Notes
1997,US,2.52,6.85,15,52,10,Pre-shale era
1998,US,2.08,6.74,15,52,10,Low gas prices
1999,US,2.27,6.64,16,51,10,
2000,US,4.31,6.81,16,52,9,California energy crisis begins
2001,US,4.07,7.29,17,51,9,Enron collapse
2002,US,3.37,7.20,18,50,9,
2003,US,5.49,7.44,17,51,9,
2004,US,5.90,7.61,18,50,9,
2005,US,8.81,8.14,19,50,9,Hurricane Katrina spike
2006,US,6.74,8.90,20,49,9,
2007,US,6.97,9.13,22,49,9,
2008,US,8.86,9.74,21,48,9,Pre-shale peak - hit $12+ mid-year
2009,US,3.95,9.82,23,45,10,Shale boom begins
2010,US,4.39,9.83,24,45,10,
2011,US,4.00,9.90,25,42,12,
2012,US,2.75,9.84,30,37,12,Shale glut
2013,US,3.73,10.07,27,39,13,
2014,US,4.39,10.44,27,39,13,
2015,US,2.63,10.41,33,33,13,Gas surpasses coal trend begins
2016,US,2.52,10.27,34,30,15,Gas surpasses coal for first time
2017,US,2.99,10.48,32,30,17,
2018,US,3.18,10.53,35,27,17,
2019,US,2.57,10.54,38,24,18,
2020,US,2.03,10.59,40,20,20,COVID low - record low gas
2021,US,3.91,10.98,37,22,20,Feb freeze spike to $5.35
2022,US,6.45,12.55,39,20,22,Ukraine war spike
2023,US,2.54,12.68,43,16,21,Collapse after Ukraine spike
2024,US,2.19,12.94,43,16,22,All-time inflation-adjusted gas low
2025,US,3.50,13.50,43,15,23,Estimate - rising prices

1997,California,3.20,9.50,35,1,30,Higher than US avg - imports from Southwest
1998,California,2.80,9.20,36,1,30,
1999,California,3.00,9.10,37,1,29,
2000,California,7.50,9.50,38,1,28,Energy crisis - rolling blackouts
2001,California,8.00,12.00,35,1,27,Crisis peak
2002,California,4.50,11.50,36,1,28,
2003,California,6.50,11.80,37,1,27,
2004,California,7.00,12.20,40,1,26,
2005,California,10.50,12.80,42,1,25,
2006,California,8.00,13.50,43,1,24,
2007,California,8.50,13.80,46,1,23,
2008,California,10.50,14.50,47,1,22,
2009,California,5.00,15.00,48,1,24,
2010,California,5.50,14.80,48,1,25,
2011,California,5.20,15.20,46,0,27,Last coal plant retires
2012,California,3.50,15.00,45,0,28,
2013,California,4.80,15.80,44,0,30,Solar ramp begins
2014,California,5.50,16.50,44,0,32,
2015,California,3.50,16.00,45,0,33,
2016,California,3.20,16.50,43,0,35,
2017,California,3.80,17.50,42,0,38,
2018,California,4.50,18.00,40,0,40,
2019,California,3.50,19.00,38,0,44,
2020,California,3.00,19.90,37,0,46,
2021,California,5.50,22.00,37,0,47,
2022,California,12.00,26.50,38,0,48,Dec 2022 spike to $49
2023,California,6.50,24.87,42,0,48,
2024,California,4.55,27.04,40,0,50,Solar/wind at 50%
2025,California,5.00,28.50,38,0,52,Estimate

1997,Texas,2.40,6.20,38,37,1,ERCOT - high gas share historically
1998,Texas,2.00,6.00,40,35,1,
1999,Texas,2.20,5.90,42,33,2,
2000,Texas,4.20,7.50,45,30,2,Market restructuring
2001,Texas,3.90,7.80,44,32,2,
2002,Texas,3.20,7.20,45,31,3,
2003,Texas,5.30,7.80,46,30,4,
2004,Texas,5.70,8.50,47,29,5,Wind buildout begins
2005,Texas,8.50,9.80,48,28,6,
2006,Texas,6.50,10.50,49,27,7,
2007,Texas,6.80,10.80,50,26,8,Wind at 8%
2008,Texas,8.50,11.20,49,27,8,
2009,Texas,3.80,10.00,48,28,8,
2010,Texas,4.20,10.20,47,28,9,
2011,Texas,3.80,10.50,46,29,10,
2012,Texas,2.60,9.50,48,27,11,
2013,Texas,3.50,10.00,47,28,12,
2014,Texas,4.20,10.50,46,28,13,
2015,Texas,2.50,9.80,47,26,14,
2016,Texas,2.40,9.50,45,26,16,
2017,Texas,2.80,10.00,43,26,18,
2018,Texas,3.00,10.20,44,25,19,
2019,Texas,2.40,10.10,45,22,21,
2020,Texas,1.90,10.00,47,18,24,COVID + negative Waha prices
2021,Texas,5.00,11.70,42,18,26,Winter Storm Uri - $9000/MWh spike
2022,Texas,6.20,14.46,42,16,28,
2023,Texas,2.40,10.04,42,14,32,Wind+Solar at 32%
2024,Texas,2.00,9.79,42,13,36,Wind 24% + Solar 12%
2025,Texas,3.20,10.50,42,12,38,Estimate - Waha often negative
