period,wti_price,permian_oil_mbd,henry_hub,permian_gas,us_storage,elec_tx,elec_ca,ercot_wholesale,oil_gas_ratio,wti_lag1,wti_lag3,wti_lag6,associated_gas_ratio
2020-01,57.52,4.11,2.1,10.7,2616.0,7.85,15.59,16.961451612903225,27.39047619047619,,,,2.603406326034063
2020-02,50.54,4.1,1.98,10.6,2081.0,7.99,15.9,17.713031609195404,25.525252525252526,57.52,,,2.5853658536585367
2020-03,29.21,4.19,1.86,11.1,2029.0,7.9,15.63,23.053230148048453,15.704301075268816,50.54,,,2.6491646778042957
2020-04,16.55,3.96,1.81,10.7,2332.0,7.95,15.9,19.90341666666667,9.143646408839778,29.21,57.52,,2.702020202020202
2020-05,28.56,3.41,1.82,9.5,2778.0,8.09,15.85,18.23282258064516,15.692307692307692,16.55,50.54,,2.785923753665689
2020-06,38.31,3.69,1.69,10.3,3133.0,8.38,16.73,18.948444444444444,22.66863905325444,28.56,29.21,,2.791327913279133
2020-07,40.71,3.73,1.83,10.8,3294.0,8.47,17.25,22.98913978494624,22.24590163934426,38.31,16.55,57.52,2.89544235924933
2020-08,42.34,3.68,2.39,11.0,3522.0,8.53,17.78,39.18420698924731,17.715481171548117,40.71,28.56,50.54,2.9891304347826084
2020-09,39.63,3.7,1.99,11.1,3840.0,8.52,18.3,18.97958333333333,19.91457286432161,42.34,38.31,29.21,2.9999999999999996
2020-10,39.4,3.76,2.48,11.2,3929.0,8.12,17.67,23.3569623655914,15.887096774193548,39.63,40.71,16.55,2.978723404255319
2020-11,40.94,3.78,2.71,11.2,3932.0,7.98,16.68,23.7275866851595,15.107011070110701,39.4,42.34,28.56,2.962962962962963
2020-12,47.02,3.75,2.68,11.0,3341.0,7.89,16.15,20.891182795698924,17.544776119402986,40.94,39.63,38.31,2.933333333333333
2021-01,52.0,3.82,2.82,11.2,2635.0,7.97,16.44,21.54244623655914,18.43971631205674,47.02,39.4,40.71,2.931937172774869
2021-02,59.04,3.16,5.56,9.1,1859.0,11.38,16.57,1485.4915029761903,10.618705035971223,52.0,40.94,42.34,2.8797468354430378
2021-03,62.33,3.99,2.72,11.3,1801.0,9.54,16.97,20.870699865410497,22.915441176470587,59.04,47.02,39.63,2.8320802005012533
2021-04,61.72,4.01,2.76,12.1,1975.0,9.05,17.54,29.631083333333336,22.36231884057971,62.33,52.0,39.4,3.0174563591022445
2021-05,65.17,4.09,3.02,12.1,2390.0,8.39,18.25,24.230470430107527,21.579470198675498,61.72,59.04,40.94,2.958435207823961
2021-06,71.38,4.11,3.39,12.1,2585.0,8.68,18.59,42.22570833333333,21.056047197640115,65.17,62.33,47.02,2.944038929440389
2021-07,72.49,4.18,3.99,12.5,2755.0,8.76,19.02,41.477647849462365,18.167919799498744,71.38,61.72,52.0,2.9904306220095696
2021-08,67.73,4.27,4.23,12.6,2917.0,9.1,19.61,41.35739247311828,16.011820330969268,72.49,65.17,59.04,2.9508196721311477
2021-09,71.65,4.35,5.36,12.8,3306.0,9.22,19.8,45.246208333333335,13.367537313432836,67.73,71.38,62.33,2.9425287356321843
2021-10,81.48,4.41,5.72,13.0,3665.0,9.03,17.6,53.652150537634405,14.244755244755247,71.65,72.49,61.72,2.947845804988662
2021-11,79.15,4.44,5.25,13.1,3533.0,8.88,17.93,39.77607489597781,15.076190476190478,81.48,67.73,65.17,2.9504504504504503
2021-12,71.71,4.45,3.91,13.3,3210.0,8.59,17.34,29.701706989247317,18.34015345268542,79.15,71.65,71.38,2.9887640449438204
2022-01,83.22,4.33,4.55,13.2,2216.0,8.82,17.26,33.650362903225805,18.29010989010989,71.71,81.48,72.49,3.0484988452655886
2022-02,91.64,4.38,4.87,13.3,1562.0,9.04,17.76,39.40650297619048,18.817248459958932,83.22,79.15,67.73,3.0365296803652972
2022-03,108.5,4.58,5.09,14.1,1401.0,9.07,18.82,38.48512786002692,21.31630648330059,91.64,71.71,71.65,3.078602620087336
2022-04,101.78,4.64,6.85,14.5,1612.0,9.18,17.28,52.51783333333333,14.858394160583943,108.5,83.22,81.48,3.125
2022-05,109.55,4.63,8.45,14.6,2002.0,10.03,20.52,80.51465053763441,12.964497041420119,101.78,91.64,79.15,3.1533477321814254
2022-06,114.84,4.63,7.99,14.5,2325.0,10.56,22.33,79.20486111111111,14.3729662077597,109.55,108.5,71.71,3.1317494600431965
2022-07,101.62,4.69,7.56,14.8,2505.0,11.28,21.08,122.4091935483871,13.441798941798943,114.84,101.78,83.22,3.1556503198294243
2022-08,91.48,4.76,9.14,15.0,2709.0,11.19,21.74,100.7666129032258,10.00875273522976,101.62,109.55,91.64,3.151260504201681
2022-09,84.26,4.88,8.18,15.4,3146.0,11.02,21.9,69.36418055555555,10.30073349633252,91.48,114.84,108.5,3.155737704918033
2022-10,87.55,4.95,5.88,15.5,3569.0,10.53,20.54,47.82174731182796,14.889455782312925,84.26,101.62,101.78,3.131313131313131
2022-11,84.37,4.99,5.66,15.4,3501.0,10.1,18.73,44.08743411927878,14.90636042402827,87.55,91.48,109.55,3.0861723446893787
2022-12,76.44,4.97,5.74,15.3,2925.0,10.1,18.17,64.2175,13.317073170731707,84.37,84.26,114.84,3.0784708249496986
2023-01,78.12,5.06,3.39,15.6,2470.0,9.84,19.47,24.690860215053764,23.04424778761062,76.44,87.55,101.62,3.08300395256917
2023-02,76.32,5.01,2.47,15.6,2072.0,9.93,19.38,21.16267857142857,30.89878542510121,78.12,84.37,91.48,3.1137724550898205
2023-03,73.18,5.18,2.4,16.4,1850.0,9.41,21.12,23.89582772543741,30.49166666666667,76.32,76.44,84.26,3.166023166023166
2023-04,79.44,5.18,2.24,16.5,2116.0,8.82,21.32,22.749625,35.46428571428571,73.18,78.12,87.55,3.1853281853281854
2023-05,71.55,5.16,2.23,16.5,2576.0,9.2,22.11,27.96333333333333,32.08520179372197,79.44,76.32,84.37,3.197674418604651
2023-06,70.25,5.09,2.26,16.3,2902.0,9.83,23.63,70.64323611111111,31.08407079646018,71.55,73.18,76.44,3.202357563850688
2023-07,77.07,5.18,2.65,16.6,3035.0,10.04,23.37,56.309475806451616,29.083018867924526,70.25,79.44,78.12,3.204633204633205
2023-08,81.35,5.26,2.68,17.0,3168.0,10.92,24.21,263.4452956989247,30.354477611940293,77.07,71.55,76.32,3.231939163498099
2023-09,89.43,5.26,2.74,17.2,3490.0,10.51,24.29,68.83866666666667,32.63868613138686,81.35,70.25,73.18,3.2699619771863118
2023-10,85.51,5.33,3.09,17.2,3809.0,9.74,23.84,31.944086021505377,27.673139158576056,89.43,77.07,79.44,3.227016885553471
2023-11,77.4,5.49,2.81,17.5,3742.0,9.21,21.57,30.347905686546465,27.544483985765126,85.51,81.35,71.55,3.187613843351548
2023-12,71.9,5.51,2.62,17.8,3457.0,9.16,20.7,19.69345430107527,27.442748091603054,77.4,89.43,70.25,3.2304900181488208
2024-01,75.89,5.26,3.3,17.1,2611.0,9.59,21.16,44.718897849462365,22.9969696969697,71.9,85.51,77.07,3.250950570342206
2024-02,76.82,5.47,1.79,17.8,2350.0,9.17,22.38,14.429051724137931,42.91620111731843,75.89,77.4,81.35,3.254113345521024
2024-03,80.63,5.54,1.55,18.3,2306.0,9.07,22.95,18.011197846567967,52.019354838709674,76.82,71.9,89.43,3.3032490974729245
2024-04,84.39,5.55,1.66,18.4,2562.0,9.13,24.6,21.572416666666665,50.837349397590366,80.63,75.89,85.51,3.315315315315315
2024-05,78.63,5.54,2.2,18.3,2923.0,9.28,25.18,42.732217741935486,35.740909090909085,84.39,76.82,77.4,3.3032490974729245
2024-06,78.76,5.57,2.64,18.8,3175.0,9.84,26.02,28.549111111111117,29.833333333333332,78.63,80.63,71.9,3.3752244165170557
2024-07,80.72,5.56,2.15,19.1,3294.0,10.02,26.4,22.517190860215056,37.544186046511626,78.76,84.39,75.89,3.4352517985611515
2024-08,75.53,5.65,2.07,19.5,3370.0,10.14,25.74,34.79104838709677,36.48792270531401,80.72,78.63,76.82,3.451327433628318
2024-09,70.24,5.65,2.37,19.5,3615.0,9.97,26.2,22.616694444444445,29.63713080168776,75.53,78.76,80.63,3.451327433628318
2024-10,71.78,5.75,2.29,19.9,3938.0,9.59,25.75,25.244126344086023,31.344978165938866,70.24,80.72,84.39,3.460869565217391
2024-11,70.1,5.72,2.2,19.8,3915.0,9.23,22.46,23.27712898751734,31.86363636363636,71.78,75.53,78.63,3.4615384615384617
2024-12,70.6,5.63,3.13,19.9,3438.0,9.33,22.15,25.05610215053764,22.555910543130988,70.1,70.24,78.76,3.5346358792184724
