month,month_name,seasonal_factor,seasonal_mean
1,Jan,1.0263578269983835,3.5922523944943423
2,Feb,0.9948776763694862,3.4820718672932016
3,Mar,0.9314771183448942,3.26016991420713
4,Apr,0.965060307838917,3.3777110774362096
5,May,1.0009314225583164,3.503259978954107
6,Jun,1.0272591845556658,3.5954071459448302
7,Jul,0.983807254539469,3.4433253908881416
8,Aug,0.9946765125430584,3.4813677939007044
9,Sep,0.9896843342348606,3.463895169822012
10,Oct,1.0167633197117976,3.5586716189912915
11,Nov,1.00345682166121,3.5120988758142353
12,Dec,1.065648220643942,3.729768772253797
