event_id,parameter,parameter_name,category,unit,date,year,month,event_type,severity,value,rolling_mean,rolling_std,deviation_from_mean_pct,deviation_from_mean_abs,z_score,mom_change,mom_change_pct,yoy_change_pct,months_to_recovery,recovered_to,spike_threshold_pct,crash_threshold_pct
electric_power_bcfd_1990-06,electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,1990-06,1990,6,SPIKE,EXTREME,11.211673151750972,7.498311873282847,2.27393176767666,49.52263044298226,3.713361278468125,1.6330135016593617,2.306941132170202,25.906912494361745,,4.0,9.380161917911384,30,-20
residential_bcfd_1990-06,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1990-06,1990,6,CRASH,EXTREME,5.214753566796369,15.059545264593432,7.82211957844394,-65.37243671588942,-9.844791697797064,-1.2585836356845232,-2.5758828082506993,-33.06383052995637,,5.0,12.180674448767832,50,-30
total_bcfd_1990-06,total_bcfd,Total Gas Consumption,GAS_DEMAND,Bcf/d,1990-06,1990,6,CRASH,ELEVATED,42.8587224383917,55.07146364915993,10.275461892327558,-22.176169655796908,-12.212741210768229,-1.1885345241645235,-1.7262844650851434,-3.8718945784227854,,4.0,44.76672524162169,25,-20
electric_power_bcfd_1990-07,electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,1990-07,1990,7,SPIKE,EXTREME,11.911133425379692,8.128714952153825,2.6628608105427345,46.53156735707233,3.782418473225867,1.4204341654849577,0.6994602736287199,6.238678778461204,,3.0,9.380161917911384,30,-20
residential_bcfd_1990-07,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1990-07,1990,7,CRASH,EXTREME,3.969530563574746,13.475257450162191,8.279959987961933,-70.54207996948534,-9.505726886587444,-1.1480401958955877,-1.2452230032216227,-23.87884657005207,,4.0,12.180674448767832,50,-30
total_bcfd_1990-07,total_bcfd,Total Gas Consumption,GAS_DEMAND,Bcf/d,1990-07,1990,7,CRASH,ELEVATED,41.23104681812476,53.09426124472633,10.740246878940095,-22.34368488888223,-11.863214426601573,-1.1045569585428654,-1.6276756202669418,-3.797769806616802,,3.0,44.76672524162169,25,-20
electric_power_bcfd_1990-08,electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,1990-08,1990,8,SPIKE,ELEVATED,12.527676666248276,8.678585166415631,2.9149117193139347,44.35160139613366,3.849091499832644,1.3204830439045274,0.6165432408685838,5.176192884842368,,2.0,9.380161917911384,30,-20
residential_bcfd_1990-08,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1990-08,1990,8,CRASH,EXTREME,3.8055729885778833,12.266546892464152,8.39354660525218,-68.97600423379295,-8.46097390388627,-1.0080332309815137,-0.16395757499686292,-4.130402131208466,,3.0,12.180674448767832,50,-30
residential_bcfd_1990-09,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1990-09,1990,9,CRASH,EXTREME,4.283884565499352,11.379584411690285,8.290084047730012,-62.3546483727604,-7.095699846190933,-0.8559261649625706,0.47831157692146853,12.56871378783384,,2.0,12.180674448767832,50,-30
residential_bcfd_1990-10,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1990-10,1990,10,CRASH,ELEVATED,6.700702899460274,10.911696260467284,7.954779745064249,-38.591555890932376,-4.21099336100701,-0.5293664307449658,2.416818333960922,56.41651396083325,,1.0,12.180674448767832,50,-30
electric_power_bcfd_1990-11,electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,1990-11,1990,11,CRASH,ELEVATED,6.971335927367056,8.830555729885779,2.6419317295002527,-21.054391811677878,-1.859219802518723,-0.703734991240827,-2.4088259905443277,-25.680004371189835,,5.0,8.313942931258106,30,-20
electric_power_bcfd_1990-12,electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,1990-12,1990,12,CRASH,ELEVATED,6.3883833312413705,8.627041363332077,2.615777678372281,-25.949313765965947,-2.238658032090707,-0.8558288613747006,-0.5829525961256854,-8.362136069748338,,4.0,8.313942931258106,30,-20
residential_bcfd_1990-12,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1990-12,1990,12,SPIKE,ELEVATED,19.777676666248272,11.756276143307412,7.634626973017893,68.2307937067918,8.02140052294086,1.0506604384588656,7.597002217480441,62.36930680179975,,4.0,12.092153047989624,50,-30
electric_power_bcfd_1991-01,electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,1991-01,1991,1,CRASH,ELEVATED,6.459395004393122,8.721972014769255,2.5031026254338586,-25.941117519579553,-2.262577010376133,-0.9039090077195554,0.07101167315175161,1.1115750178058326,21.412014509422296,3.0,8.313942931258106,30,-20
residential_bcfd_1991-01,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1991-01,1991,1,SPIKE,EXTREME,26.47897577507217,11.900715706505606,7.913999056018443,122.4990196228052,14.578260068566562,1.842085141200526,6.701299108823896,33.883146245686405,7.004346966000319,3.0,12.092153047989624,50,-30
total_bcfd_1991-01,total_bcfd,Total Gas Consumption,GAS_DEMAND,Bcf/d,1991-01,1991,1,SPIKE,EXTREME,73.15325718589182,51.60538450647612,10.616324493803807,41.75508599632968,21.547872679415697,2.02969235652057,11.037027739425149,17.768347882314938,7.718744902848607,3.0,51.33057717250325,25,-20
electric_power_bcfd_1991-02,electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,1991-02,1991,2,CRASH,EXTREME,6.041516120066704,8.7819532543468,2.421510644495661,-31.205325909969545,-2.7404371342800955,-1.1317055906854618,-0.4178788843264183,-6.469319248044336,13.525176098863433,2.0,8.313942931258106,30,-20
residential_bcfd_1991-02,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1991-02,1991,2,SPIKE,EXTREME,23.07594496942746,11.96311437706332,8.006096868512461,92.89245460756094,11.11283059236414,1.3880459823150895,-3.4030308056447076,-12.851821892780269,3.3536912699462462,2.0,12.092153047989624,50,-30
total_bcfd_1991-02,total_bcfd,Total Gas Consumption,GAS_DEMAND,Bcf/d,1991-02,1991,2,SPIKE,ELEVATED,67.38639521956642,51.82434585074145,10.934602624203219,30.028453062668664,15.562049368824972,1.42319295027504,-5.7668619663253935,-7.883260688818073,4.057415723766766,2.0,51.33057717250325,25,-20
residential_bcfd_1991-05,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1991-05,1991,5,CRASH,ELEVATED,7.177795908120999,11.895083576399474,8.07392101790302,-39.657457116466524,-4.717287668278474,-0.5842623005375474,-4.914357139868625,-40.64087776895662,-7.866372365792341,6.0,14.898022049286642,50,-30
residential_bcfd_1991-06,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1991-06,1991,6,CRASH,EXTREME,4.793741893644618,11.859999270303495,8.106437847853982,-59.580588629142916,-7.066257376658878,-0.8716846424141188,-2.3840540144763818,-33.21429091873522,-8.073472077998801,5.0,14.898022049286642,50,-30
total_bcfd_1991-06,total_bcfd,Total Gas Consumption,GAS_DEMAND,Bcf/d,1991-06,1991,6,CRASH,ELEVATED,40.46112191958495,51.51929785763098,11.276135165600856,-21.464143336355875,-11.058175938046034,-0.9806707507178761,-2.965889502531283,-6.829596155495132,-5.594195025885906,4.0,46.07847997991716,25,-20
electric_power_bcfd_1991-07,electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,1991-07,1991,7,SPIKE,ELEVATED,12.30635747458265,8.856429304860725,2.332450929064504,38.953940137347246,3.4499281697219253,1.4791000002326382,2.277109744362157,22.704691374814544,3.318106137244947,3.0,9.825969624701894,30,-20
residential_bcfd_1991-07,residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,1991-07,1991,7,CRASH,EXTREME,3.958704656708924,11.85909711139801,8.107396346908843,-66.61883599128187,-7.900392454689085,-0.9744672785981798,-0.8350372369356935,-17.419319927148315,-0.272725116797512,4.0,14.898022049286642,50,-30
electric_power_bcfd_1991-08,electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,1991-08,1991,8,SPIKE,ELEVATED,12.222825404794778,8.831025033072933,2.290105628573968,38.407776662610125,3.3918003717218443,1.4810672177745328,-0.0835320697878732,-0.6787716833384638,-2.433422170567512,2.0,9.825969624701894,30,-20
