parameter,parameter_name,category,unit,data_points,data_start,data_end,mean,std,cv_pct,min,max,total_events,spike_events,crash_events,extreme_events,avg_recovery_months
electric_power_bcfd,Power Sector Gas Demand,GAS_DEMAND,Bcf/d,420,1990-01,2024-12,19.051692386938054,9.114145023840338,47.83903098335268,5.320227187146981,47.93673904857537,145,72,73,51,2.8620689655172415
total_bcfd,Total Gas Consumption,GAS_DEMAND,Bcf/d,420,1990-01,2024-12,66.24584101349977,16.1583986502947,24.391566931729187,40.46112191958495,118.66511861428393,90,65,25,17,2.611111111111111
industrial_bcfd,Industrial Gas Demand,GAS_DEMAND,Bcf/d,420,1990-01,2024-12,23.99833918477451,2.6966845288879893,11.236963142011394,18.08290448098406,30.6794903978913,0,0,0,0,
residential_bcfd,Residential Gas Demand,GAS_DEMAND,Bcf/d,420,1990-01,2024-12,12.709116032974713,8.948627407861144,70.4110922006164,3.1310719216769174,32.546661227563696,328,119,209,266,3.920489296636086
gas_share_pct,Gas Generation Share,GENERATION_MIX,%,288,2001-01,2024-12,28.42842534708034,9.217857751702361,32.42479187349382,12.748732334824576,47.97362080973201,35,19,16,6,2.8285714285714287
coal_share_pct,Coal Generation Share,GENERATION_MIX,%,288,2001-01,2024-12,36.62187165008616,12.500550079725159,34.13411034576587,11.850033839055891,53.32052875914801,11,2,9,2,2.3636363636363638
gas_rigs,Gas Rig Count,SUPPLY,rigs,420,1990-01,2024-12,496.25714285714287,242.41412242434873,48.84849032674423,68.0,988.0,19,0,19,15,5.7894736842105265
total_rigs,Total Rig Count,SUPPLY,rigs,420,1990-01,2024-12,1287.9142857142858,517.4962970462003,40.180957908949146,248.0,2390.0,19,0,19,10,6.368421052631579
net_exports_bcfd,Net Gas Exports,TRADE,Bcf/d,420,1990-01,2024-12,-3.6409393346379644,6.85451400639203,-188.26224159193816,-10.161643835616438,13.465753424657535,34,21,13,23,6.176470588235294
lng_exports_bcfd,LNG Exports,TRADE,Bcf/d,420,1990-01,2024-12,1.7581996086105676,3.675870608364042,209.07015280642284,0.0,12.32876712328767,37,37,0,24,5.945945945945946
