date,avg_price_mwh,volume_mwh,high_price_mwh,low_price_mwh,hub,region
2001-01-01,254.94295454545454,17600,495.0,152.0,CAISO_Combined,CAISO
2001-02-01,223.83729729729728,14800,485.0,158.0,CAISO_Combined,CAISO
2001-03-01,218.47058823529412,13600,500.0,155.0,CAISO_Combined,CAISO
2001-04-01,247.64285714285714,16800,340.0,140.0,CAISO_Combined,CAISO
2001-05-01,249.00742424242424,52800,570.0,113.0,CAISO_Combined,CAISO
2001-06-01,66.26119266055046,87200,180.0,40.0,CAISO_Combined,CAISO
2001-07-01,51.90546125461255,108400,91.85,36.5,CAISO_Combined,CAISO
2001-08-01,46.08131652661064,142800,72.0,26.25,CAISO_Combined,CAISO
2001-09-01,26.270582959641256,89200,32.0,22.25,CAISO_Combined,CAISO
2001-10-01,29.027899686520374,127600,38.65,23.0,CAISO_Combined,CAISO
2001-11-01,27.946796536796537,184800,35.0,17.0,CAISO_Combined,CAISO
2001-12-01,30.480922619047618,134400,40.5,24.0,CAISO_Combined,CAISO
2002-01-01,24.0130859375,204800,30.0,19.25,CAISO_Combined,CAISO
2002-02-01,25.636005025125627,318400,28.35,22.0,CAISO_Combined,CAISO
2002-03-01,36.014645476772614,327200,47.75,26.75,CAISO_Combined,CAISO
2002-04-01,31.919725651577505,291600,39.25,25.0,CAISO_Combined,CAISO
2002-05-01,29.646479820627803,356800,39.0,22.0,CAISO_Combined,CAISO
2002-06-01,33.38564561734213,424400,44.5,24.5,CAISO_Combined,CAISO
2002-07-01,38.239704480457576,419600,71.0,29.0,CAISO_Combined,CAISO
2002-08-01,31.329073756432248,466400,38.5,23.0,CAISO_Combined,CAISO
2002-09-01,35.14639097744361,372400,41.5,30.5,CAISO_Combined,CAISO
2002-10-01,37.41764953664701,474800,48.75,32.0,CAISO_Combined,CAISO
2002-11-01,40.45246963562753,296400,47.25,35.25,CAISO_Combined,CAISO
2002-12-01,46.23702985074627,268000,53.0,41.0,CAISO_Combined,CAISO
2003-01-01,44.841397435897434,312000,53.5,38.0,CAISO_Combined,CAISO
2003-02-01,64.11372460496614,354400,145.0,49.3,CAISO_Combined,CAISO
2003-03-01,58.04465976331361,270400,86.25,40.75,CAISO_Combined,CAISO
2003-04-01,46.72017793594306,224800,58.0,39.0,CAISO_Combined,CAISO
2003-05-01,53.22185248713551,233200,73.0,36.0,CAISO_Combined,CAISO
2003-06-01,50.598962605548856,331600,69.25,40.5,CAISO_Combined,CAISO
2003-07-01,59.40361144219309,335600,78.0,49.5,CAISO_Combined,CAISO
2003-08-01,52.669107883817425,385600,61.0,45.25,CAISO_Combined,CAISO
2003-09-01,48.62776876267748,394400,58.0,42.25,CAISO_Combined,CAISO
2003-10-01,47.97540657439446,462400,54.75,39.0,CAISO_Combined,CAISO
2003-11-01,42.650531531531534,444000,47.5,38.75,CAISO_Combined,CAISO
2003-12-01,48.77060204081633,392000,62.0,41.0,CAISO_Combined,CAISO
2004-01-01,50.782791443850265,374000,63.5,44.5,CAISO_Combined,CAISO
2004-02-01,47.688993595608416,437200,55.25,42.25,CAISO_Combined,CAISO
2004-03-01,46.83929929006085,394400,50.5,42.0,CAISO_Combined,CAISO
2004-04-01,51.34908713932399,485200,67.0,46.25,CAISO_Combined,CAISO
2004-05-01,58.79496782690499,425200,66.5,50.75,CAISO_Combined,CAISO
2004-06-01,54.27547488335926,514400,70.5,39.0,CAISO_Combined,CAISO
2004-07-01,65.3980702098849,590800,81.0,52.75,CAISO_Combined,CAISO
2004-08-01,57.63987317236754,596400,74.0,45.75,CAISO_Combined,CAISO
2004-09-01,49.23250844553243,653600,58.0,43.0,CAISO_Combined,CAISO
2004-10-01,58.211496341463416,656000,76.0,46.5,CAISO_Combined,CAISO
2004-11-01,61.52369940262843,669600,80.25,45.0,CAISO_Combined,CAISO
2004-12-01,63.754380548128346,598400,83.5,50.25,CAISO_Combined,CAISO
