year,month,period,avg_price_mwh,avg_price_kwh,henry_hub,elec_tx,permian_gas,us_storage
2020,1,2020-01,16.961451612903225,1.6961451612903224,2.1,7.85,10.7,2616.0
2020,2,2020-02,17.713031609195404,1.7713031609195404,1.98,7.99,10.6,2081.0
2020,3,2020-03,23.053230148048453,2.3053230148048454,1.86,7.9,11.1,2029.0
2020,4,2020-04,19.90341666666667,1.990341666666667,1.81,7.95,10.7,2332.0
2020,5,2020-05,18.23282258064516,1.823282258064516,1.82,8.09,9.5,2778.0
2020,6,2020-06,18.948444444444444,1.8948444444444443,1.69,8.38,10.3,3133.0
2020,7,2020-07,22.98913978494624,2.298913978494624,1.83,8.47,10.8,3294.0
2020,8,2020-08,39.18420698924731,3.9184206989247303,2.39,8.53,11.0,3522.0
2020,9,2020-09,18.97958333333333,1.897958333333333,1.99,8.52,11.1,3840.0
2020,10,2020-10,23.3569623655914,2.33569623655914,2.48,8.12,11.2,3929.0
2020,11,2020-11,23.7275866851595,2.3727586685159503,2.71,7.98,11.2,3932.0
2020,12,2020-12,20.891182795698924,2.0891182795698926,2.68,7.89,11.0,3341.0
2021,1,2021-01,21.54244623655914,2.154244623655914,2.82,7.97,11.2,2635.0
2021,2,2021-02,1485.4915029761903,148.54915029761906,5.56,11.38,9.1,1859.0
2021,3,2021-03,20.870699865410497,2.08706998654105,2.72,9.54,11.3,1801.0
2021,4,2021-04,29.631083333333336,2.963108333333333,2.76,9.05,12.1,1975.0
2021,5,2021-05,24.230470430107527,2.4230470430107527,3.02,8.39,12.1,2390.0
2021,6,2021-06,42.22570833333333,4.222570833333333,3.39,8.68,12.1,2585.0
2021,7,2021-07,41.477647849462365,4.1477647849462365,3.99,8.76,12.5,2755.0
2021,8,2021-08,41.35739247311828,4.135739247311828,4.23,9.1,12.6,2917.0
2021,9,2021-09,45.246208333333335,4.5246208333333335,5.36,9.22,12.8,3306.0
2021,10,2021-10,53.652150537634405,5.365215053763441,5.72,9.03,13.0,3665.0
2021,11,2021-11,39.77607489597781,3.977607489597781,5.25,8.88,13.1,3533.0
2021,12,2021-12,29.701706989247317,2.9701706989247314,3.91,8.59,13.3,3210.0
2022,1,2022-01,33.650362903225805,3.365036290322581,4.55,8.82,13.2,2216.0
2022,2,2022-02,39.40650297619048,3.940650297619048,4.87,9.04,13.3,1562.0
2022,3,2022-03,38.48512786002692,3.848512786002692,5.09,9.07,14.1,1401.0
2022,4,2022-04,52.51783333333333,5.251783333333333,6.85,9.18,14.5,1612.0
2022,5,2022-05,80.51465053763441,8.05146505376344,8.45,10.03,14.6,2002.0
2022,6,2022-06,79.20486111111111,7.920486111111112,7.99,10.56,14.5,2325.0
2022,7,2022-07,122.4091935483871,12.24091935483871,7.56,11.28,14.8,2505.0
2022,8,2022-08,100.7666129032258,10.07666129032258,9.14,11.19,15.0,2709.0
2022,9,2022-09,69.36418055555555,6.936418055555555,8.18,11.02,15.4,3146.0
2022,10,2022-10,47.82174731182796,4.782174731182796,5.88,10.53,15.5,3569.0
2022,11,2022-11,44.08743411927878,4.408743411927878,5.66,10.1,15.4,3501.0
2022,12,2022-12,64.2175,6.42175,5.74,10.1,15.3,2925.0
2023,1,2023-01,24.690860215053764,2.4690860215053765,3.39,9.84,15.6,2470.0
2023,2,2023-02,21.16267857142857,2.1162678571428573,2.47,9.93,15.6,2072.0
2023,3,2023-03,23.89582772543741,2.3895827725437413,2.4,9.41,16.4,1850.0
2023,4,2023-04,22.749625,2.2749625,2.24,8.82,16.5,2116.0
2023,5,2023-05,27.96333333333333,2.7963333333333336,2.23,9.2,16.5,2576.0
2023,6,2023-06,70.64323611111111,7.064323611111111,2.26,9.83,16.3,2902.0
2023,7,2023-07,56.309475806451616,5.630947580645161,2.65,10.04,16.6,3035.0
2023,8,2023-08,263.4452956989247,26.344529569892472,2.68,10.92,17.0,3168.0
2023,9,2023-09,68.83866666666667,6.883866666666667,2.74,10.51,17.2,3490.0
2023,10,2023-10,31.944086021505377,3.1944086021505376,3.09,9.74,17.2,3809.0
2023,11,2023-11,30.347905686546465,3.0347905686546466,2.81,9.21,17.5,3742.0
2023,12,2023-12,19.69345430107527,1.969345430107527,2.62,9.16,17.8,3457.0
2024,1,2024-01,44.718897849462365,4.471889784946237,3.3,9.59,17.1,2611.0
2024,2,2024-02,14.429051724137931,1.4429051724137931,1.79,9.17,17.8,2350.0
2024,3,2024-03,18.011197846567967,1.8011197846567968,1.55,9.07,18.3,2306.0
2024,4,2024-04,21.572416666666665,2.1572416666666667,1.66,9.13,18.4,2562.0
2024,5,2024-05,42.732217741935486,4.273221774193549,2.2,9.28,18.3,2923.0
2024,6,2024-06,28.549111111111117,2.8549111111111114,2.64,9.84,18.8,3175.0
2024,7,2024-07,22.517190860215056,2.251719086021505,2.15,10.02,19.1,3294.0
2024,8,2024-08,34.79104838709677,3.479104838709677,2.07,10.14,19.5,3370.0
2024,9,2024-09,22.616694444444445,2.2616694444444443,2.37,9.97,19.5,3615.0
2024,10,2024-10,25.244126344086023,2.5244126344086024,2.29,9.59,19.9,3938.0
2024,11,2024-11,23.27712898751734,2.327712898751734,2.2,9.23,19.8,3915.0
2024,12,2024-12,25.05610215053764,2.505610215053764,3.13,9.33,19.9,3438.0
