date,hub,region,avg_price_mwh,volume_mwh,high_price_mwh,low_price_mwh
2001-01-01,SP_15_1,CAISO,254.94295454545454,17600,495.0,152.0
2001-02-01,SP_15_1,CAISO,223.83729729729728,14800,485.0,158.0
2001-03-01,SP_15_1,CAISO,218.47058823529412,13600,500.0,155.0
2001-04-01,SP_15_1,CAISO,247.64285714285714,16800,340.0,140.0
2001-05-01,SP_15_1,CAISO,249.00742424242424,52800,570.0,113.0
2001-06-01,SP_15_1,CAISO,66.26119266055046,87200,180.0,40.0
2001-07-01,SP_15_1,CAISO,51.90546125461255,108400,91.85,36.5
2001-08-01,SP_15_1,CAISO,46.08131652661064,142800,72.0,26.25
2001-09-01,SP_15_1,CAISO,26.270582959641256,89200,32.0,22.25
2001-10-01,SP_15_1,CAISO,29.027899686520374,127600,38.65,23.0
2001-11-01,SP_15_1,CAISO,27.946796536796537,184800,35.0,17.0
2001-12-01,SP_15_1,CAISO,30.480922619047618,134400,40.5,24.0
2002-01-01,SP_15_1,CAISO,24.0130859375,204800,30.0,19.25
2002-02-01,SP_15_1,CAISO,25.636005025125627,318400,28.35,22.0
2002-03-01,SP_15_1,CAISO,36.014645476772614,327200,47.75,26.75
2002-04-01,SP_15_1,CAISO,31.919725651577505,291600,39.25,25.0
2002-05-01,SP_15_1,CAISO,29.646479820627803,356800,39.0,22.0
2002-06-01,SP_15_1,CAISO,33.38564561734213,424400,44.5,24.5
2002-07-01,SP_15_1,CAISO,38.239704480457576,419600,71.0,29.0
2002-08-01,SP_15_1,CAISO,31.329073756432248,466400,38.5,23.0
2002-09-01,SP_15_1,CAISO,35.14639097744361,372400,41.5,30.5
2002-10-01,SP_15_1,CAISO,37.41764953664701,474800,48.75,32.0
2002-11-01,SP_15_1,CAISO,40.45246963562753,296400,47.25,35.25
2002-12-01,SP_15_1,CAISO,46.23702985074627,268000,53.0,41.0
2003-01-01,SP_15_1,CAISO,44.841397435897434,312000,53.5,38.0
2003-02-01,SP_15_1,CAISO,64.11372460496614,354400,145.0,49.3
2003-03-01,SP_15_1,CAISO,58.04465976331361,270400,86.25,40.75
2003-04-01,SP_15_1,CAISO,46.72017793594306,224800,58.0,39.0
2003-05-01,SP_15_1,CAISO,53.22185248713551,233200,73.0,36.0
2003-06-01,SP_15_1,CAISO,50.598962605548856,331600,69.25,40.5
2003-07-01,SP_15_1,CAISO,59.40361144219309,335600,78.0,49.5
2003-08-01,SP_15_1,CAISO,52.669107883817425,385600,61.0,45.25
2003-09-01,SP_15_1,CAISO,48.62776876267748,394400,58.0,42.25
2003-10-01,SP_15_1,CAISO,47.97540657439446,462400,54.75,39.0
2003-11-01,SP_15_1,CAISO,42.650531531531534,444000,47.5,38.75
2003-12-01,SP_15_1,CAISO,48.77060204081633,392000,62.0,41.0
2004-01-01,SP_15_1,CAISO,50.782791443850265,374000,63.5,44.5
2004-02-01,SP_15_1,CAISO,47.688993595608416,437200,55.25,42.25
2004-03-01,SP_15_1,CAISO,46.83929929006085,394400,50.5,42.0
2004-04-01,SP_15_1,CAISO,51.34908713932399,485200,67.0,46.25
2004-05-01,SP_15_1,CAISO,58.79496782690499,425200,66.5,50.75
2004-06-01,SP_15_1,CAISO,54.27547488335926,514400,70.5,39.0
2004-07-01,SP_15_1,CAISO,65.3980702098849,590800,81.0,52.75
2004-08-01,SP_15_1,CAISO,57.63987317236754,596400,74.0,45.75
2004-09-01,SP_15_1,CAISO,49.23250844553243,653600,58.0,43.0
2004-10-01,SP_15_1,CAISO,58.211496341463416,656000,76.0,46.5
2004-11-01,SP_15_1,CAISO,61.52369940262843,669600,80.25,45.0
2004-12-01,SP_15_1,CAISO,63.754380548128346,598400,83.5,50.25
2005-01-01,SP_15_1,CAISO,57.00759086783891,705200,66.25,49.75
2005-02-01,SP_15_1,CAISO,53.47452442396313,607600,57.25,50.0
2005-03-01,SP_15_1,CAISO,57.10899088130413,785200,63.75,53.5
2005-04-01,SP_15_1,CAISO,59.27832520205731,544400,63.75,49.5
2005-05-01,SP_15_1,CAISO,51.73076666666666,802800,60.75,42.75
2005-06-01,SP_15_1,CAISO,55.25874954896907,1241600,72.0,40.0
2005-07-01,SP_15_1,CAISO,76.83482176485087,1622800,113.0,58.75
2005-08-01,SP_15_1,CAISO,84.11859982952608,2346400,103.0,73.0
2005-09-01,SP_15_1,CAISO,91.36330690069727,1663600,116.0,74.75
2005-10-01,SP_15_1,CAISO,101.10741517647058,1700000,120.0,88.25
2005-11-01,SP_15_1,CAISO,79.1290486458602,1550800,108.0,61.0
2005-12-01,SP_15_1,CAISO,110.51968420913653,1514800,142.0,60.0
2006-01-01,SP_15_1,CAISO,65.47663034100844,1372400,75.5,55.0
2006-02-01,SP_15_1,CAISO,58.20689970398746,2297200,65.0,49.55
2006-03-01,SP_15_1,CAISO,50.27682989230365,1522800,61.0,45.5
2006-04-01,SP_15_1,CAISO,54.12203763760786,1344400,66.0,42.0
2006-05-01,SP_15_1,CAISO,52.17774141066601,1627600,61.2,41.5
2006-06-01,SP_15_1,CAISO,59.458218526603,1466000,79.0,44.5
2006-07-01,SP_15_1,CAISO,83.64780206286837,1628800,400.0,53.75
2006-08-01,SP_15_1,CAISO,69.19607976503323,2587600,84.25,58.5
2006-09-01,SP_15_1,CAISO,50.546657999388195,2615200,71.0,38.0
2006-10-01,SP_15_1,CAISO,56.12313320150998,2225200,74.0,40.0
2006-11-01,SP_15_1,CAISO,65.53661434108527,2064000,84.0,52.5
2006-12-01,SP_15_1,CAISO,65.27831454783748,1526000,80.0,51.25
2007-01-01,SP_15_1,CAISO,60.372305647840534,2408000,75.5,48.5
2007-02-01,SP_15_1,CAISO,64.24546031746031,2268000,71.5,57.75
2007-03-01,SP_15_1,CAISO,54.943636773321316,2662800,71.0,46.5
2007-04-01,SP_15_1,CAISO,64.74906126687435,1926000,76.25,51.0
2007-05-01,SP_15_1,CAISO,72.40296625580926,1979600,89.75,57.25
2007-06-01,SP_15_1,CAISO,70.08531438551921,2519200,82.5,52.5
2007-07-01,SP_15_1,CAISO,79.87978523046424,2421200,334.0,57.75
2007-08-01,SP_15_1,CAISO,71.55700520144583,4537200,120.0,53.5
2007-09-01,SP_15_1,CAISO,57.17118878830843,3667600,64.25,44.5
2007-10-01,SP_15_1,CAISO,70.39484505363528,4698400,190.0,55.0
2007-11-01,SP_15_1,CAISO,64.22753653444677,4023600,78.85,46.0
2007-12-01,SP_15_1,CAISO,70.98515861674764,2799200,79.5,57.65
2008-01-01,SP_15_1,CAISO,77.3458738231793,3696400,90.0,63.0
2008-02-01,SP_15_1,CAISO,78.20551862034492,3200800,84.0,71.5
2008-03-01,SP_15_1,CAISO,84.14017232704403,3180000,106.0,69.5
