event_id,event_name,date,end_date,region,event_type,sub_type,description,gas_price_impact
HURR_OPAL_1995,Hurricane Opal,1995-10-04,1995-10-06,Gulf of Mexico,NATURAL_DISASTER,HURRICANE,"Category 3, minor production disruption",0.3
HURR_GEORGES_1998,Hurricane Georges,1998-09-28,1998-10-01,Gulf of Mexico,NATURAL_DISASTER,HURRICANE,"Category 2, moderate disruption",0.25
HURR_LILI_2002,Hurricane Lili,2002-10-03,2002-10-04,Gulf of Mexico,NATURAL_DISASTER,HURRICANE,"Category 4, significant platform evacuations",0.35
HURR_IVAN_2004,Hurricane Ivan,2004-09-16,2004-09-17,Gulf of Mexico,NATURAL_DISASTER,HURRICANE,"Category 3, destroyed 7 platforms",0.5
HURR_KATRINA_2005,Hurricane Katrina,2005-08-29,2005-08-30,Gulf of Mexico,NATURAL_DISASTER,HURRICANE,"Category 5, destroyed 47 platforms, 88% gas shut-in, 10 months disruption",4.5
HURR_RITA_2005,Hurricane Rita,2005-09-24,2005-09-24,Gulf of Mexico,NATURAL_DISASTER,HURRICANE,"Category 5, destroyed 66 platforms, 80% gas shut-in",3.0
RUSSIA_UKRAINE_2006,Russia-Ukraine Gas Dispute 2006,2006-01-01,2006-01-04,Europe,GEOPOLITICAL,GEOPOLITICAL,"Gazprom cut gas to Ukraine, reduced flows to Europe",0.5
HURR_GUSTAV_2008,Hurricane Gustav,2008-09-01,2008-09-02,Gulf of Mexico,NATURAL_DISASTER,HURRICANE,"Category 4, major evacuations",1.2
HURR_IKE_2008,Hurricane Ike,2008-09-13,2008-09-14,Gulf of Mexico/Texas,NATURAL_DISASTER,HURRICANE,"Category 2 at landfall, widespread damage",1.5
RUSSIA_UKRAINE_2009,Russia-Ukraine Gas Dispute 2009,2009-01-01,2009-01-20,Europe,GEOPOLITICAL,GEOPOLITICAL,Complete halt of Russian gas through Ukraine for 13 days,1.2
COLD_2011,February 2011 Cold Wave,2011-02-01,2011-02-05,Texas/Southwest,NATURAL_DISASTER,POLAR_VORTEX,"Rolling blackouts in Texas, ERCOT warning issued",1.7999999999999998
LIBYA_CIVIL_WAR_2011,Libyan Civil War,2011-02-15,2011-10-23,North Africa/Mediterranean,GEOPOLITICAL,GEOPOLITICAL,"Libya gas exports to Italy halted, oil production collapsed",0.8
FUKUSHIMA_2011,Fukushima Nuclear Disaster,2011-03-11,2012-05-05,Japan/Asia,GEOPOLITICAL,GEOPOLITICAL,"Japan shut all nuclear, LNG imports surged, global LNG tightness",1.5
