year,risk_score,p_war,p_sanctions,p_disruption,risk_multiplier
2026,85.0,0.17657739294572583,0.21561643943761022,0.6394050598269216,1.7
2027,86.0,0.17845735241825267,0.2178543368063114,0.6437063398138412,1.72
2028,87.2,0.18070763901920384,0.22053138722840704,0.6488002046718635,1.744
2029,88.58,0.18328784970908873,0.2235986697138833,0.654568182611315,1.7716
2030,90.122,0.18616134312827992,0.2270117481013244,0.6609012784552706,1.80244
2031,91.8098,0.18929494481582476,0.2307303450311856,0.6677001649465052,1.836196
2032,93.62882,0.19265866425129952,0.234718021928916,0.6748750925912557,1.8725764
2033,95.565938,0.19622542600008985,0.2389418695729626,0.6823455924900356,1.9113187600000001
2034,97.60934420000001,0.19997081638205727,0.24337221243790474,0.6900400335728856,1.9521868840000003
2035,99.74840978,0.20387284641592618,0.24798232890683392,0.6978950838173639,1.9949681956
