year,month,month_name,p_any_hurricane,p_major_hurricane,monthly_weight,climate_factor
2026,1,Jan,0.0,0.0,0.0,1.0175
2026,2,Feb,0.0,0.0,0.0,1.0175
2026,3,Mar,0.0,0.0,0.0,1.0175
2026,4,Apr,0.0,0.0,0.0,1.0175
2026,5,May,0.020144336198737012,0.009283721010965085,0.01,1.0175
2026,6,Jun,0.09674466272118065,0.04556469462908863,0.05,1.0175
2026,7,Jul,0.15023887635477018,0.07190081049626829,0.08,1.0175
2026,8,Aug,0.3609036158092882,0.18551220306792393,0.22,1.0175
2026,9,Sep,0.4785803024484421,0.25804498672831166,0.32,1.0175
2026,10,Oct,0.3609036158092882,0.18551220306792393,0.22,1.0175
2026,11,Nov,0.15023887635477018,0.07190081049626829,0.08,1.0175
2026,12,Dec,0.03988287811658642,0.018481254546120596,0.02,1.0175
2027,1,Jan,0.0,0.0,0.0,1.0350000000000001
2027,2,Feb,0.0,0.0,0.0,1.0350000000000001
2027,3,Mar,0.0,0.0,0.0,1.0350000000000001
2027,4,Apr,0.0,0.0,0.0,1.0350000000000001
2027,5,May,0.020487225671909415,0.009442635667432309,0.01,1.0350000000000001
2027,6,Jun,0.09832397725814457,0.046329924350243634,0.05,1.0350000000000001
2027,7,Jul,0.15261487954418984,0.07309110718572631,0.08,1.0350000000000001
2027,8,Aug,0.36580576048988045,0.18838159998309167,0.22,1.0350000000000001
2027,9,Sep,0.4843876213693489,0.2618439301660881,0.32,1.0350000000000001
2027,10,Oct,0.36580576048988045,0.18838159998309167,0.22,1.0350000000000001
2027,11,Nov,0.15261487954418984,0.07309110718572631,0.08,1.0350000000000001
2027,12,Dec,0.04055472492808698,0.018796107966516873,0.02,1.0350000000000001
2028,1,Jan,0.0,0.0,0.0,1.0525
2028,2,Feb,0.0,0.0,0.0,1.0525
2028,3,Mar,0.0,0.0,0.0,1.0525
2028,4,Apr,0.0,0.0,0.0,1.0525
2028,5,May,0.02082999515476558,0.009601524833384834,0.01,1.0525
2028,6,Jun,0.09990053041158409,0.047094540539477925,0.05,1.0525
2028,7,Jul,0.15498423922992455,0.07427987730752328,0.08,1.0525
2028,8,Aug,0.3706703036082297,0.19124088816650464,0.22,1.0525
2028,9,Sep,0.49013026119737235,0.2656234223285373,0.32,1.0525
2028,10,Oct,0.3706703036082297,0.19124088816650464,0.22,1.0525
2028,11,Nov,0.15498423922992455,0.07427987730752328,0.08,1.0525
2028,12,Dec,0.041226101611383625,0.019110860387643425,0.02,1.0525
2029,1,Jan,0.0,0.0,0.0,1.07
2029,2,Feb,0.0,0.0,0.0,1.07
2029,3,Mar,0.0,0.0,0.0,1.07
2029,4,Apr,0.0,0.0,0.0,1.07
2029,5,May,0.021172644689295028,0.009760388512911167,0.01,1.07
2029,6,Jun,0.1014743270096945,0.04785854368869802,0.05,1.07
2029,7,Jul,0.15734697398776665,0.07546712281949786,0.08,1.07
2029,8,Aug,0.3754975335845224,0.19409010323068376,0.22,1.07
2029,9,Sep,0.49580894229678285,0.2693835628096961,0.32,1.07
2029,10,Oct,0.3754975335845224,0.19409010323068376,0.22,1.07
2029,11,Nov,0.15734697398776665,0.07546712281949786,0.08,1.07
2029,12,Dec,0.04189700849545086,0.019425511841899223,0.02,1.07
2030,1,Jan,0.0,0.0,0.0,1.0875
2030,2,Feb,0.0,0.0,0.0,1.0875
2030,3,Mar,0.0,0.0,0.0,1.0875
2030,4,Apr,0.0,0.0,0.0,1.0875
2030,5,May,0.021515174317472185,0.009919226710099482,0.01,1.0875
2030,6,Jun,0.10304537187222906,0.048621934289415636,0.05,1.0875
