year,month,utilization_pct,regime,price_adjustment,lng_adjusted_mean
2024,1,109.429718875502,Crisis,7.771887550200802,11.271887550200802
2024,2,109.429718875502,Crisis,7.771887550200802,11.271887550200802
2024,3,107.429718875502,Crisis,6.971887550200802,10.471887550200801
2024,4,107.429718875502,Crisis,6.971887550200802,10.471887550200801
2024,5,107.429718875502,Crisis,6.971887550200802,10.471887550200801
2024,6,105.429718875502,Crisis,6.171887550200802,9.671887550200802
2024,7,105.429718875502,Crisis,6.171887550200802,9.671887550200802
2024,8,105.429718875502,Crisis,6.171887550200802,9.671887550200802
2024,9,107.429718875502,Crisis,6.971887550200802,10.471887550200801
2024,10,107.429718875502,Crisis,6.971887550200802,10.471887550200801
2024,11,107.429718875502,Crisis,6.971887550200802,10.471887550200801
2024,12,109.429718875502,Crisis,7.771887550200802,11.271887550200802
2025,1,109.60456273764258,Crisis,7.8418250950570325,11.341825095057033
2025,2,109.60456273764258,Crisis,7.8418250950570325,11.341825095057033
2025,3,107.60456273764258,Crisis,7.041825095057033,10.541825095057032
2025,4,107.60456273764258,Crisis,7.041825095057033,10.541825095057032
2025,5,107.60456273764258,Crisis,7.041825095057033,10.541825095057032
2025,6,105.60456273764258,Crisis,6.241825095057033,9.741825095057033
2025,7,105.60456273764258,Crisis,6.241825095057033,9.741825095057033
2025,8,105.60456273764258,Crisis,6.241825095057033,9.741825095057033
2025,9,107.60456273764258,Crisis,7.041825095057033,10.541825095057032
2025,10,107.60456273764258,Crisis,7.041825095057033,10.541825095057032
2025,11,107.60456273764258,Crisis,7.041825095057033,10.541825095057032
2025,12,109.60456273764258,Crisis,7.8418250950570325,11.341825095057033
2026,1,107.30973451327435,Crisis,6.92389380530974,10.42389380530974
2026,2,107.30973451327435,Crisis,6.92389380530974,10.42389380530974
2026,3,105.30973451327435,Crisis,6.1238938053097405,9.623893805309741
2026,4,105.30973451327435,Crisis,6.1238938053097405,9.623893805309741
2026,5,105.30973451327435,Crisis,6.1238938053097405,9.623893805309741
