year,total_capacity_bcm,us_capacity_bcm,total_demand_bcm,asia_demand_bcm,europe_demand_bcm,utilization_pct,surplus_bcm,surplus_pct,market_regime,us_lng_exports_bcfd,us_gas_production_bcfd,lng_share_pct,hh_lng_premium,global_impact,total_lng_adjustment,lng_adjusted_mean
2020,434,70,380,260,80,87.55760368663594,54,12.442396313364055,Balanced,6.5,91,7.142857142857142,0.0,0.6336405529953915,0.6336405529953915,4.1336405529953915
2021,448,75,415,280,90,92.63392857142857,33,7.366071428571429,Tight,9.5,93,10.21505376344086,0.36,1.526785714285714,1.8867857142857138,5.386785714285714
2022,464,80,470,290,130,101.29310344827587,-6,-1.293103448275862,Crisis,10.5,99,10.606060606060606,0.48,4.517241379310349,4.997241379310349,8.49724137931035
2023,481,88,504,310,140,104.78170478170479,-23,-4.781704781704782,Crisis,11.8,103,11.456310679611653,0.636,5.912681912681916,6.548681912681916,10.048681912681916
2024,498,95,535,330,145,107.429718875502,-37,-7.429718875502007,Crisis,12.5,105,11.904761904761903,0.72,6.971887550200802,7.691887550200802,11.191887550200802
2025,526,115,566,350,150,107.60456273764258,-40,-7.604562737642586,Crisis,14.0,107,13.084112149532709,0.8999999999999999,7.041825095057033,7.941825095057032,11.441825095057032
2026,565,140,595,370,155,105.30973451327435,-30,-5.3097345132743365,Crisis,16.0,110,14.545454545454545,1.14,6.1238938053097405,7.26389380530974,10.76389380530974
2027,623,165,626,390,160,100.48154093097914,-3,-0.4815409309791332,Crisis,18.5,113,16.371681415929203,1.44,4.1926163723916545,5.632616372391654,9.132616372391654
2028,676,185,655,410,165,96.89349112426035,21,3.106508875739645,Crisis,21.0,116,18.103448275862068,1.74,2.75739644970414,4.49739644970414,7.99739644970414
2029,702,195,674,425,165,96.01139601139602,28,3.9886039886039883,Crisis,22.5,118,19.06779661016949,1.92,2.4045584045584065,4.324558404558406,7.824558404558406
2030,728,205,695,440,165,95.46703296703298,33,4.532967032967033,Crisis,24.0,120,20.0,2.1,2.186813186813191,4.286813186813191,7.786813186813191
2035,880,250,805,520,170,91.47727272727273,75,8.522727272727272,Tight,30.0,130,23.076923076923077,2.82,1.2954545454545467,4.115454545454547,7.615454545454547
