event_id,event_name,category,start_date,end_date,region,gas_shutin_bcfd,oil_shutin_mbd,duration_days,price_impact_pct,notes
OPAL_1995,Hurricane Opal,HURRICANE,1995-10-04,1995-10-05,GULF_OF_MEXICO,1.5,0.8,14,8,"Category 4, passed through GoM producing region"
GEORGES_1998,Hurricane Georges,HURRICANE,1998-09-28,1998-09-29,GULF_OF_MEXICO,2.0,1.0,21,12,"Category 2, significant offshore disruption"
LILI_2002,Hurricane Lili,HURRICANE,2002-10-03,2002-10-04,GULF_OF_MEXICO,2.2,1.2,10,10,"Category 4, Louisiana landfall"
IVAN_2004,Hurricane Ivan,HURRICANE,2004-09-16,2004-09-17,GULF_OF_MEXICO,3.5,1.5,45,18,"Category 3, 25% monthly production shut-in, significant infrastructure damage"
KATRINA_2005,Hurricane Katrina,HURRICANE,2005-08-29,2005-08-30,GULF_OF_MEXICO,8.8,1.4,180,75,"Category 5, 88% GoM gas shut-in, 47 platforms destroyed, $12.69 peak price"
RITA_2005,Hurricane Rita,HURRICANE,2005-09-24,2005-09-25,GULF_OF_MEXICO,8.0,1.5,120,50,"Category 5, 80% gas shut-in, 66 platforms destroyed, $15.22 peak price"
GUSTAV_2008,Hurricane Gustav,HURRICANE,2008-09-01,2008-09-02,GULF_OF_MEXICO,6.5,1.3,21,20,"Category 4, Louisiana landfall"
IKE_2008,Hurricane Ike,HURRICANE,2008-09-13,2008-09-14,GULF_OF_MEXICO,7.0,1.4,28,25,"Category 4, Texas landfall, 34% refining shutdown"
ISAAC_2012,Hurricane Isaac,HURRICANE,2012-08-29,2012-08-30,GULF_OF_MEXICO,1.8,1.3,14,8,"Category 1, 13.5 million bbls oil, 32 Bcf gas shut-in"
HARVEY_2017,Hurricane Harvey,HURRICANE,2017-08-25,2017-08-30,GULF_OF_MEXICO,0.5,0.4,14,-5,"Category 4, 61 inches rain, refinery focus, demand destruction > supply"
NATE_2017,Hurricane Nate,HURRICANE,2017-10-07,2017-10-08,GULF_OF_MEXICO,1.2,0.8,10,6,"Category 1, passed through Mississippi Canyon, 18% monthly production"
LAURA_2020,Hurricane Laura,HURRICANE,2020-08-27,2020-08-28,GULF_OF_MEXICO,1.5,1.0,14,5,"Category 4, LNG export disruption at Sabine Pass/Cameron"
IDA_2021,Hurricane Ida,HURRICANE,2021-08-29,2021-08-30,GULF_OF_MEXICO,2.1,1.7,60,15,"Category 4, 96% oil/94% gas shut-in, Port Fourchon damage, 38.4 Bcf total"
POLAR_VORTEX_2014,Polar Vortex 2014,POLAR_VORTEX,2014-01-06,2014-01-10,NORTHEAST_MIDWEST,0.0,0.0,14,85,"Henry Hub to $7.90, NYC spot $20.77, Chicago $27.45, oil fuel switching"
URI_2021,Winter Storm Uri,POLAR_VORTEX,2021-02-13,2021-02-19,TEXAS_ERCOT,15.0,4.0,7,535,"TX production -45%, Henry Hub $3.76 to $23.86, ERCOT $9000/MWh, 246+ deaths"
ELLIOTT_2022,Winter Storm Elliott,POLAR_VORTEX,2022-12-23,2022-12-26,NORTHEAST_APPALACHIA,6.0,0.5,4,40,"Northeast production -6 Bcf/d, below 0F temperatures"
HEATHER_2024,Winter Storm Heather,POLAR_VORTEX,2024-01-14,2024-01-17,PERMIAN_HAYNESVILLE,5.0,0.3,4,25,"Permian -3 Bcf/d, Haynesville -2 Bcf/d"
