date,year,month,period,electric_power_bcfd,industrial_bcfd,residential_bcfd,commercial_bcfd,total_bcfd,electric_power_share_pct,industrial_share_pct,residential_cents_kwh,commercial_cents_kwh,industrial_cents_kwh,gas_share_pct,coal_share_pct,nuclear_share_pct,renewable_share_pct,gas_rigs,oil_rigs,total_rigs,caiso_wholesale_mwh,henry_hub_mmbtu,net_exports_bcfd,lng_exports_bcfd,is_net_exporter,henry_hub_spot,texas_citygate,california_citygate,gas_price,post_order436,post_order636,post_order888,post_epact2005,shale_boom,post_caa1990,post_mats,post_cpp,post_rggi,post_ca_cap,post_lng_exports,us_net_exporter,post_ira,post_lng_pause,era,post_nepa,post_epact2005_permitting,post_fra2023,post_certificate_policy,post_mvp_approval,post_order2003,post_order2023,post_order1000,post_order1920,post_401_battles,power_share_of_gas,heating_demand,base_demand,is_winter,is_summer,gas_coal_ratio,thermal_share,clean_share,post_coal_decline,post_major_coal_ret,shale_era,caiso_wholesale_historical_mwh,indiana_wholesale_mwh,midc_wholesale_mwh,isone_wholesale_mwh,pjm_wholesale_mwh,palo_verde_wholesale_mwh,ca_industrial_cents_kwh,tx_industrial_cents_kwh,ercot_wholesale_mwh,post_obbba,ira_era
1997-01-01,1997,1,1997-01,5.9742061001631726,27.791075687209737,28.316775448725995,14.869712564327852,79.71447847370402,7.494505658885952,34.863272292971686,,,,,,,,425,675,1100,,,-7.876712328767123,0.0,False,3.45,4.7,4.14,3.45,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,7.494505658885952,43.18648801305385,33.76528178737291,1,0,,,0.0,0,0,0,,,,,,,,,,0,0
1997-02-01,1997,2,1997-02,6.811700944969428,28.5515216787104,26.31520983879933,14.580947748749304,78.9883615897721,8.623676713724176,36.146491842676,,,,,,,,420,668,1088,,,-7.876712328767123,0.0,False,2.15,4.16,3.21,2.15,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,8.623676713724176,40.89615758754864,35.36322262367983,1,0,,,0.0,0,0,0,,,,,,,,,,0,0
1997-03-01,1997,3,1997-03,8.146447847370402,26.91637379189155,19.011422116229447,11.28388979540605,67.66257687962847,12.03981317747166,39.780296632473366,,,,,,,,418,665,1083,,,-7.876712328767123,0.0,False,1.89,3.01,2.25,1.89,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,12.03981317747166,30.295311911635498,35.062821639261955,0,0,,,0.0,0,0,0,,,,,,,,,,0,0
1997-04-01,1997,4,1997-04,8.587905317769131,26.36472114137484,14.04257457846952,8.719584954604409,59.7288261997406,14.3781585277603,44.14069858531614,,,,,,,,422,672,1094,,,-7.876712328767123,0.0,False,2.03,2.38,2.3,2.03,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,14.3781585277603,22.762159533073927,34.95262645914397,0,0,,,0.0,0,0,0,,,,,,,,,,0,0
1997-05-01,1997,5,1997-05,9.94935358353207,24.81103301117108,8.90357098029371,6.391489895820258,51.766568344420726,19.2196506388749,47.928680236431305,,,,,,,,435,688,1123,,,-7.876712328767123,0.0,False,2.25,2.5,2.55,2.25,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,19.2196506388749,15.295060876113968,34.76038659470315,0,0,,,0.0,0,0,0,,,,,,,,,,0,0
1997-06-01,1997,6,1997-06,13.20599870298314,24.69743839169909,5.304507133592737,4.99666018158236,49.81767185473412,26.50866291281372,49.57565753717999,,,,,,,,450,708,1158,,,-7.876712328767123,0.0,False,2.2,3.01,2.67,2.2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,26.508662912813712,10.301167315175096,37.90343709468223,0,1,,,0.0,0,0,0,,,,,,,,,,0,0
1997-07-01,1997,7,1997-07,18.445964603991463,23.78988326848249,4.010449353583533,4.519894565080959,52.42443830802058,35.18581257010694,45.37937655851393,,,,,,,,465,728,1193,,,-7.876712328767123,0.0,False,2.19,3.23,3.72,2.19,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,35.18581257010695,8.530343918664492,42.235847872473954,0,1,,,0.0,0,0,0,,,,,,,,,,0,0
1997-08-01,1997,8,1997-08,16.80472574369273,24.859953558428515,3.699635998493787,4.383268482490273,51.38436676289695,32.70396582142353,48.38038322655581,,,,,,,,478,745,1223,,,-7.876712328767123,0.0,False,2.49,3.11,2.79,2.49,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,32.70396582142353,8.082904480984059,41.66467930212124,0,1,,,0.0,0,0,0,,,,,,,,,,0,0
1997-09-01,1997,9,1997-09,14.775907911802854,24.724967574578468,4.195460440985733,4.595654993514915,49.8920233463035,29.615772062885483,49.55695503259308,,,,,,,,488,758,1246,,,-7.876712328767123,0.0,False,2.88,3.21,2.74,2.88,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,29.615772062885483,8.791115434500648,39.50087548638132,0,0,,,0.0,0,0,0,,,,,,,,,,0,0
1997-10-01,1997,10,1997-10,10.501349315928204,24.69885151248901,7.349786619806703,5.949981172335886,50.14836199322204,20.94056295866164,49.25156182733799,,,,,,,,498,772,1270,,,-7.876712328767123,0.0,False,3.07,3.57,3.18,3.07,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2_EARLY_DEREGULATION,1,0,0,0,0,0,0,0,0,0,20.94056295866164,13.299767792142587,35.200200828417216,0,0,,,0.0,0,0,0,,,,,,,,,,0,0
