,permian_gas,haynesville_gas,appalachia_gas,total_shale_gas,us_total_prod,us_storage,elec_power_demand,henry_hub,res_gas_us,res_gas_tx,res_gas_ca,elec_us,elec_tx,elec_ca
2020-01-01,10.7,9.6,30.4,71.7,105.1,2616.0,30.6,2.1,9.43,8.44,13.56,10.22,7.85,15.59
2020-02-01,10.6,9.6,30.8,71.9,103.2,2081.0,30.8,1.98,9.19,8.13,13.11,10.22,7.99,15.9
2020-03-01,11.1,9.8,30.8,72.2,103.0,2029.0,28.7,1.86,9.8,9.17,12.47,10.21,7.9,15.63
2020-04-01,10.7,9.8,30.3,70.4,102.5,2332.0,25.9,1.81,10.42,11.84,12.89,10.34,7.95,15.9
2020-05-01,9.5,10.0,30.1,66.9,94.9,2778.0,27.0,1.82,11.79,14.55,13.77,10.39,8.09,15.85
2020-06-01,10.3,9.7,30.200000000000003,67.8,97.6,3133.0,34.7,1.69,15.33,17.9,13.99,10.88,8.38,16.73
2020-07-01,10.8,9.3,30.8,69.0,97.6,3294.0,43.4,1.83,17.49,19.59,14.02,11.06,8.47,17.25
2020-08-01,11.0,9.3,31.0,69.7,97.7,3522.0,41.2,2.39,18.27,21.45,14.14,11.02,8.53,17.78
2020-09-01,11.1,9.5,30.700000000000003,69.8,98.6,3840.0,33.9,1.99,16.85,21.14,14.33,10.99,8.52,18.3
2020-10-01,11.2,9.6,30.5,69.5,96.9,3929.0,30.6,2.48,12.26,16.21,13.3,10.65,8.12,17.67
2020-11-01,11.2,10.1,31.9,71.6,99.9,3932.0,25.7,2.71,10.99,12.9,12.94,10.38,7.98,16.68
2020-12-01,11.0,10.4,32.699999999999996,72.3,100.6,3341.0,28.5,2.68,9.75,9.94,13.76,10.37,7.89,16.15
2021-01-01,11.2,10.2,32.2,71.5,100.2,2635.0,27.9,2.82,9.62,9.97,14.42,10.29,7.97,16.44
2021-02-01,9.1,9.2,32.0,66.4,92.8,1859.0,28.0,5.56,9.28,8.48,13.82,11.16,11.38,16.57
2021-03-01,11.3,10.6,32.1,72.1,101.2,1801.0,23.9,2.72,10.47,9.14,14.12,10.84,9.54,16.97
2021-04-01,12.1,10.7,31.6,72.9,102.0,1975.0,25.4,2.76,12.27,13.37,14.69,10.63,9.05,17.54
2021-05-01,12.1,10.7,31.7,72.9,101.9,2390.0,26.3,3.02,14.07,16.24,14.88,10.69,8.39,18.25
2021-06-01,12.1,11.0,32.0,73.5,101.5,2585.0,36.2,3.39,17.74,19.94,15.48,11.25,8.68,18.59
2021-07-01,12.5,11.4,31.5,73.8,102.5,2755.0,39.9,3.99,19.81,22.43,15.83,11.45,8.76,19.02
2021-08-01,12.6,11.3,32.300000000000004,74.7,102.8,2917.0,40.7,4.23,20.86,24.71,15.94,11.55,9.1,19.61
2021-09-01,12.8,11.7,32.3,75.5,103.5,3306.0,33.0,5.36,20.13,23.86,15.77,11.59,9.22,19.8
2021-10-01,13.0,11.9,32.5,76.2,105.1,3665.0,30.3,5.72,17.4,22.95,16.14,11.24,9.03,17.6
2021-11-01,13.1,12.4,33.2,77.5,106.3,3533.0,28.9,5.25,13.11,16.12,16.1,11.14,8.88,17.93
2021-12-01,13.3,12.5,33.800000000000004,78.4,107.2,3210.0,28.4,3.91,13.08,16.99,16.65,11.03,8.59,17.34
2022-01-01,13.2,11.9,32.4,75.7,103.3,2216.0,30.6,4.55,12.04,13.02,17.54,11.24,8.82,17.26
2022-02-01,13.3,12.0,32.0,75.6,104.2,1562.0,28.7,4.87,12.15,11.93,16.74,11.42,9.04,17.76
2022-03-01,14.1,11.8,32.1,76.8,106.0,1401.0,25.1,5.09,12.94,12.8,16.55,11.48,9.07,18.82
2022-04-01,14.5,12.3,31.799999999999997,77.5,107.0,1612.0,24.8,6.85,13.97,16.63,16.19,11.56,9.18,17.28
2022-05-01,14.6,12.7,32.3,78.9,107.1,2002.0,29.8,8.45,17.68,23.61,17.79,11.98,10.03,20.52
2022-06-01,14.5,12.7,32.5,79.3,107.4,2325.0,38.2,7.99,22.41,26.72,20.5,12.75,10.56,22.33
2022-07-01,14.8,12.7,32.6,79.8,108.3,2505.0,45.3,7.56,24.57,28.89,19.87,13.12,11.28,21.08
2022-08-01,15.0,13.0,32.7,80.4,109.0,2709.0,44.5,9.14,25.39,32.81,20.95,13.44,11.19,21.74
2022-09-01,15.4,13.4,32.8,81.6,110.6,3146.0,37.5,8.18,24.52,31.24,20.61,13.31,11.02,21.9
2022-10-01,15.5,13.7,32.300000000000004,81.5,110.4,3569.0,30.5,5.88,18.62,26.56,18.5,12.66,10.53,20.54
2022-11-01,15.4,14.0,32.7,82.1,110.6,3501.0,30.1,5.66,15.56,17.74,17.81,12.3,10.1,18.73
2022-12-01,15.3,13.8,32.7,81.0,109.0,2925.0,32.0,5.74,14.66,15.16,19.82,12.4,10.1,18.17
2023-01-01,15.6,13.9,33.2,82.6,111.2,2470.0,31.1,3.39,15.44,15.15,23.56,12.68,9.84,19.47
2023-02-01,15.6,14.3,33.0,82.5,110.9,2072.0,31.0,2.47,15.18,13.8,23.64,12.67,9.93,19.38
2023-03-01,16.4,14.0,33.2,83.7,112.5,1850.0,30.2,2.4,13.9,14.62,17.96,12.46,9.41,21.12
2023-04-01,16.5,14.1,32.5,83.1,111.5,2116.0,28.8,2.24,14.56,16.63,18.55,12.16,8.82,21.32
2023-05-01,16.5,14.7,33.1,84.3,112.8,2576.0,31.9,2.23,16.89,21.1,18.29,12.21,9.2,22.11
2023-06-01,16.3,14.0,33.4,83.6,112.4,2902.0,39.3,2.26,20.33,23.87,18.52,12.72,9.83,23.63
2023-07-01,16.6,14.1,33.2,84.0,112.6,3035.0,47.6,2.65,22.22,27.2,19.25,13.06,10.04,23.37
2023-08-01,17.0,14.2,33.3,84.4,113.4,3168.0,47.5,2.68,23.44,29.44,20.23,13.27,10.92,24.21
2023-09-01,17.2,14.1,33.0,84.5,113.5,3490.0,40.0,2.74,22.06,28.52,19.26,13.14,10.51,24.29
2023-10-01,17.2,13.9,33.0,84.1,113.4,3809.0,32.8,3.09,16.86,24.55,18.45,12.67,9.74,23.84
2023-11-01,17.5,13.9,34.2,85.8,115.0,3742.0,32.1,2.81,13.49,16.65,19.33,12.44,9.21,21.57
2023-12-01,17.8,13.5,34.5,86.2,115.0,3457.0,32.9,2.62,13.05,13.81,19.41,12.34,9.16,20.7
2024-01-01,17.1,13.5,34.0,83.7,112.2,2611.0,36.7,3.3,11.81,11.55,16.22,12.65,9.59,21.16
2024-02-01,17.8,13.8,34.0,85.7,115.4,2350.0,31.5,1.79,13.17,12.6,18.84,12.66,9.17,22.38
2024-03-01,18.3,13.2,32.2,83.5,112.5,2306.0,29.7,1.55,13.76,15.34,18.44,12.57,9.07,22.95
2024-04-01,18.4,12.3,32.2,82.5,111.7,2562.0,29.3,1.66,14.44,19.06,17.06,12.54,9.13,24.6
2024-05-01,18.3,11.9,32.1,82.3,111.7,2923.0,33.8,2.2,17.83,23.36,16.99,12.47,9.28,25.18
2024-06-01,18.8,11.9,32.9,83.3,112.9,3175.0,41.3,2.64,20.93,25.45,17.86,13.14,9.84,26.02
2024-07-01,19.1,12.1,33.199999999999996,84.2,114.1,3294.0,49.3,2.15,23.0,27.42,18.58,13.63,10.02,26.4
2024-08-01,19.5,12.0,32.6,83.8,113.2,3370.0,48.3,2.07,23.47,29.33,19.54,13.48,10.14,25.74
2024-09-01,19.5,12.0,32.5,83.7,112.1,3615.0,40.8,2.37,22.71,29.98,19.18,13.34,9.97,26.2
2024-10-01,19.9,11.7,32.5,84.0,113.3,3938.0,34.5,2.29,18.63,28.78,18.5,12.96,9.59,25.75
2024-11-01,19.8,11.9,32.8,84.5,113.5,3915.0,32.9,2.2,14.91,24.33,18.06,12.57,9.23,22.46
2024-12-01,19.9,11.7,34.3,85.6,115.8,3438.0,33.4,3.13,12.98,16.26,18.84,12.82,9.33,22.15
