x,y,beta,intercept,r_squared,p_value,std_err,n,significant,category,region
Henry Hub ($/Mcf),US Elec (¢/kWh),0.10502403031066489,11.525568041750685,0.03856486079375346,0.13262383777458114,0.06885552517104297,60,False,Gas→Elec,US
Henry Hub ($/Mcf),TX Elec (¢/kWh),0.2581266089479637,8.386322622640696,0.2978963395773164,6.47551513549126e-06,0.05203395229654173,60,True,Gas→Elec,TX
Henry Hub ($/Mcf),CA Elec (¢/kWh),-0.12499554838020409,20.563984199717474,0.00584516421060258,0.5615095664524337,0.2140470298519662,60,False,Gas→Elec,CA
Permian Gas (Bcf/d),Henry Hub ($/Mcf),-0.04864425608218404,4.260025914694041,0.005987786315416501,0.5567588625325881,0.08229629488243598,60,False,Prod→Gas,Permian
Haynesville Gas (Bcf/d),Henry Hub ($/Mcf),0.2763472861577986,0.22856011133711895,0.053732168031058854,0.07472970539888339,0.15227586088206632,60,False,Prod→Gas,Haynesville
Appalachia Gas (Bcf/d),Henry Hub ($/Mcf),0.2883001333555595,-5.778136981163534,0.02403693597146129,0.23687709084554745,0.2412170401159215,60,False,Prod→Gas,Appalachia
US Total Prod (Bcf/d),Henry Hub ($/Mcf),-0.006755311247287683,4.2732887808530755,0.00043802244864263177,0.8738876674514314,0.04237288617149816,60,False,Prod→Gas,US Total
US Storage (Bcf),Henry Hub ($/Mcf),-0.0004823434441719412,4.924936640824694,0.029341637685703952,0.19066227280336706,0.00036427839004502573,60,False,Storage→Gas,US
Elec Power Demand (Bcf/d),Henry Hub ($/Mcf),0.010503154116146909,3.196829975938582,0.0012388438382401742,0.7894815049117335,0.039158701343822155,60,False,Demand→Gas,Power Sector
Permian (Bcf/d),Henry Hub ($/Mcf),-0.04864425608218404,4.260025914694041,0.005987786315416501,0.5567588625325881,0.08229629488243598,60,False,Prod→Gas (Post-Pandemic),Permian
Haynesville (Bcf/d),Henry Hub ($/Mcf),0.2763472861577986,0.22856011133711895,0.053732168031058854,0.07472970539888339,0.15227586088206632,60,False,Prod→Gas (Post-Pandemic),Haynesville
Appalachia (Bcf/d),Henry Hub ($/Mcf),0.2883001333555595,-5.778136981163534,0.02403693597146129,0.23687709084554745,0.2412170401159215,60,False,Prod→Gas (Post-Pandemic),Appalachia
US Total (Bcf/d),Henry Hub ($/Mcf),-0.006755311247287683,4.2732887808530755,0.00043802244864263177,0.8738876674514314,0.04237288617149816,60,False,Prod→Gas (Post-Pandemic),US Total
US Storage (Bcf),Henry Hub ($/Mcf),-0.0004823434441719412,4.924936640824694,0.029341637685703952,0.19066227280336706,0.00036427839004502573,60,False,Storage→Gas (Post-Pandemic),US
Henry Hub ($/Mcf),US Elec (¢/kWh),0.10502403031066489,11.525568041750685,0.03856486079375346,0.13262383777458114,0.06885552517104297,60,False,Gas→Elec (Post-Pandemic),US
Henry Hub ($/Mcf),Texas Elec (¢/kWh),0.2581266089479637,8.386322622640696,0.2978963395773164,6.47551513549126e-06,0.05203395229654173,60,True,Gas→Elec (Post-Pandemic),Texas
Henry Hub ($/Mcf),California Elec (¢/kWh),-0.12499554838020409,20.563984199717474,0.00584516421060258,0.5615095664524337,0.2140470298519662,60,False,Gas→Elec (Post-Pandemic),California
