metric,period,value,source
NEPA_EIS_MEDIAN_YEARS,2010-2018,3.5,CEQ 2025 Report
NEPA_EIS_MEDIAN_YEARS,2021-2024,2.5,CEQ 2025 Report
NEPA_EIS_MEAN_YEARS,2010-2018,4.5,CEQ 2025 Report
NEPA_EIS_MEAN_YEARS,2021-2024,3.8,CEQ 2025 Report
NEPA_EIS_COUNT,2010-2024,1903.0,CEQ 2025 Report
INTERCONNECTION_MEDIAN_YEARS,2000-2007,2.0,Berkeley Lab Queued Up 2025
INTERCONNECTION_MEDIAN_YEARS,2008,2.0,Berkeley Lab
INTERCONNECTION_MEDIAN_YEARS,2015,3.0,Berkeley Lab
INTERCONNECTION_MEDIAN_YEARS,2018-2024,4.5,Berkeley Lab Queued Up 2025
INTERCONNECTION_MEDIAN_YEARS,2023,5.0,Berkeley Lab
INTERCONNECTION_ANNUAL_REQUESTS_GW,2000-2010,175.0,DOE i2X
INTERCONNECTION_ANNUAL_REQUESTS_GW,2013-2020,400.0,Berkeley Lab
INTERCONNECTION_ANNUAL_REQUESTS_GW,2021-2023,600.0,Berkeley Lab
INTERCONNECTION_ACTIVE_QUEUE_GW,2010,300.0,Berkeley Lab
INTERCONNECTION_ACTIVE_QUEUE_GW,2015,500.0,Berkeley Lab
INTERCONNECTION_ACTIVE_QUEUE_GW,2020,1000.0,Berkeley Lab
INTERCONNECTION_ACTIVE_QUEUE_GW,2023,2600.0,Berkeley Lab
INTERCONNECTION_ACTIVE_QUEUE_GW,2024,2290.0,Berkeley Lab Queued Up 2025
INTERCONNECTION_COMPLETION_RATE_PCT,2000-2018,19.0,Berkeley Lab
INTERCONNECTION_COMPLETION_RATE_PCT,2000-2019,13.0,Berkeley Lab Queued Up 2025
TRANSMISSION_ANNUAL_MILES_HV,2010-2014,1700.0,Grid Strategies 2024
TRANSMISSION_ANNUAL_MILES_HV,2015-2019,925.0,Grid Strategies 2024
TRANSMISSION_ANNUAL_MILES_HV,2020-2023,350.0,Grid Strategies 2024
FERC_PIPELINE_MILES_APPROVED,2004-2014,10000.0,CRS R45239
FERC_PIPELINE_APPROVAL_RATE_PCT,2000-2020,95.0,CRS R45239
LNG_EXPORT_APPROVED_BCFD,2011,0.0,DOE FECM
LNG_EXPORT_APPROVED_BCFD,2015,10.0,DOE FECM
LNG_EXPORT_APPROVED_BCFD,2022,27.2,CSIS
LNG_EXPORT_APPROVED_BCFD,2024,48.45,DOE FECM
LNG_EXPORT_OPERATING_BCFD,2016,0.5,EIA
LNG_EXPORT_OPERATING_BCFD,2020,10.0,EIA
LNG_EXPORT_OPERATING_BCFD,2024,14.28,DOE FECM
LOCAL_RENEWABLE_RESTRICTIONS_COUNT,2022,228.0,Sabin Center
LOCAL_RENEWABLE_RESTRICTIONS_COUNT,2023,395.0,Sabin Center
LOCAL_RENEWABLE_REJECTIONS_CUMULATIVE,2013-2023,643.0,Robert Bryce Database
LOCAL_RENEWABLE_REJECTIONS_CUMULATIVE,2013-2024,760.0,Robert Bryce Database
LOCAL_RENEWABLE_REJECTIONS_ANNUAL,2024,117.0,Robert Bryce Database
CWA_404_INDIVIDUAL_DAYS,2018,264.0,Army Corps FY2018
CWA_404_NWP_DAYS,2018,45.0,Army Corps FY2018
