category,count,first_year,last_year,active_count
CAPACITY_MARKETS,1,2026.0,2026.0,0
CARBON_MARKETS,2,2009.0,2012.0,2
CLEAN_ENERGY_INCENTIVES,1,2022.0,2022.0,1
CLEAN_HYDROGEN,2,2023.0,2023.0,2
COAL_RETIREMENT,2,2019.0,2021.0,2
ELECTRICITY_MARKET_STRUCTURE,2,1996.0,1999.0,2
ENVIRONMENTAL_EMISSIONS,9,1990.0,2024.0,5
ENVIRONMENTAL_REVIEW,1,1970.0,1970.0,1
GAS_INFRASTRUCTURE,3,1999.0,2023.0,1
GAS_MARKET_STRUCTURE,2,1985.0,1992.0,1
GRID_RELIABILITY,1,2021.0,2021.0,1
INFRASTRUCTURE_INVESTMENT,1,2021.0,2021.0,1
LNG_EXPORTS,3,2010.0,2024.0,3
OIL_GAS_PRODUCTION,4,2005.0,2019.0,3
