Member State,Direction,Average weighted price (EUR)
RO,Upward,661.17
HU,Upward,536.89
AT,Upward,495.79
CH,Upward,472.59
NL,Upward,470.04
CZ,Upward,430.80
IT,Upward,411.99
HR,Upward,407.47
SI,Upward,373.32
SK,Upward,354.06
BE,Upward,325.39
FR,Upward,285.42
FR,Downward,259.68
DK,Upward,255.57
ES,Upward,218.52
NO,Upward,212.77
FI,Upward,205.11
IT,Downward,200.53
PT,Upward,194.05
NO,Downward,184.24
PL,Upward,173.68
HR,Downward,158.11
ES,Downward,141.70
FI,Downward,141.12
PL,Downward,134.36
PT,Downward,119.72
CH,Downward,113.66
DK,Downward,108.54
SE,Upward,69.05
SI,Downward,65.11
BE,Downward,64.56
HU,Downward,60.13
SE,Downward,48.56
NL,Downward,8.69
RO,Downward,−.05
SK,Downward,−27.09
AT,Downward,−78.23
CZ,Downward,−86.72
