Member State,Direction,Average weighted price (EUR)
SI,Upward,916.20
CZ,Upward,756.91
HU,Upward,747.33
AT,Upward,698.41
NL,Upward,576.46
BE,Upward,545.08
LT,Upward,506.78
LV,Upward,486.18
DK,Upward,472.97
RO,Upward,454.14
FR,Upward,404.24
CH,Upward,377.80
EE,Upward,370.29
FI,Upward,360.49
HR,Upward,352.79
GR,Upward,352.34
SK,Upward,315.29
ES,Upward,231.71
FR,Downward,225.73
HR,Downward,214.97
PT,Upward,211.61
NO,Upward,203.70
CH,Downward,181.02
SE,Upward,130.72
GR,Downward,129.12
PT,Downward,128.94
LT,Downward,96.41
ES,Downward,87.98
NO,Downward,76.72
FI,Downward,48.86
LV,Downward,48.10
EE,Downward,45.52
DK,Downward,40.74
SE,Downward,24.48
RO,Downward,22.49
SK,Downward,−29.94
BE,Downward,−42.96
HU,Downward,−110.78
NL,Downward,−127.08
AT,Downward,−231.01
SI,Downward,−259.51
CZ,Downward,−822.11
