Year,Member State,Capacity (bcm)
2014,China,26.80
2015,China,26.70
2016,China,36.00
2017,China,51.80
2018,China,72.90
2019,China,83.80
2020,China,93.30
2021,China,108.80
2022,China,86.70
2023,China,98.97
2014,EU-27,34.23
2015,EU-27,34.47
2016,EU-27,38.25
2017,EU-27,46.23
2018,EU-27,50.94
2019,EU-27,85.29
2020,EU-27,79.26
2021,EU-27,77.10
2022,EU-27,130.51
2023,EU-27,134.28
2014,India,19.60
2015,India,20.30
2016,India,25.70
2017,India,27.10
2018,India,30.70
2019,India,32.40
2020,India,36.60
2021,India,32.80
2022,India,27.30
2023,India,30.30
2014,Japan,120.60
2015,Japan,115.70
2016,Japan,112.40
2017,Japan,113.50
2018,Japan,112.50
2019,Japan,104.90
2020,Japan,101.30
2021,Japan,101.10
2022,Japan,98.00
2023,Japan,89.95
2014,South Korea,51.10
2015,South Korea,45.50
2016,South Korea,45.70
2017,South Korea,51.40
2018,South Korea,60.00
2019,South Korea,55.00
2020,South Korea,54.90
2021,South Korea,62.80
2022,South Korea,62.50
2023,South Korea,60.28
