Year,Sum of Volume,Member state
2014,32.40,Australia
2014,34.10,Malaysia
2014,102.60,Qatar
2014,14.40,Russia
2014,0.40,United States
2015,39.60,Australia
2015,33.60,Malaysia
2015,104.80,Qatar
2015,14.60,Russia
2015,0.80,United States
2016,59.50,Australia
2016,33.70,Malaysia
2016,104.60,Qatar
2016,14.60,Russia
2016,4.90,United States
2017,75.10,Australia
2017,36.40,Malaysia
2017,103.40,Qatar
2017,15.70,Russia
2017,18.10,United States
2018,92.50,Australia
2018,32.70,Malaysia
2018,104.50,Qatar
2018,25.80,Russia
2018,28.00,United States
2019,103.20,Australia
2019,35.10,Malaysia
2019,104.40,Qatar
2019,39.30,Russia
2019,47.70,United States
2020,104.20,Australia
2020,32.20,Malaysia
2020,104.40,Qatar
2020,40.50,Russia
2020,63.60,United States
2021,107.70,Australia
2021,34.00,Malaysia
2021,105.20,Qatar
2021,40.10,Russia
2021,95.50,United States
2022,107.30,Australia
2022,36.60,Malaysia
2022,108.60,Qatar
2022,43.80,Russia
2022,105.50,United States
2023,107.20,Australia
2023,36.30,Malaysia
2023,107.50,Qatar
2023,42.40,Russia
2023,119.00,United States
