technology,year,"cost, M€"
"Coal, oil and other fossil fuels",2024,1210.25
Demand response and storage,2024,405.54
Foreign capacity and interconnectors,2024,162.99
Hydro,2024,413.92
Natural gas,2024,661.84
Nuclear,2024,389.29
RES,2024,108.66
Natural gas,2025,738.44
"Coal, oil and other fossil fuels",2025,1243.93
Demand response and storage,2025,274.44
Foreign capacity and interconnectors,2025,110.88
Hydro,2025,201.07
Nuclear,2025,189.29
RES,2025,52.19
Natural gas,2026,930.06
"Coal, oil and other fossil fuels",2026,690.54
Demand response and storage,2026,198.73
Foreign capacity and interconnectors,2026,59.16
Hydro,2026,135.34
RES,2026,5.48
Natural gas,2027,1267.07
"Coal, oil and other fossil fuels",2027,685.29
Demand response and storage,2027,244.07
Foreign capacity and interconnectors,2027,102.08
Hydro,2027,99.77
RES,2027,13.34
Natural gas,2028,1362.65
"Coal, oil and other fossil fuels",2028,634.46
Demand response and storage,2028,266.38
Foreign capacity and interconnectors,2028,134.05
Hydro,2028,120.43
RES,2028,25.27
Natural gas,2029,1473.02
"Coal, oil and other fossil fuels",2029,346.46
Demand response and storage,2029,462.01
Foreign capacity and interconnectors,2029,171.35
Hydro,2029,148.20
RES,2029,32.47
Natural gas,2030,1145.32
"Coal, oil and other fossil fuels",2030,321.86
Demand response and storage,2030,357.76
Foreign capacity and interconnectors,2030,23.74
Hydro,2030,50.20
RES,2030,10.55
Natural gas,2031,1144.94
"Coal, oil and other fossil fuels",2031,297.93
Demand response and storage,2031,357.76
Foreign capacity and interconnectors,2031,23.74
Hydro,2031,49.60
RES,2031,10.49
Demand response and storage,2032,265.99
Natural gas,2032,452.24
"Coal, oil and other fossil fuels",2032,285.16
Hydro,2032,40.34
RES,2032,10.01
Natural gas,2033,407.07
"Coal, oil and other fossil fuels",2033,285.16
Demand response and storage,2033,264.86
Hydro,2033,35.49
RES,2033,10.01
Demand response and storage,2034,264.86
Natural gas,2034,407.07
"Coal, oil and other fossil fuels",2034,285.16
Hydro,2034,22.27
RES,2034,4.50
Demand response and storage,2035,264.86
Natural gas,2035,403.45
"Coal, oil and other fossil fuels",2035,285.16
Hydro,2035,8.49
RES,2035,4.50
Demand response and storage,2036,264.86
Natural gas,2036,403.45
RES,2036,3.50
Demand response and storage,2037,264.86
Natural gas,2037,403.45
RES,2037,3.50
Demand response and storage,2038,264.86
Natural gas,2038,374.53
RES,2038,3.50
Demand response and storage,2039,264.86
Natural gas,2039,370.16
RES,2039,3.50
Demand response and storage,2040,264.86
Natural gas,2040,369.96
RES,2040,3.50
Demand response and storage,2041,264.86
Natural gas,2041,284.54
RES,2041,0.81
Demand response and storage,2042,264.86
Natural gas,2042,284.54
RES,2042,0.81
Demand response and storage,2043,264.86
Natural gas,2043,98.22
RES,2043,0.81
Demand response and storage,2044,249.33
Natural gas,2044,6.73
RES,2044,0.81
Demand response and storage,2045,150.72
Natural gas,2045,6.73
RES,2045,0.81
