Year,Capacity calculation region,Average of absolute LF [GWh]
2016,Core (excl. CWE),6535
2017,Core (excl. CWE),3692
2018,Core (excl. CWE),3576
2019,Core (excl. CWE),2574
2020,Core (excl. CWE),2746
2016,Core (CWE),3422
2017,Core (CWE),2899
2018,Core (CWE),2602
2019,Core (CWE),2235
2020,Core (CWE),2221
2016,Swiss borders,2633
2017,Swiss borders,1906
2018,Swiss borders,1540
2019,Swiss borders,1581
2020,Swiss borders,1619
2016,Italy North,975
2017,Italy North,751
2018,Italy North,798
2019,Italy North,828
2020,Italy North,821
2016,SEE,241
2017,SEE,284
2018,SEE,256
2019,SEE,267
2020,SEE,276
2016,SWE,18
2017,SWE,35
2018,SWE,54
2019,SWE,60
2020,SWE,68
2016,Core (excl. CWE),3738
2017,Core (excl. CWE),3844
2018,Core (excl. CWE),3509
2019,Core (excl. CWE),3852
2020,Core (excl. CWE),4333
2016,Core (CWE),4904
2017,Core (CWE),3582
2018,Core (CWE),2201
2019,Core (CWE),2856
2020,Core (CWE),2745
2016,Swiss borders,2964
2017,Swiss borders,2311
2018,Swiss borders,2596
2019,Swiss borders,2601
2020,Swiss borders,2700
2016,Italy North,1402
2017,Italy North,1246
2018,Italy North,1143
2019,Italy North,967
2020,Italy North,984
2016,SEE,549
2017,SEE,361
2018,SEE,400
2019,SEE,358
2020,SEE,354
2016,SWE,3
2017,SWE,17
2018,SWE,25
2019,SWE,32
2020,SWE,64
