Area,Price (EUR),Percentage increase from previous year
AT,46.32,35%
BE,55.28,24%
BG,39.89,1%
CH,52.22,14%
CZ,46.03,26%
DE_LU,44.47,30%
DK1,44.05,46%
DK2,46.20,45%
EE,47.07,42%
ES,57.30,10%
FI,46.80,41%
FR,50.20,12%
GB,64.89,25%
GR,60.40,10%
HR,51.92,0%
HU,51.01,1%
IT_NORTH,60.71,12%
IT_CENTRE_NORTH,61.07,13%
IT_CENTRE_SOUTH,60.94,18%
IT_SOUTH,59.37,19%
IT_SARDINIA,60.69,18%
IT_SICILY,69.49,14%
LT,50.00,42%
LV,49.90,44%
NL,52.54,34%
NO1,43.66,50%
NO2,43.25,50%
NO3,44.09,49%
NO4,43.71,70%
NO5,43.05,49%
PL,52.17,42%
PT,57.45,9%
RO,46.40,−3%
SE1,44.23,43%
SE2,44.23,43%
SE3,44.54,43%
SE4,46.36,44%
SEM,60.50,32%
SI,51.17,3%
SK,48.47,18%
