Area,Average price (euros/MWh),Year-on-year change
AT,33.15,−17%
BE,31.88,−19%
BG,39.28,−17%
CH,34.00,−17%
CZ,33.60,−16%
DE_LU,30.47,−19%
DK1,24.99,−35%
DK2,28.41,−29%
EE,33.69,−27%
ES,33.96,−29%
FI,28.02,−36%
FR,32.20,−18%
GB,39.59,−19%
GR,45.01,−29%
HR,38.03,−23%
HU,39.01,−23%
IT Centre North,38.71,−26%
IT Centre South,39.67,−24%
IT North,37.79,−26%
IT Sardinia,38.97,−25%
IT Sicily,46.21,−26%
IT South,39.00,−23%
LT,34.04,−26%
LV,34.05,−26%
NL,32.24,−22%
NO1,9.29,−76%
NO2,9.29,−76%
NO3,9.46,−75%
NO4,8.88,−77%
NO5,9.17,−77%
PL,46.66,−13%
PT,33.99,−29%
RO,39.49,−22%
SE1,14.39,−62%
SE2,14.39,−62%
SE3,21.19,−45%
SE4,25.86,−35%
SEM,37.59,−25%
SI,37.55,−23%
SK,34.01,−18%
