Year,Bidding zone code,Country,Bidding zone,Price (EUR/MWh),Yoy change in price (%)
2024,AT,AT,Austria,81.70,-20
2024,BE,BE,Belgium,70.40,-28
2024,BG,BG,Bulgaria,102.70,-1
2024,CZ,CZ,Czech Republic,85.20,-16
2024,DE_LU,DE,Germany_Luxemburg,78.60,-17
2024,DK1,DK,Denmark DK1,70.80,-19
2024,DK2,DK,Denmark DK2,71.00,-13
2024,EE,EE,Estonia,87.30,-4
2024,ES,ES,Spain,63.10,-28
2024,FI,FI,Finland,45.70,-19
2024,FR,FR,France,58.10,-40
2024,GR,GR,Greece,101.00,-15
2024,HR,HR,Croatia,94.80,-9
2024,HU,HU,Hungary,100.90,-6
2024,IT_CALA,IT,Italy Calabria,109.10,-13
2024,IT_CENTRE_NORTH,IT,Italy Centre-North,109.40,-15
2024,IT_CENTRE_SOUTH,IT,Italy Centre-South,109.80,-13
2024,IT_NORTH,IT,Italy North,107.40,-16
2024,IT_SARDINIA,IT,Italy Sardinia,106.10,-14
2024,IT_SICILY,IT,Italy Sicily,112.10,-11
2024,IT_SOUTH,IT,Italy South,109.10,-13
2024,LT,LT,Lithuania,87.30,-8
2024,LV,LV,Latvia,87.40,-7
2024,NL,NL,Netherlands,77.40,-19
2024,NO1,NO,Norway NO1,42.10,-37
2024,NO2,NO,Norway NO2,50.20,-37
2024,NO3,NO,Norway NO3,28.20,-27
2024,NO4,NO,Norway NO4,23.40,-22
2024,NO5,NO,Norway NO5,41.10,-39
2024,PL,PL,Poland,96.30,-14
2024,PT,PT,Portugal,63.50,-28
2024,RO,RO,Romania,103.70,0
2024,SE1,SE,Sweden SE1,25.10,-37
2024,SE2,SE,Sweden SE2,24.70,-38
2024,SE3,SE,Sweden SE3,35.80,-31
2024,SE4,SE,Sweden SE4,49.80,-23
2024,SEM,IE,Ireland and Northern Ireland,108.60,-11
2024,SI,SI,Slovenia,91.40,-12
2024,SK,SK,Slovakia,93.00,-11
