Bidding Zone,Annual average [EUR/MWh],Year on year % diff.
AT,102.14,−60.92
BE,97.27,−60.22
BG,103.84,−58.93
CH,107.47,−61.84
CZ,100.78,−59.27
DE_LU,95.18,−59.58
DK1,86.83,−60.36
DK2,81.26,−61.33
EE,90.79,−52.91
ES,87.11,−48.00
FI,56.47,−63.34
FR,96.86,−64.89
GR,119.09,−57.45
HR,103.72,−61.92
HU,106.81,−60.68
IT_CALA,124.67,−57.62
IT_CENTRE_NORTH,128.50,−58.22
IT_CENTRE_SOUTH,126.40,−57.71
IT_NORTH,127.77,−58.49
IT_SARDINIA,123.23,−57.06
IT_SICILY,126.06,−57.28
IT_SOUTH,125.05,−57.73
LT,94.45,−58.98
LV,93.90,−58.62
NL,95.82,−60.39
NO1,66.94,−65.23
NO2,79.44,−62.40
NO3,38.56,−8.07
NO4,29.95,22.38
NO5,67.04,−65.10
PL,111.66,−33.03
PT,88.28,−47.41
RO,103.74,−60.90
RS,103.46,−62.19
SE1,39.97,−32.31
SE2,39.98,−35.45
SE3,51.70,−59.98
SE4,64.88,−57.34
SEM,121.48,−45.12
SI,104.33,−61.99
SK,104.72,−60.47
