Day,Daily average day-ahead price (EUR/MWh),Share of solar and wind generation (%)
01.01.2024,48.18,33.37
02.01.2024,75.90,32.19
03.01.2024,69.52,34.46
04.01.2024,100.53,26.81
05.01.2024,173.24,23.87
06.01.2024,96.51,20.49
07.01.2024,87.07,23.51
08.01.2024,99.85,24.66
09.01.2024,100.48,22.67
10.01.2024,100.58,18.50
11.01.2024,101.64,17.96
12.01.2024,104.06,18.89
13.01.2024,83.30,24.53
14.01.2024,83.38,25.29
15.01.2024,93.72,24.17
16.01.2024,111.22,20.12
17.01.2024,95.78,22.45
18.01.2024,88.26,24.26
19.01.2024,82.65,27.85
20.01.2024,77.25,30.63
21.01.2024,60.63,37.27
22.01.2024,68.38,36.63
23.01.2024,67.84,35.05
24.01.2024,71.56,32.14
25.01.2024,81.37,26.51
26.01.2024,77.74,28.94
27.01.2024,67.22,31.89
28.01.2024,58.70,35.70
29.01.2024,74.79,27.18
30.01.2024,75.69,24.47
31.01.2024,69.80,29.82
01.02.2024,68.75,31.91
02.02.2024,68.89,34.85
03.02.2024,53.75,37.53
04.02.2024,43.31,39.68
05.02.2024,63.92,32.87
06.02.2024,74.50,28.05
07.02.2024,85.96,22.12
08.02.2024,86.15,23.75
09.02.2024,79.93,28.96
10.02.2024,71.54,28.48
11.02.2024,61.67,31.39
12.02.2024,75.06,24.93
13.02.2024,74.90,25.06
14.02.2024,70.28,24.93
15.02.2024,72.34,22.37
16.02.2024,61.01,26.38
17.02.2024,60.17,25.22
18.02.2024,56.61,27.34
19.02.2024,70.03,23.66
20.02.2024,68.21,24.00
21.02.2024,62.86,27.69
22.02.2024,56.75,31.32
23.02.2024,47.74,36.84
24.02.2024,52.83,28.31
25.02.2024,54.77,27.49
26.02.2024,64.12,21.55
27.02.2024,67.09,19.70
28.02.2024,63.65,24.43
29.02.2024,56.28,30.93
01.03.2024,61.94,28.07
02.03.2024,60.17,27.95
03.03.2024,59.87,27.43
04.03.2024,71.48,25.00
05.03.2024,72.78,23.90
06.03.2024,80.39,21.27
07.03.2024,77.05,22.56
08.03.2024,73.16,25.46
09.03.2024,59.75,31.62
10.03.2024,48.62,33.69
11.03.2024,70.76,27.05
12.03.2024,78.34,21.69
13.03.2024,73.17,22.75
14.03.2024,62.99,29.49
15.03.2024,58.99,31.06
16.03.2024,55.40,32.07
17.03.2024,58.43,28.21
18.03.2024,75.43,25.61
19.03.2024,79.48,22.08
20.03.2024,84.19,18.59
21.03.2024,78.20,26.11
22.03.2024,64.40,30.54
23.03.2024,44.27,34.84
24.03.2024,43.04,32.14
25.03.2024,81.25,21.79
26.03.2024,69.59,25.97
27.03.2024,64.16,31.63
28.03.2024,49.73,34.62
29.03.2024,46.14,33.06
30.03.2024,51.23,30.93
31.03.2024,47.58,30.45
01.04.2024,36.70,33.71
02.04.2024,46.46,34.96
03.04.2024,69.84,27.57
04.04.2024,63.71,30.76
05.04.2024,51.89,33.32
06.04.2024,41.15,32.84
07.04.2024,25.92,37.49
08.04.2024,61.22,27.87
09.04.2024,51.49,33.63
10.04.2024,49.91,39.79
11.04.2024,46.42,38.67
12.04.2024,47.75,37.36
13.04.2024,25.57,38.90
14.04.2024,28.89,37.16
15.04.2024,59.23,34.68
16.04.2024,60.11,33.80
17.04.2024,82.53,24.63
18.04.2024,84.97,25.00
19.04.2024,65.80,32.47
20.04.2024,57.72,28.90
21.04.2024,58.35,29.09
22.04.2024,87.11,24.54
23.04.2024,88.78,27.08
24.04.2024,89.94,23.54
25.04.2024,87.70,22.27
26.04.2024,90.11,22.30
27.04.2024,66.33,25.78
28.04.2024,36.82,34.90
29.04.2024,70.75,32.85
30.04.2024,64.82,33.28
01.05.2024,32.63,37.52
02.05.2024,49.36,35.81
03.05.2024,60.01,32.15
04.05.2024,59.70,26.78
05.05.2024,48.57,28.01
06.05.2024,79.08,25.30
07.05.2024,84.07,23.38
08.05.2024,84.96,22.68
09.05.2024,59.45,30.18
10.05.2024,62.65,31.49
11.05.2024,50.32,31.06
12.05.2024,32.18,31.59
13.05.2024,67.21,30.24
14.05.2024,56.73,31.85
15.05.2024,58.57,30.35
16.05.2024,60.82,31.39
17.05.2024,63.11,31.95
18.05.2024,53.41,30.20
19.05.2024,50.75,28.50
20.05.2024,66.31,27.37
21.05.2024,68.28,31.73
22.05.2024,64.06,35.97
23.05.2024,74.45,31.84
24.05.2024,84.16,22.61
25.05.2024,64.90,27.85
26.05.2024,49.11,32.62
27.05.2024,79.27,28.43
