Hour,Average wholesale price,Average household load curve,Period
31.12.1899,69.32,3.16,Weekday
31.12.1899,65.34,2.85,Weekday
31.12.1899,63.19,2.69,Weekday
31.12.1899,63.31,2.66,Weekday
31.12.1899,69.13,2.80,Weekday
31.12.1899,85.86,3.16,Weekday
31.12.1899,104.59,3.72,Weekday
31.12.1899,110.93,4.21,Weekday
31.12.1899,98.35,4.39,Weekday
31.12.1899,83.88,4.41,Weekday
31.12.1899,74.68,4.40,Weekday
31.12.1899,68.39,4.44,Weekday
31.12.1899,66.66,4.46,Weekday
31.12.1899,68.27,4.44,Weekday
31.12.1899,76.08,4.37,Weekday
31.12.1899,88.26,4.44,Weekday
31.12.1899,103.94,4.70,Weekday
31.12.1899,118.74,5.06,Weekday
31.12.1899,134.73,5.41,Weekday
31.12.1899,136.11,5.58,Weekday
31.12.1899,117.07,5.39,Weekday
31.12.1899,98.13,5.01,Weekday
31.12.1899,83.10,4.47,Weekday
31.12.1899,73.84,3.78,Weekend
31.12.1899,68.42,3.23,Weekend
31.12.1899,63.72,2.88,Weekend
31.12.1899,60.75,2.69,Weekend
31.12.1899,59.30,2.60,Weekend
31.12.1899,59.76,2.62,Weekend
31.12.1899,60.76,2.81,Weekend
31.12.1899,61.29,3.21,Weekend
31.12.1899,59.43,3.77,Weekend
31.12.1899,52.61,4.36,Weekend
31.12.1899,43.71,4.75,Weekend
31.12.1899,37.15,4.95,Weekend
31.12.1899,33.02,5.05,Weekend
31.12.1899,30.17,5.00,Weekend
31.12.1899,30.90,4.84,Weekend
31.12.1899,37.22,4.65,Weekend
31.12.1899,49.93,4.56,Weekend
31.12.1899,67.48,4.68,Weekend
31.12.1899,85.24,4.95,Weekend
31.12.1899,97.96,5.22,Weekend
31.12.1899,100.77,5.34,Weekend
31.12.1899,94.96,5.12,Weekend
31.12.1899,86.08,4.76,Weekend
31.12.1899,75.00,4.28,Weekend
31.12.1899,72.99,3.67,Weekend
