Oriented Border,Unscheduled Flows (MW),Unscheduled Allocated Flows (MW),Loop Flows (MW)
AT - CH,16,100,-85
AT - CZ,-1117,-569,-548
AT - DE,1116,1161,-164
AT - HU,102,202,-100
AT - IT,-79,-30,-49
AT - SI,117,172,-55
BE - FR,664,339,325
BE - NL,-660,-356,-305
BG - GR,-178,-247,61
BG - RO,-199,-10,-189
CH - DE,-918,-852,-66
CH - FR,839,606,234
CH - IT,96,348,-253
CZ - DE,-557,-182,-374
CZ - PL,-383,-16,-367
CZ - SK,-175,-371,197
DE - FR,-1914,-440,-1475
DE - NL,645,409,236
DE - PL,708,171,564
FR - IT,-382,-512,131
HR - HU,-61,168,-229
HU - RO,111,-22,132
HU - SK,33,289,-257
IT - SI,-366,-171,-195
PL - SK,331,153,183
