Hour,Western and Southern Europe - wholesale price,Western and Southern Europe - 'energy and supply' price,Eastern and South-Eastern Europe - wholesale price,Eastern and South-Eastern Europe - 'energy and supply' price,Northern Europe - wholesale price,Northern Europe -  'energy and supply' price,Weekdays/Weekend
31.12.1899,0.07,0.17,0.08,0.09,0.03,0.07,Weekdays
31.12.1899,0.07,0.17,0.07,0.09,0.03,0.07,Weekdays
31.12.1899,0.07,0.17,0.07,0.09,0.03,0.07,Weekdays
31.12.1899,0.07,0.17,0.07,0.09,0.03,0.07,Weekdays
31.12.1899,0.07,0.17,0.08,0.09,0.03,0.07,Weekdays
31.12.1899,0.09,0.17,0.10,0.09,0.04,0.07,Weekdays
31.12.1899,0.10,0.17,0.12,0.09,0.05,0.07,Weekdays
31.12.1899,0.10,0.17,0.13,0.09,0.06,0.07,Weekdays
31.12.1899,0.09,0.17,0.11,0.09,0.06,0.07,Weekdays
31.12.1899,0.08,0.17,0.09,0.09,0.05,0.07,Weekdays
31.12.1899,0.07,0.17,0.08,0.09,0.05,0.07,Weekdays
31.12.1899,0.07,0.17,0.08,0.09,0.04,0.07,Weekdays
31.12.1899,0.06,0.17,0.08,0.09,0.04,0.07,Weekdays
31.12.1899,0.06,0.17,0.08,0.09,0.04,0.07,Weekdays
31.12.1899,0.07,0.17,0.09,0.09,0.04,0.07,Weekdays
31.12.1899,0.08,0.17,0.11,0.09,0.05,0.07,Weekdays
31.12.1899,0.10,0.17,0.13,0.09,0.05,0.07,Weekdays
31.12.1899,0.11,0.17,0.14,0.09,0.05,0.07,Weekdays
31.12.1899,0.12,0.17,0.17,0.09,0.05,0.07,Weekdays
31.12.1899,0.12,0.17,0.17,0.09,0.05,0.07,Weekdays
31.12.1899,0.10,0.17,0.15,0.09,0.04,0.07,Weekdays
31.12.1899,0.09,0.17,0.12,0.09,0.04,0.07,Weekdays
31.12.1899,0.08,0.17,0.09,0.09,0.03,0.07,Weekdays
31.12.1899,0.08,0.17,0.08,0.09,0.03,0.07,Weekdays
31.12.1899,0.07,0.17,0.08,0.09,0.03,0.07,Weekend
31.12.1899,0.07,0.17,0.07,0.09,0.02,0.07,Weekend
31.12.1899,0.06,0.17,0.07,0.09,0.02,0.07,Weekend
31.12.1899,0.06,0.17,0.07,0.09,0.02,0.07,Weekend
31.12.1899,0.06,0.17,0.07,0.09,0.02,0.07,Weekend
31.12.1899,0.06,0.17,0.07,0.09,0.02,0.07,Weekend
31.12.1899,0.06,0.17,0.07,0.09,0.03,0.07,Weekend
31.12.1899,0.06,0.17,0.07,0.09,0.03,0.07,Weekend
31.12.1899,0.05,0.17,0.06,0.09,0.03,0.07,Weekend
31.12.1899,0.05,0.17,0.05,0.09,0.03,0.07,Weekend
31.12.1899,0.04,0.17,0.04,0.09,0.02,0.07,Weekend
31.12.1899,0.03,0.17,0.03,0.09,0.02,0.07,Weekend
31.12.1899,0.03,0.17,0.03,0.09,0.02,0.07,Weekend
31.12.1899,0.03,0.17,0.03,0.09,0.02,0.07,Weekend
31.12.1899,0.04,0.17,0.04,0.09,0.02,0.07,Weekend
31.12.1899,0.05,0.17,0.06,0.09,0.03,0.07,Weekend
31.12.1899,0.06,0.17,0.08,0.09,0.03,0.07,Weekend
31.12.1899,0.08,0.17,0.10,0.09,0.04,0.07,Weekend
31.12.1899,0.09,0.17,0.12,0.09,0.04,0.07,Weekend
31.12.1899,0.09,0.17,0.12,0.09,0.04,0.07,Weekend
31.12.1899,0.09,0.17,0.12,0.09,0.03,0.07,Weekend
31.12.1899,0.08,0.17,0.10,0.09,0.03,0.07,Weekend
31.12.1899,0.08,0.17,0.09,0.09,0.03,0.07,Weekend
31.12.1899,0.08,0.17,0.08,0.09,0.03,0.07,Weekend
