Key Topics & Concepts
KTC 1,Definitions and Registration for Energy Storage Resources
KTC 2,"Physical Responsive Capability, and ORDC Reserve"
KTC 3,"Dispatch, Pricing, and Mitigation"
KTC 4,Technical Requirements
KTC 5,Performance
KTC 6,ESR Options to Maintain Desired Level of State of Charge
KTC 7,Settlement
KTC 8,Wholesale Storage Load Treatment
KTC 9,ESR on the Distribution System
KTC 10,ESR - Study & Capacity Assumptions
KTC 11,DC Coupled Resources
KTC 12,AC Coupled Resources Wanting to Operate as One Resource
KTC 13,Process and Policy Questions related to Interconnection Requests for Energy Storage Resources
KTC 14,Review Existing Study Requirements and Determine if New Studies are Needed
KTC 15,Additional Items
