Year,Month,Month-on-month variation (%),Comment
2017,1,−12%,
2017,2,−10%,
2017,3,10%,
2017,4,4%,
2017,5,−5%,
2017,6,6%,
2017,7,−2%,
2017,8,−0%,
2017,9,3%,
2017,10,18%,
2017,11,4%,
2017,12,7%,
2018,1,11%,
2018,2,−9%,
2018,3,−11%,
2018,4,1%,
2018,5,4%,
2018,6,−5%,
2018,7,−4%,
2018,8,−4%,
2018,9,−1%,
2018,10,−9%,First 12 months after the split
2018,11,−1%,First 12 months after the split
2018,12,−2%,First 12 months after the split
2019,1,5%,First 12 months after the split
2019,2,9%,First 12 months after the split
2019,3,18%,First 12 months after the split
2019,4,0%,First 12 months after the split
2019,5,0%,First 12 months after the split
2019,6,21%,First 12 months after the split
2019,7,9%,First 12 months after the split
2019,8,5%,First 12 months after the split
2019,9,11%,First 12 months after the split
2019,10,1%,
2019,11,4%,
2019,12,7%,
