Member State,Energy and supply,Network costs,Value added tax (VAT),"Taxes, fees, and levies"
HU,28%,51%,21%,0%
PO,33%,29%,6%,32%
DE,39%,24%,16%,21%
FI,44%,32%,19%,6%
SK,44%,25%,17%,14%
LU,44%,39%,7%,10%
HR,46%,33%,11%,10%
DK,47%,11%,20%,22%
FR,47%,30%,14%,9%
BG,49%,34%,17%,0%
AT,50%,30%,17%,4%
SE,51%,35%,25%,−11%
SI,51%,25%,16%,8%
IE,53%,26%,9%,13%
EU-27,54%,25%,13%,8%
LT,54%,28%,17%,1%
EE,56%,22%,17%,5%
ES,56%,25%,7%,12%
BE,58%,23%,8%,11%
PT,59%,25%,17%,−1%
LV,60%,20%,17%,3%
CY,63%,9%,12%,16%
CZ,66%,19%,19%,−5%
IT,68%,17%,9%,6%
RO,72%,19%,0%,8%
NO,73%,38%,26%,−36%
MT,73%,21%,5%,1%
GR,140%,11%,6%,−57%
NL,230%,76%,10%,−216%
