Year,Category,Hydrogen consumption [kt]
2022,Total hydrogen consumption in novel hydrogen applications,4.50
2022,E-fuels,1.00
2022,Industrial heat,0.70
2022,Mobility,1.80
2022,Power generation,0.30
2022,Residential heat,0.10
2022,Steel,0.60
2023,Total hydrogen consumption in novel hydrogen applications,8.70
2023,E-fuels,1.00
2023,Industrial heat,4.20
2023,Mobility,2.70
2023,Power generation,0.20
2023,Residential heat,0.10
2023,Steel,0.60
2024,Total hydrogen consumption in novel hydrogen applications,10.00
2024,E-fuels,1.00
2024,Industrial heat,4.30
2024,Mobility,3.90
2024,Power generation,0.20
2024,Residential heat,0.10
2024,Steel,0.60
