Country,Energy and supply (EUR/kWh),Network costs (EUR/kWh),VAT (EUR/kWh),Environmental & capacity taxes (EUR/kWh),Renewable taxes (EUR/kWh),Other (EUR/kWh)
Austria,0.21,0.08,0.04,0.00,0.00,−.06
Belgium,0.23,0.09,0.02,0.04,0.02,0.00
Bulgaria,0.05,0.04,0.02,0.00,0.00,0.00
Croatia,0.07,0.05,0.02,0.00,0.01,0.00
Cyprus,0.19,0.03,0.06,0.08,0.00,0.00
Czechia,0.18,0.07,0.06,0.00,0.00,0.00
Denmark,0.16,0.08,0.07,0.05,0.01,0.00
Estonia,0.11,0.06,0.04,0.00,0.01,0.00
Finland,0.11,0.08,0.04,0.02,0.00,−.00
France,0.14,0.07,0.03,0.01,0.00,0.00
Germany,0.20,0.09,0.07,0.03,0.00,0.02
Great Britain,0.25,0.03,0.01,0.00,0.02,−.08
Hungary,0.03,0.06,0.02,0.00,0.00,0.00
Ireland,0.38,0.08,0.04,−.00,−.02,−.14
Italy,0.24,0.05,0.03,0.02,0.02,0.00
Latvia,0.18,0.07,0.05,0.00,0.00,0.00
Lithuania,0.14,0.06,0.04,0.00,−.01,
Luxembourg,0.17,0.12,0.01,0.00,0.10,−.11
Malta,0.09,0.03,0.01,0.00,0.00,0.00
Netherlands,0.26,0.08,0.06,−.05,0.00,−.01
Poland,0.05,0.05,0.04,0.06,0.01,0.00
Portugal,0.20,0.05,0.03,−.00,−.09,0.02
Romania,0.08,0.06,0.03,0.00,0.01,0.00
Slovakia,0.09,0.04,0.03,0.03,0.01,0.00
Slovenia,0.10,0.06,0.03,0.00,0.01,0.00
Spain,0.13,0.08,0.01,0.00,0.01,0.01
Sweden,0.08,0.08,0.05,0.03,0.00,0.00
