Year,Energy and supply,Network costs,VAT,Other taxes,SUM,Format
2019,0.07,0.06,0.03,0.06,0.21,Nominal
2020,0.07,0.06,0.03,0.05,0.21,Nominal
2021,0.08,0.06,0.03,0.05,0.23,Nominal
2022,0.14,0.07,0.04,0.02,0.26,Nominal
2023,0.16,0.07,0.04,0.02,0.29,Nominal
2024,0.14,0.08,0.04,0.03,0.29,Nominal
2019,0.31,0.28,0.15,0.26,1.00,Percentage
2020,0.31,0.29,0.15,0.25,1.00,Percentage
2021,0.37,0.27,0.14,0.22,1.00,Percentage
2022,0.54,0.25,0.13,0.07,1.00,Percentage
2023,0.56,0.25,0.14,0.06,1.00,Percentage
2024,0.48,0.27,0.15,0.10,1.00,Percentage
