Country,Capacity mechanism
CY,
GR,
MT,
IE,Market wide - central buyer
IT,Market wide - central buyer
NI,Market wide - central buyer
PL,Market wide - central buyer
SEM,Market wide - central buyer
FR,Market wide - de-centralised obligation
AT,No Capacity mechanism
CH,No Capacity mechanism
CZ,No Capacity mechanism
DK,No Capacity mechanism
EE,No Capacity mechanism
HR,No Capacity mechanism
HU,No Capacity mechanism
LT,No Capacity mechanism
LU,No Capacity mechanism
LV,No Capacity mechanism
NL,No Capacity mechanism
NO,No Capacity mechanism
RO,No Capacity mechanism
SI,No Capacity mechanism
SK,No Capacity mechanism
BE,Strategic reserves
DE,Strategic reserves
FI,Strategic reserves
SE,Strategic reserves
BG,Targeted capacity payment
ES,Targeted capacity payment
PT,Targeted capacity payment
