"Balancing
Service","Member
State",Distributed generation (upward),Distributed generation (downward),Batteries (upward),Batteries (downward),"Storage excluding hydro, pumped-hydro, and batteries (upward)","Storage excluding hydro, pumped-hydro, and batteries (downward)",Demand response: residential consumers (upward),Demand response: residential consumers (downward),Demand response: commercial or industrial consumers (upward),Demand response: commercial or industrial consumers (downward),Demand response: energy communities (upward),Demand response: energy communities (downward),Total demand response (upward),Total demand response (downward),Total capacity prequalified_distributed energy resources (upward) (MW),Total capacity prequalified_distributed energy resources (downward) (MW),Total capacity prequalified (upward) (MW),Total capacity prequalified (downward) (MW),Share of capacity prequalified of distributed energy resources (upward) (%),Share of capacity prequalified of distributed energy resources (downward) (%)
FCR,DE,,,630,-630,,,0,0,200,-200,0,0,,,830,-830,6950,6950,0.12,−.12
FCR,AT,430,-430,16,-16,1,-1,0,0,5,-5,0,0,,,452,-452,1032,1032,0.44,−.44
FCR,FR,0,0,340,-340,0,0,0,0,100,-100,0,0,,,440,-440,3400,3400,0.13,−.13
FCR,NL,0,0,70,-70,,,200,-200,0,0,0,0,,,270,-270,759,759,0.36,−.36
FCR,SE,,,,,,,,,,,,,170,-10,170,-10,1690,1100,0.10,−.01
FCR,RO,110,-110,0,0,0,0,0,0,0,0,0,0,,,110,-110,300,300,0.37,−.37
FCR,HU,23,-23,0,0,0,0,0,0,0,0,0,0,,,23,-23,144,144,0.16,−.16
aFRR,AT,2364,-2714,7,-7,6,-6,1,-1,122,-141,0,0,,,2500,-2869,4779,5148,0.52,−.56
aFRR,NL,450,-450,10,-10,,,30,-30,800,-800,0,0,,,1290,-1290,6422,6422,0.20,−.20
aFRR,DE,,,600,-600,,,0,0,120,-120,0,0,,,720,-720,23400,23400,0.03,−.03
aFRR,HU,449,-449,0,0,0,0,0,0,30,-30,0,0,,,479,-479,1641,1641,0.29,−.29
aFRR,RO,10,-10,0,0,0,0,0,0,0,0,0,0,,,10,-10,960,960,0.01,−.01
aFRR,FR,0,0,0,0,0,0,0,0,14,-14,0,0,,,14,-14,6020,6020,0.00,−.00
aFRR,IT,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,6100,6100,0.00,0.00
mFRR,NL,450,-450,0,0,0,0,0,0,3700,-3700,0,0,,,4150,-4150,8113,8283,0.51,−.50
mFRR,AT,3091,-3692,7,-7,11,-10,1,-1,141,-143,0,0,,,3251,-3853,6470,7072,0.50,−.54
mFRR,IT,1000,-1000,0,0,0,0,10,-10,840,-840,,,,,1850,-1850,61650,61650,0.03,−.03
mFRR,RO,406,-2941,0,0,0,0,0,0,0,0,0,0,,,406,-2941,4417,7737,0.09,−.38
mFRR,PT,0,0,0,0,0,0,0,0,614,-614,0,0,,,614,-614,15915,15915,0.04,−.04
mFRR,FR,100,-100,0,0,0,0,0,0,882,-882,0,0,,,982,-982,1960,1960,0.50,−.50
mFRR,HU,525,-525,0,0,0,0,0,0,10,-10,0,0,,,535,-535,1962,1962,0.27,−.27
mFRR,DE,,,0,0,,,0,0,200,-200,0,0,,,200,-200,32290,32290,0.01,−.01
mFRR,SE,,,,,,,,,,,,,190,-160,190,-160,6760,7210,0.03,−.02
mFRR,LT,29,-29,0,0,0,0,0,0,0,0,0,0,,,29,-29,1373,1373,0.02,−.02
RR,RO,453,-3044,0,0,0,0,0,0,0,0,0,0,,,453,-3044,5530,8943,0.08,−.34
RR,PT,0,0,0,0,0,0,0,0,614,-614,0,0,,,614,-614,15915,15915,0.04,−.04
