Country,Electricity household relative prices 2023 S2 vs S1
Austria,4%
Belgium,−13%
Bulgaria,5%
Croatia,0%
Cyprus,−8%
Czechia,−1%
Denmark,−7%
Estonia,8%
EU 27,−4%
Finland,−6%
France,13%
Germany,−3%
Great Britain,−1%
Hungary,−2%
Ireland,39%
Italy,−12%
Latvia,−9%
Lithuania,−21%
Luxembourg,0%
Malta,1%
Netherlands,−47%
Norway,−3%
Poland,22%
Portugal,11%
Romania,1%
Slovakia,3%
Slovenia,10%
Spain,−4%
Sweden,−18%
Austria,17%
Belgium,3%
Bulgaria,4%
Croatia,4%
Cyprus,23%
Czechia,52%
Denmark,−29%
Estonia,−4%
EU 27,8%
Finland,13%
France,14%
Germany,23%
Great Britain,2%
Hungary,13%
Ireland,18%
Italy,6%
Latvia,23%
Lithuania,28%
Luxembourg,−1%
Malta,−2%
Netherlands,303%
Norway,−12%
Poland,28%
Portugal,−1%
Romania,−34%
Slovakia,4%
Slovenia,20%
Spain,−25%
Sweden,−3%
Austria,31%
Belgium,43%
Bulgaria,19%
Croatia,12%
Cyprus,62%
Czechia,80%
Denmark,25%
Estonia,63%
Finland,33%
France,41%
Germany,37%
Great Britain,33%
Greece,47%
Hungary,3%
Ireland,31%
Italy,54%
Latvia,78%
Lithuania,101%
Luxembourg,12%
Malta,−2%
Netherlands,76%
Norway,5%
Poland,45%
Portugal,1%
Romania,37%
Slovakia,21%
Slovenia,22%
Spain,0%
Sweden,19%
