EU acronym,VAT (cEUR/kWh),Other taxes  (cEUR/kWh),Without taxes  (cEUR/kWh)
AT,0.04,−.01,0.21
BE,0.03,0.04,0.38
BG,0.02,0.00,0.10
CY,0.05,0.02,0.26
CZ,0.08,−.05,0.36
DE,0.05,0.05,0.23
DK,0.12,0.11,0.36
EE,0.04,0.01,0.21
ES,0.02,0.02,0.30
EU-27/EEA,0.04,0.01,0.24
FI,0.04,0.00,0.19
FR,0.03,0.02,0.17
GR,0.01,−.23,0.46
HR,0.02,0.01,0.12
HU,0.02,0.00,0.09
IE,0.03,0.01,0.37
IT,0.03,0.01,0.32
LT,0.04,0.00,0.20
LU,0.02,0.02,0.17
LV,0.05,0.00,0.24
MT,0.01,0.00,0.12
NL,0.01,−.20,0.32
NO,0.04,−.09,0.28
PL,0.01,0.05,0.10
PT,0.04,−.01,0.20
RO,0.05,0.02,0.27
SE,0.07,−.05,0.25
SI,0.03,0.01,0.15
SK,0.03,0.03,0.13
