Country,Relative electricity prices for industry 2023 S2 vs S1
Austria,−7%
Belgium,−14%
Bulgaria,−16%
Croatia,−11%
Cyprus,−5%
Czechia,−6%
Denmark,59%
Estonia,−1%
EU 27,−9%
Finland,−15%
France,−14%
Germany,−6%
Great Britain,−10%
Hungary,−17%
Ireland,−9%
Italy,−15%
Latvia,−5%
Lithuania,−7%
Luxembourg,−1%
Malta,−4%
Netherlands,−11%
Norway,−32%
Poland,−4%
Portugal,30%
Romania,−5%
Slovakia,−11%
Slovenia,−5%
Spain,−10%
Sweden,−21%
Austria,18%
Belgium,8%
Bulgaria,−15%
Croatia,45%
Cyprus,1%
Czechia,5%
Denmark,−43%
Estonia,−30%
EU 27,−4%
Finland,−30%
France,39%
Germany,−1%
Great Britain,−20%
Hungary,14%
Ireland,3%
Italy,−26%
Latvia,−11%
Lithuania,−41%
Luxembourg,78%
Malta,9%
Netherlands,35%
Norway,−49%
Poland,63%
Portugal,−41%
Romania,−29%
Slovakia,1%
Slovenia,7%
Spain,−41%
Sweden,−25%
Austria,162%
Belgium,121%
Bulgaria,82%
Croatia,156%
Cyprus,69%
Czechia,148%
Denmark,−6%
Estonia,80%
EU 27,92%
Finland,30%
France,128%
Germany,71%
Great Britain,75%
Hungary,202%
Ireland,122%
Italy,69%
Latvia,134%
Lithuania,70%
Luxembourg,256%
Malta,−4%
Netherlands,214%
Norway,32%
Poland,149%
Portugal,−3%
Romania,83%
Slovakia,112%
Slovenia,155%
Spain,48%
Sweden,54%
