Area,Year,Churn factor
SEM,2020,1.10
GR,2018,1.08
SEM,2019,1.07
GR,2019,1.02
Nordics and Baltics,2017,1.00
Nordics and Baltics,2016,1.00
GR,2020,1.00
Nordics and Baltics,2018,0.99
SEM,2017,0.99
SEM,2016,0.98
GR,2017,0.97
Nordics and Baltics,2019,0.97
GR,2016,0.94
SEM,2018,0.92
Nordics and Baltics,2020,0.89
Iberia,2017,0.82
Iberia,2016,0.81
Iberia,2020,0.81
Iberia,2018,0.80
Iberia,2019,0.79
IT,2020,0.75
IT,2019,0.71
IT,2018,0.70
IT,2017,0.70
IT,2016,0.69
SI,2020,0.62
HU,2020,0.62
SI,2019,0.58
RO,2016,0.55
HU,2019,0.53
SI,2016,0.53
RO,2020,0.52
SK,2018,0.52
SK,2020,0.51
SI,2017,0.51
RO,2017,0.51
SI,2018,0.51
BG,2020,0.50
HU,2018,0.49
RO,2019,0.48
SK,2017,0.48
RO,2018,0.48
AT,2019,0.48
HU,2017,0.47
HU,2016,0.47
DE_LU,2019,0.46
DE_LU,2020,0.45
SK,2019,0.42
AT,2020,0.42
CH,2019,0.42
CH,2020,0.40
CZ,2019,0.39
CH,2018,0.39
HR,2020,0.39
CH,2017,0.38
CH,2016,0.38
CZ,2018,0.38
CZ,2020,0.37
CZ,2017,0.36
SK,2016,0.35
CZ,2016,0.34
NL,2018,0.33
NL,2016,0.32
NL,2019,0.31
BE,2018,0.31
HR,2019,0.30
NL,2017,0.30
FR,2020,0.29
NL,2020,0.27
BG,2019,0.26
FR,2019,0.26
FR,2018,0.25
BE,2020,0.25
FR,2016,0.24
BE,2016,0.23
FR,2017,0.23
BE,2019,0.22
BE,2017,0.21
BG,2018,0.19
BG,2017,0.13
HR,2018,0.12
BG,2016,0.10
HR,2016,0.00
HR,2017,0.00
