Area,Year,Churn factor
BE,2016,0.11
BE,2017,0.20
BE,2018,0.35
BE,2019,0.20
BE,2020,0.07
BG,2016,0.00
BG,2017,0.13
BG,2018,0.54
BG,2019,0.53
BG,2020,0.26
CZ,2016,0.33
CZ,2017,0.28
CZ,2018,0.43
CZ,2019,0.52
CZ,2020,0.46
DE,2016,8.97
DE,2017,9.02
DE,2018,7.67
DE,2019,7.63
DE,2020,8.51
FR,2016,4.07
FR,2017,3.15
FR,2018,2.39
FR,2019,2.23
FR,2020,2.96
GB,2016,3.98
GB,2017,3.01
GB,2018,2.78
GB,2019,2.71
GB,2020,2.51
HU,2016,0.28
HU,2017,0.20
HU,2018,0.15
HU,2019,0.11
HU,2020,0.12
Iberia,2016,0.81
Iberia,2017,0.74
Iberia,2018,0.52
Iberia,2019,0.75
Iberia,2020,0.91
IT,2016,2.48
IT,2017,2.64
IT,2018,1.98
IT,2019,1.96
IT,2020,2.08
NL,2016,1.51
NL,2017,1.64
NL,2018,1.53
NL,2019,1.42
NL,2020,1.54
Nordic,2016,3.92
Nordic,2017,2.89
Nordic,2018,2.56
Nordic,2019,2.22
Nordic,2020,2.61
PL,2016,1.60
PL,2017,0.90
PL,2018,1.31
PL,2019,1.27
PL,2020,1.40
RO,2016,1.57
RO,2017,1.90
RO,2018,1.45
RO,2019,0.83
RO,2020,1.32
SI,2016,2.00
SI,2017,2.21
SI,2018,2.64
SI,2019,1.94
SI,2020,0.01
