Type of strategic document,Category,Value [GW]
National strategies (2024 report),Minimum electrolyser capacity target,59
National strategies (2024 report),Incremental electrolyser capacity target,3
National strategies (2024 report),Maximum electrolyser capacity target,62
National strategies (updated),Minimum electrolyser capacity target,48
National strategies (updated),Incremental electrolyser capacity target,6
National strategies (updated),Maximum electrolyser capacity target,54
EU hydrogen strategy,Maximum electrolyser capacity target,40
National strategies (updated),Minimum hydrogen production target,4.50
National strategies (updated),Incremental hydrogen production target,2.40
National strategies (updated),Maximum hydrogen production target,6.90
EU hydrogen strategy 2030,Maximum hydrogen production target,10.00
