Date,Cross-border transport costs from Belgium to Germany (EUR/MWH),Belgian ZTP hub price  (EUR/MWH),ZTP sourcing costs into Germany  (EUR/MWH),German THE hub price  (EUR/MWH),NWE LNG price  (EUR/MWH),LNG to THE transport costs  (EUR/MWH),LNG into Germany  (EUR/MWH)
0/1/21,1.88,84.05,85.93,85.40,92.25,2.30,94.55
0/7/22,0.77,95.80,96.57,97.03,85.34,2.30,87.64
0/2/21,1.04,80.47,81.51,84.70,92.25,2.30,94.55
0/3/21,0.78,80.47,81.25,84.70,92.25,2.30,94.55
0/8/22,0.73,85.95,86.68,86.50,85.34,2.30,87.64
0/4/21,1.58,82.50,84.08,86.12,95.28,2.30,97.58
0/9/22,0.73,85.95,86.68,86.50,85.34,2.30,87.64
0/5/21,0.78,89.10,89.88,90.15,117.89,2.30,120.19
0/10/22,0.73,86.22,86.96,87.28,79.22,2.30,81.52
0/6/21,0.78,115.65,116.43,116.70,107.94,2.30,110.24
0/11/22,0.73,84.17,84.91,85.00,75.62,2.30,77.92
0/7/21,0.78,100.50,101.28,101.85,97.16,2.30,99.46
0/12/22,0.73,80.75,81.48,82.08,70.29,2.30,72.59
0/8/21,1.38,92.45,93.83,93.55,84.94,2.30,87.24
0/13/22,0.98,74.75,75.73,75.50,78.44,2.30,80.74
0/14/22,0.73,84.60,85.33,85.20,77.62,2.30,79.92
0/9/21,0.78,77.20,77.98,78.53,84.94,2.30,87.24
0/10/21,0.78,77.20,77.98,78.53,84.94,2.30,87.24
0/15/22,0.84,83.85,84.69,83.58,77.62,2.30,79.92
0/11/21,0.78,79.45,80.23,80.70,84.41,2.30,86.71
0/16/22,0.73,83.85,84.58,83.58,77.62,2.30,79.92
0/12/21,0.78,82.88,83.65,83.70,87.28,2.30,89.58
0/17/22,0.73,83.95,84.68,84.78,68.15,2.30,70.45
0/13/21,0.78,84.90,85.68,85.62,94.19,2.30,96.49
0/18/22,0.96,75.30,76.26,76.60,70.20,2.30,72.50
0/19/22,0.78,78.58,79.35,79.83,65.44,2.30,67.74
0/14/21,0.78,91.00,91.78,91.80,101.89,2.30,104.19
0/15/21,0.78,99.17,99.95,100.08,88.94,2.30,91.25
0/16/21,0.78,84.83,85.60,85.65,88.94,2.30,91.25
0/17/21,0.78,84.83,85.60,85.65,88.94,2.30,91.25
0/18/21,0.80,87.95,88.75,88.80,92.13,2.30,94.43
0/19/21,0.78,85.35,86.13,86.08,93.07,2.30,95.37
0/20/21,0.78,86.55,87.33,87.40,95.88,2.30,98.18
0/20/22,0.73,73.92,74.66,75.00,67.48,2.30,69.78
0/21/21,0.78,89.58,90.35,90.45,89.30,2.30,91.60
0/21/22,0.73,75.60,76.33,76.60,72.06,2.30,74.36
0/22/21,0.78,85.60,86.38,85.25,88.71,2.30,91.01
0/22/22,0.73,79.22,79.96,80.40,72.06,2.30,74.36
0/23/21,0.78,86.20,86.98,87.00,88.71,2.30,91.01
0/23/22,0.73,79.22,79.96,80.40,72.06,2.30,74.36
0/24/21,0.78,86.20,86.98,87.00,88.71,2.30,91.01
0/24/22,0.79,79.75,80.54,80.65,82.52,2.30,84.82
0/25/21,0.78,86.60,87.38,87.60,90.05,2.30,92.35
0/26/21,1.03,87.45,88.48,88.45,89.82,2.30,92.12
0/25/22,0.73,91.47,92.21,92.60,83.89,2.30,86.19
0/27/21,0.78,86.50,87.28,87.15,88.20,2.30,90.50
0/26/22,1.16,92.00,93.16,93.15,83.46,2.30,85.76
0/28/21,0.78,84.47,85.25,85.25,77.01,2.30,79.31
0/27/22,0.88,89.72,90.61,91.70,85.58,2.30,87.88
0/29/21,0.74,72.40,73.14,73.25,65.42,2.30,67.72
0/28/22,1.31,90.00,91.31,90.90,86.49,2.30,88.79
0/30/21,0.78,59.62,60.40,60.55,65.42,2.30,67.72
0/29/22,0.88,89.38,90.26,90.75,86.49,2.30,88.79
0/31/21,0.78,59.62,60.40,60.55,65.42,2.30,67.72
0/30/22,0.75,89.38,90.12,90.75,86.49,2.30,88.79
0/1/21,0.78,60.25,61.03,61.25,66.31,2.30,68.61
0/31/22,1.57,89.65,91.22,91.22,80.14,2.30,82.44
0/2/21,0.78,62.67,63.45,63.73,71.63,2.30,73.93
0/1/22,1.23,81.55,82.78,83.80,73.09,2.30,75.39
0/3/21,0.78,68.95,69.73,69.75,80.24,2.30,82.54
0/2/22,1.05,75.40,76.45,76.30,74.03,2.30,76.33
0/4/21,0.78,77.78,78.55,78.53,74.48,2.30,76.78
0/5/21,0.78,71.90,72.68,72.65,74.70,2.30,77.00
0/3/22,1.41,75.17,76.58,76.45,77.81,2.30,80.11
0/4/22,1.49,78.33,79.81,80.15,78.71,2.30,81.01
0/6/21,0.78,72.17,72.95,73.00,74.70,2.30,77.00
0/5/22,1.49,80.30,81.79,81.80,78.71,2.30,81.01
0/7/21,0.78,72.17,72.95,73.00,74.70,2.30,77.00
0/6/22,0.93,80.30,81.23,81.80,78.71,2.30,81.01
0/8/21,0.78,72.53,73.30,73.20,78.92,2.30,81.22
0/7/22,1.38,80.58,81.96,82.42,75.62,2.30,77.92
0/9/21,0.78,76.75,77.53,78.12,71.78,2.30,74.08
0/8/22,1.38,76.90,78.28,78.12,72.83,2.30,75.13
0/10/21,0.78,71.22,72.00,72.50,71.88,2.30,74.17
0/9/22,1.10,74.60,75.70,76.28,72.98,2.30,75.28
0/11/21,0.78,69.47,70.25,70.67,75.48,2.30,77.78
0/10/22,0.73,74.95,75.68,75.58,72.78,2.30,75.08
0/12/21,0.78,71.90,72.68,73.15,75.13,2.30,77.43
0/11/22,1.13,74.35,75.48,75.45,74.72,2.30,77.02
0/13/21,0.78,73.80,74.58,74.88,75.13,2.30,77.43
0/12/22,1.45,75.00,76.45,76.78,74.72,2.30,77.02
0/14/21,0.78,73.80,74.58,74.88,75.13,2.30,77.43
0/13/22,1.19,75.00,76.19,76.78,74.72,2.30,77.02
0/15/21,0.78,74.10,74.88,74.97,81.44,2.30,83.74
0/14/22,1.04,74.95,75.99,76.67,77.61,2.30,79.91
0/16/21,0.78,79.60,80.38,79.60,95.98,2.30,98.28
0/15/22,1.36,78.30,79.66,79.97,65.94,2.30,68.24
0/17/21,0.78,93.20,93.98,93.80,96.18,2.30,98.48
0/16/22,1.09,67.10,68.19,67.97,66.69,2.30,68.99
0/18/21,0.78,92.97,93.75,93.58,95.09,2.30,97.39
0/19/21,0.78,90.90,91.68,91.83,88.22,2.30,90.52
0/17/22,0.86,68.00,68.86,69.30,71.92,2.30,74.22
0/20/21,0.78,86.30,87.08,86.50,88.22,2.30,90.52
0/18/22,0.78,73.20,73.98,74.17,70.37,2.30,72.67
0/21/21,0.78,86.30,87.08,86.50,88.22,2.30,90.52
0/19/22,0.73,72.22,72.96,72.70,70.37,2.30,72.67
0/22/21,0.78,85.92,86.70,86.60,86.37,2.30,88.67
0/20/22,0.78,72.22,73.01,72.70,70.37,2.30,72.67
0/23/21,0.78,83.72,84.50,84.00,93.03,2.30,95.33
0/21/22,0.73,72.03,72.76,72.97,68.81,2.30,71.11
0/22/22,0.77,70.85,71.62,71.75,75.70,2.30,78.00
0/24/21,0.78,91.22,92.00,91.67,95.45,2.30,97.75
0/23/22,0.73,78.45,79.18,79.25,85.95,2.30,88.25
0/24/22,0.73,88.38,89.11,89.25,112.65,2.30,114.95
0/25/21,0.78,93.30,94.08,93.65,93.91,2.30,96.21
0/25/22,0.76,117.00,117.76,116.60,87.79,2.30,90.09
0/26/21,0.78,91.90,92.68,92.55,88.84,2.30,91.14
0/26/22,0.78,87.67,88.46,88.85,87.79,2.30,90.09
0/27/21,0.78,87.03,87.80,87.90,88.84,2.30,91.14
0/27/22,0.78,87.67,88.46,88.85,87.79,2.30,90.09
0/28/21,0.78,87.03,87.80,87.90,88.84,2.30,91.14
0/28/22,0.77,89.40,90.17,90.50,93.66,2.30,95.96
0/29/21,0.78,87.78,88.55,88.20,94.58,2.30,96.89
0/1/22,0.76,98.22,98.99,98.80,120.69,2.30,122.99
0/30/21,0.78,93.15,93.93,93.35,92.07,2.30,94.37
0/1/21,0.78,90.70,91.48,91.25,95.44,2.30,97.74
0/2/22,0.76,121.45,122.21,122.35,168.70,2.30,171.00
0/2/21,0.78,95.12,95.90,96.12,92.48,2.30,94.78
0/3/22,0.76,175.03,175.79,175.65,136.38,2.30,138.68
0/3/21,0.78,92.60,93.38,93.12,89.07,2.30,91.37
0/4/22,0.76,139.90,140.66,140.32,187.75,2.30,190.05
0/5/22,0.76,191.00,191.76,191.60,187.75,2.30,190.05
0/4/21,0.78,88.47,89.25,89.38,89.07,2.30,91.37
0/6/22,0.77,191.00,191.77,191.60,187.75,2.30,190.05
0/5/21,0.78,88.47,89.25,89.38,89.07,2.30,91.37
0/7/22,0.78,194.35,195.13,195.15,188.97,2.30,191.27
0/8/22,0.76,212.03,212.79,213.00,190.91,2.30,193.21
0/6/21,0.78,89.10,89.88,89.85,89.31,2.30,91.61
0/9/22,0.78,207.50,208.28,208.82,138.01,2.30,140.31
0/7/21,0.78,89.30,90.08,90.08,95.38,2.30,97.68
0/10/22,0.88,148.57,149.46,149.20,111.29,2.30,113.59
0/8/21,0.78,95.95,96.73,96.03,102.01,2.30,104.31
0/11/22,0.87,114.50,115.37,120.10,120.44,2.30,122.73
0/12/22,0.81,128.50,129.31,129.22,120.44,2.30,122.73
0/13/22,1.21,128.50,129.71,129.22,120.44,2.30,122.73
0/9/21,0.78,103.00,103.78,103.58,100.05,2.30,102.34
0/14/22,1.24,129.32,130.56,130.53,99.06,2.30,101.36
0/10/21,0.78,100.65,101.43,101.58,104.85,2.30,107.15
0/15/22,1.28,108.00,109.28,109.30,101.43,2.30,103.73
0/11/21,0.78,103.90,104.68,104.35,104.85,2.30,107.15
0/16/22,0.77,107.50,108.27,108.70,97.50,2.30,99.80
0/17/22,0.97,96.38,97.35,97.78,99.31,2.30,101.61
0/12/21,0.78,103.90,104.68,104.35,104.85,2.30,107.15
0/18/22,2.87,100.00,102.87,101.25,97.79,2.30,100.09
0/19/22,2.50,91.30,93.80,94.20,97.79,2.30,100.09
0/13/21,0.78,104.00,104.78,104.85,115.75,2.30,118.05
0/20/22,1.81,91.30,93.11,94.20,97.79,2.30,100.09
0/14/21,0.78,116.70,117.48,117.28,126.92,2.30,129.22
0/21/22,1.72,93.00,94.72,95.55,88.72,2.30,91.02
0/22/22,1.09,90.60,91.69,91.85,92.92,2.30,95.22
0/15/21,0.78,128.32,129.10,128.70,128.98,2.30,131.28
0/23/22,1.15,93.62,94.77,94.60,108.25,2.30,110.55
0/16/21,0.78,130.00,130.78,130.38,133.62,2.30,135.92
0/24/22,1.81,107.90,109.71,109.30,100.85,2.30,103.15
0/17/21,0.78,141.65,142.43,142.00,134.36,2.30,136.66
0/25/22,2.51,96.20,98.71,98.97,93.89,2.30,96.19
0/26/22,1.73,91.50,93.23,93.50,93.89,2.30,96.19
0/18/21,0.78,135.25,136.03,135.88,134.36,2.30,136.66
0/27/22,1.73,91.50,93.23,93.50,93.89,2.30,96.19
0/19/21,0.78,135.25,136.03,135.88,134.36,2.30,136.66
0/28/22,1.09,93.05,94.14,96.12,100.14,2.30,102.44
0/29/22,0.78,101.50,102.28,102.58,100.97,2.30,103.27
0/20/21,0.78,137.22,138.00,137.80,145.18,2.30,147.48
0/30/22,0.87,105.00,105.87,106.20,111.18,2.30,113.48
0/31/22,2.55,114.05,116.60,116.00,115.45,2.30,117.75
0/21/21,0.78,148.18,148.95,148.62,177.44,2.30,179.74
0/1/22,1.93,121.28,123.21,125.00,102.46,2.30,104.76
0/22/21,0.78,182.75,183.53,183.43,162.98,2.30,165.28
0/2/22,2.55,108.22,110.77,111.80,102.46,2.30,104.76
0/3/22,3.35,108.22,111.57,111.80,102.46,2.30,104.76
0/23/21,0.78,165.82,166.60,167.00,124.43,2.30,126.73
0/4/22,3.96,109.10,113.06,111.95,99.41,2.30,101.71
0/24/21,0.78,123.70,124.48,124.20,101.30,2.30,103.60
0/5/22,4.25,105.35,109.60,110.05,97.50,2.30,99.81
0/25/21,0.78,97.05,97.83,98.05,101.30,2.30,103.60
0/6/22,4.73,101.62,106.36,107.83,96.51,2.30,98.81
0/26/21,0.78,97.05,97.83,98.05,101.30,2.30,103.60
0/27/21,0.78,97.05,97.83,98.05,101.30,2.30,103.60
0/28/21,0.78,97.05,97.83,98.05,101.30,2.30,103.60
0/29/21,1.01,95.50,96.51,97.92,95.49,2.30,97.79
0/7/22,5.73,99.70,105.43,106.03,92.70,2.30,95.00
0/8/22,4.64,99.20,103.84,103.50,90.20,2.30,92.50
0/9/22,3.04,94.85,97.89,102.35,90.20,2.30,92.50
0/10/22,3.44,94.85,98.29,102.35,90.20,2.30,92.50
0/11/22,7.13,95.30,102.43,103.25,87.81,2.30,90.11
0/12/22,7.02,93.80,100.82,101.67,89.80,2.30,92.10
0/13/22,7.35,94.70,102.05,102.85,91.51,2.30,93.81
0/14/22,11.70,94.55,106.25,103.80,77.60,2.30,79.90
0/30/21,1.23,87.00,88.23,88.50,84.39,2.30,86.69
0/15/22,3.74,69.75,73.49,82.00,77.60,2.30,79.90
0/16/22,2.56,69.75,72.31,82.00,77.60,2.30,79.90
0/31/21,3.73,76.20,79.93,78.53,68.11,2.30,70.42
0/17/22,8.86,69.75,78.61,82.00,77.60,2.30,79.90
0/1/22,1.23,58.55,59.78,61.00,68.11,2.30,70.42
0/18/22,5.08,69.75,74.83,82.00,77.60,2.30,79.90
0/2/22,1.38,58.55,59.93,61.00,68.11,2.30,70.42
0/19/22,9.23,72.10,81.33,87.15,80.36,2.30,82.66
0/3/22,1.03,58.55,59.58,61.00,68.11,2.30,70.42
0/20/22,9.23,79.40,88.63,91.58,79.28,2.30,81.58
0/4/22,0.73,60.00,60.73,63.50,84.47,2.30,86.78
0/21/22,9.31,80.92,90.24,91.40,84.41,2.30,86.71
0/5/22,0.73,83.65,84.38,84.55,92.37,2.30,94.67
0/22/22,16.23,83.00,99.23,98.55,79.25,2.30,81.56
0/6/22,0.73,92.00,92.73,92.83,95.12,2.30,97.42
0/23/22,16.23,63.50,79.73,91.47,79.25,2.30,81.56
0/24/22,10.76,63.50,74.26,91.47,79.25,2.30,81.56
0/25/22,9.73,68.55,78.28,92.33,77.11,2.30,79.41
0/26/22,9.48,83.50,92.98,93.47,76.08,2.30,78.38
0/27/22,9.23,83.90,93.13,97.53,77.03,2.30,79.33
0/28/22,5.39,95.25,100.64,103.78,76.97,2.30,79.27
0/29/22,3.14,96.97,100.12,99.03,72.70,2.30,75.00
0/30/22,3.03,84.10,87.13,95.50,72.70,2.30,75.00
0/1/22,3.38,84.10,87.48,95.50,72.70,2.30,75.00
0/2/22,2.86,84.10,86.96,95.50,72.70,2.30,75.00
0/3/22,1.95,81.95,83.90,95.58,69.53,2.30,71.83
0/4/22,5.74,81.60,87.34,96.42,74.87,2.30,77.17
0/5/22,4.11,97.62,101.74,101.62,77.47,2.30,79.77
0/6/22,3.94,93.50,97.44,96.10,70.45,2.30,72.75
0/22/22,37.91,129.45,167.36,155.05,134.89,2.30,137.19
0/7/22,4.14,77.53,81.67,85.58,70.45,2.30,72.75
