Member State,Variable,Capacity contracted (GW),"Share of DSR, storage and RES",Code name RES storage,
Belgium,2025,0.29,0.07,Demand response,
Belgium,2025,0.00,0.07,"Intermittent RES (wind, solar)",
Belgium,2025,0.04,0.07,Other storage,
Germany,2020,0.00,0.00,Demand response,
Germany,2020,0.00,0.00,"Intermittent RES (wind, solar)",
Germany,2020,0.00,0.00,Other storage,
Germany,2021,0.00,0.00,Demand response,
Germany,2021,0.00,0.00,"Intermittent RES (wind, solar)",
Germany,2021,0.00,0.00,Other storage,
Germany,2022,0.00,0.00,Demand response,
Germany,2022,0.00,0.00,"Intermittent RES (wind, solar)",
Germany,2022,0.00,0.00,Other storage,
Germany,2023,0.00,0.00,Demand response,
Germany,2023,0.00,0.00,"Intermittent RES (wind, solar)",
Germany,2023,0.00,0.00,Other storage,
Germany,2024,0.00,0.00,Demand response,
Germany,2024,0.00,0.00,"Intermittent RES (wind, solar)",
Germany,2024,0.00,0.00,Other storage,
Finland,2019,0.02,0.03,Demand response,
Finland,2019,,0.03,"Intermittent RES (wind, solar)",
Finland,2019,,0.03,Other storage,
Finland,2020,0.02,0.03,Demand response,
Finland,2020,,0.03,"Intermittent RES (wind, solar)",
Finland,2020,,0.03,Other storage,
Finland,2021,0.00,0.00,Demand response,
Finland,2021,0.00,0.00,"Intermittent RES (wind, solar)",
Finland,2021,0.00,0.00,Other storage,
Finland,2022,0.00,0.00,Demand response,
Finland,2022,0.00,0.00,"Intermittent RES (wind, solar)",
Finland,2022,0.00,0.00,Other storage,
France,2020,3.05,0.07,Demand response,
France,2020,3.26,0.07,"Intermittent RES (wind, solar)",
France,2020,0.04,0.07,Other storage,
France,2021,2.95,0.07,Demand response,
France,2021,3.60,0.07,"Intermittent RES (wind, solar)",
France,2021,0.12,0.07,Other storage,
France,2022,3.34,0.08,Demand response,
France,2022,3.71,0.08,"Intermittent RES (wind, solar)",
France,2022,0.28,0.08,Other storage,
France,2023,3.30,0.09,Demand response,
France,2023,4.08,0.09,"Intermittent RES (wind, solar)",
France,2023,0.44,0.09,Other storage,
Ireland,2020,0.42,0.06,Demand response,
Ireland,2020,0.03,0.06,"Intermittent RES (wind, solar)",
Ireland,2020,0.00,0.06,Other storage,
Ireland,2021,0.42,0.06,Demand response,
Ireland,2021,0.03,0.06,"Intermittent RES (wind, solar)",
Ireland,2021,0.01,0.06,Other storage,
Ireland,2022,0.47,0.08,Demand response,
Ireland,2022,0.04,0.08,"Intermittent RES (wind, solar)",
Ireland,2022,0.06,0.08,Other storage,
Ireland,2023,0.49,0.09,Demand response,
Ireland,2023,0.05,0.09,"Intermittent RES (wind, solar)",
Ireland,2023,0.20,0.09,Other storage,
Ireland,2024,0.52,0.09,Demand response,
Ireland,2024,0.05,0.09,"Intermittent RES (wind, solar)",
Ireland,2024,0.19,0.09,Other storage,
Ireland,2025,0.54,0.10,Demand response,
Ireland,2025,0.06,0.10,"Intermittent RES (wind, solar)",
Ireland,2025,0.38,0.10,Other storage,
Ireland,2026,0.47,0.10,Demand response,
Ireland,2026,0.05,0.10,"Intermittent RES (wind, solar)",
Ireland,2026,0.42,0.10,Other storage,
Italy,2022,0.00,0.01,Demand response,
Italy,2022,0.58,0.01,"Intermittent RES (wind, solar)",
Italy,2022,0.00,0.01,Other storage,
Italy,2023,0.00,0.02,Demand response,
Italy,2023,0.59,0.02,"Intermittent RES (wind, solar)",
Italy,2023,0.10,0.02,Other storage,
Italy,2024,0.00,0.04,Demand response,
Italy,2024,0.60,0.04,"Intermittent RES (wind, solar)",
Italy,2024,1.22,0.04,Other storage,
Poland,2021,0.02,0.56,Demand response,
Poland,2021,0.02,0.00,"Intermittent RES (wind, solar)",
Poland,2021,0.02,0.00,Other storage,
Poland,2022,0.04,0.87,Demand response,
Poland,2022,0.04,0.00,"Intermittent RES (wind, solar)",
Poland,2022,0.04,0.00,Other storage,
Poland,2023,0.05,1.09,Demand response,
Poland,2023,0.05,0.00,"Intermittent RES (wind, solar)",
Poland,2023,0.05,0.00,Other storage,
Poland,2024,0.05,1.04,Demand response,
Poland,2024,0.05,0.00,"Intermittent RES (wind, solar)",
Poland,2024,0.05,0.00,Other storage,
Poland,2025,0.05,0.96,Demand response,
Poland,2025,0.05,0.00,"Intermittent RES (wind, solar)",
Poland,2025,0.05,0.00,Other storage,
Poland,2026,0.08,1.51,Demand response,
Poland,2026,0.08,0.00,"Intermittent RES (wind, solar)",
Poland,2026,0.08,0.00,Other storage,
Poland,2027,0.09,1.54,Demand response,
Poland,2027,0.09,0.00,"Intermittent RES (wind, solar)",
Poland,2027,0.09,0.16,Other storage,
Sweden,2020,0.19,0.25,Demand response,
Sweden,2020,0.00,0.25,"Intermittent RES (wind, solar)",
Sweden,2020,0.00,0.25,Other storage,
Sweden,2021,0.00,0.00,Demand response,
Sweden,2021,0.00,0.00,"Intermittent RES (wind, solar)",
Sweden,2021,0.00,0.00,Other storage,
Sweden,2022,0.00,0.00,Demand response,
Sweden,2022,0.00,0.00,"Intermittent RES (wind, solar)",
Sweden,2022,0.00,0.00,Other storage,
