Estimated start of operation,Project status,Cumulative electrolyser capacity [GW]
2023,Operational,0.20
2023,Total,0.20
2024,Operational,0.30
2024,Total,0.30
2025,Operational,0.40
2025,Total,0.40
2026,Operational,0.40
2026,Under construction,1.10
2026,Advanced planning,1.10
2026,Total,2.70
2027,Operational,0.40
2027,Under construction,1.80
2027,Advanced planning,2.40
2027,Early planning,2.20
2027,Announced,0.80
2027,Total,7.70
2028,Operational,0.40
2028,Under construction,1.80
2028,Advanced planning,6.40
2028,Early planning,7.90
2028,Announced,0.90
2028,Total,17.50
2029,Operational,0.40
2029,Under construction,1.80
2029,Advanced planning,8.10
2029,Early planning,23.50
2029,Announced,6.40
2029,Total,40.30
2030,Operational,0.40
2030,Under construction,1.80
2030,Advanced planning,9.90
2030,Early planning,30.10
2030,Announced,19.30
2030,Total,61.50
2031,Operational,0.40
2031,Under construction,1.80
2031,Advanced planning,9.90
2031,Early planning,30.10
2031,Announced,25.50
2031,Total,67.80
2032,Operational,0.40
2032,Under construction,1.80
2032,Advanced planning,12.00
2032,Early planning,30.10
2032,Announced,25.50
2032,Total,69.80
2033,Operational,0.40
2033,Under construction,1.80
2033,Advanced planning,12.00
2033,Early planning,30.10
2033,Announced,26.00
2033,Total,70.30
