Region,Year,Full price convergence ( 0-1 €/MWh diff.),Moderate price convergence( 1-10€/MWh diff.),Low price convergence ( > 10 €/MWh diff.)
Baltic (3),2011,13%,70%,17%
Baltic (3),2012,10%,57%,33%
Baltic (3),2013,40%,36%,24%
Baltic (3),2014,34%,20%,46%
Baltic (3),2015,37%,21%,42%
Baltic (3),2016,71%,18%,12%
Baltic (3),2017,80%,12%,7%
Core  (CWE) (4),2008,8%,55%,37%
Core  (CWE) (4),2009,12%,67%,20%
Core  (CWE) (4),2010,22%,59%,19%
Core  (CWE) (4),2011,68%,15%,16%
Core  (CWE) (4),2012,50%,23%,27%
Core  (CWE) (4),2013,16%,19%,65%
Core  (CWE) (4),2014,21%,30%,49%
Core  (CWE) (4),2015,22%,24%,54%
Core  (CWE) (4),2016,39%,27%,34%
Core  (CWE) (4),2017,41%,21%,40%
SWE (3),2008,2%,29%,68%
SWE (3),2009,7%,51%,42%
SWE (3),2010,6%,38%,56%
SWE (3),2011,8%,47%,45%
SWE (3),2012,8%,52%,41%
SWE (3),2013,5%,32%,63%
SWE (3),2014,8%,24%,67%
SWE (3),2015,14%,22%,64%
SWE (3),2016,30%,35%,35%
SWE (3),2017,22%,28%,49%
Nordic (12),2008,14%,25%,61%
Nordic (12),2009,36%,39%,25%
Nordic (12),2010,27%,35%,38%
Nordic (12),2011,31%,27%,42%
Nordic (12),2012,30%,25%,46%
Nordic (12),2013,31%,41%,29%
Nordic (12),2014,17%,38%,46%
Nordic (12),2015,29%,24%,48%
Nordic (12),2016,16%,44%,40%
Nordic (12),2017,15%,44%,41%
Core  (CEE) (4),2010,3%,62%,35%
Core  (CEE) (4),2011,3%,59%,38%
Core  (CEE) (4),2012,6%,50%,44%
Core  (CEE) (4),2013,10%,48%,42%
Core  (CEE) (4),2014,5%,44%,51%
Core  (CEE) (4),2015,6%,43%,51%
Core  (CEE) (4),2016,5%,52%,43%
Core  (CEE) (4),2017,5%,33%,63%
IU (2),2008,5%,36%,59%
IU (2),2009,7%,49%,44%
IU (2),2010,11%,48%,42%
IU (2),2011,9%,46%,45%
IU (2),2012,10%,38%,52%
IU (2),2013,4%,37%,59%
IU (2),2014,4%,41%,64%
IU (2),2015,4%,37%,59%
IU (2),2016,6%,41%,53%
IU (2),2017,6%,55%,40%
