Convergence,Area,Year,Percentage of occurences
Full (<1 €),Baltic,2018,75%
Full (<1 €),Baltic,2017,80%
Full (<1 €),Baltic,2016,71%
Full (<1 €),Baltic,2015,37%
Full (<1 €),Baltic,2014,34%
Moderate (>1 €),Baltic,2018,13%
Moderate (>1 €),Baltic,2017,13%
Moderate (>1 €),Baltic,2016,18%
Moderate (>1 €),Baltic,2015,21%
Moderate (>1 €),Baltic,2014,20%
Low (>10 €),Baltic,2018,12%
Low (>10 €),Baltic,2017,7%
Low (>10 €),Baltic,2016,11%
Low (>10 €),Baltic,2015,42%
Low (>10 €),Baltic,2014,46%
Full (<1 €),CWE,2018,36%
Full (<1 €),CWE,2017,37%
Full (<1 €),CWE,2016,39%
Full (<1 €),CWE,2015,21%
Full (<1 €),CWE,2014,21%
Moderate (>1 €),CWE,2018,22%
Moderate (>1 €),CWE,2017,18%
Moderate (>1 €),CWE,2016,27%
Moderate (>1 €),CWE,2015,24%
Moderate (>1 €),CWE,2014,30%
Low (>10 €),CWE,2018,43%
Low (>10 €),CWE,2017,44%
Low (>10 €),CWE,2016,34%
Low (>10 €),CWE,2015,55%
Low (>10 €),CWE,2014,49%
Full (<1 €),SWE,2018,26%
Full (<1 €),SWE,2017,24%
Full (<1 €),SWE,2016,31%
Full (<1 €),SWE,2015,16%
Full (<1 €),SWE,2014,8%
Moderate (>1 €),SWE,2018,30%
Moderate (>1 €),SWE,2017,28%
Moderate (>1 €),SWE,2016,35%
Moderate (>1 €),SWE,2015,22%
Moderate (>1 €),SWE,2014,24%
Low (>10 €),SWE,2018,45%
Low (>10 €),SWE,2017,49%
Low (>10 €),SWE,2016,34%
Low (>10 €),SWE,2015,63%
Low (>10 €),SWE,2014,67%
Full (<1 €),Nordic,2018,32%
Full (<1 €),Nordic,2017,16%
Full (<1 €),Nordic,2016,17%
Full (<1 €),Nordic,2015,30%
Full (<1 €),Nordic,2014,20%
Moderate (>1 €),Nordic,2018,37%
Moderate (>1 €),Nordic,2017,45%
Moderate (>1 €),Nordic,2016,44%
Moderate (>1 €),Nordic,2015,24%
Moderate (>1 €),Nordic,2014,38%
Low (>10 €),Nordic,2018,32%
Low (>10 €),Nordic,2017,39%
Low (>10 €),Nordic,2016,38%
Low (>10 €),Nordic,2015,45%
Low (>10 €),Nordic,2014,42%
Full (<1 €),CEE,2018,9%
Full (<1 €),CEE,2017,5%
Full (<1 €),CEE,2016,18%
Full (<1 €),CEE,2015,20%
Full (<1 €),CEE,2014,5%
Moderate (>1 €),CEE,2018,49%
Moderate (>1 €),CEE,2017,33%
Moderate (>1 €),CEE,2016,43%
Moderate (>1 €),CEE,2015,35%
Moderate (>1 €),CEE,2014,44%
Low (>10 €),CEE,2018,42%
Low (>10 €),CEE,2017,62%
Low (>10 €),CEE,2016,39%
Low (>10 €),CEE,2015,45%
Low (>10 €),CEE,2014,51%
Full (<1 €),IU,2018,5%
Full (<1 €),IU,2017,5%
Full (<1 €),IU,2016,4%
Full (<1 €),IU,2015,3%
Full (<1 €),IU,2014,4%
Moderate (>1 €),IU,2018,60%
Moderate (>1 €),IU,2017,54%
Moderate (>1 €),IU,2016,51%
Moderate (>1 €),IU,2015,35%
Moderate (>1 €),IU,2014,42%
Low (>10 €),IU,2018,35%
Low (>10 €),IU,2017,40%
Low (>10 €),IU,2016,45%
Low (>10 €),IU,2015,61%
Low (>10 €),IU,2014,53%
