Date and time,Bidding zone - code,Bidding zone,Day ahead price (EUR/MWh)
0/10/24 12:00,BE,Belgium,87.84
0/10/24 12:00,DE_LU,Germany_Luxemburg,86.50
0/10/24 12:00,FR,France,88.06
0/10/24 12:00,NL,Netherlands,84.93
0/10/24 12:00,BE,Belgium,84.17
0/10/24 12:00,DE_LU,Germany_Luxemburg,83.70
0/10/24 12:00,FR,France,85.00
0/10/24 12:00,NL,Netherlands,83.70
0/10/24 12:00,BE,Belgium,87.32
0/10/24 12:00,DE_LU,Germany_Luxemburg,87.21
0/10/24 12:00,FR,France,87.70
0/10/24 12:00,NL,Netherlands,87.21
0/10/24 12:00,BE,Belgium,88.15
0/10/24 12:00,DE_LU,Germany_Luxemburg,89.07
0/10/24 12:00,FR,France,89.93
0/10/24 12:00,NL,Netherlands,87.69
0/10/24 12:00,BE,Belgium,107.11
0/10/24 12:00,DE_LU,Germany_Luxemburg,112.06
0/10/24 12:00,FR,France,111.73
0/10/24 12:00,NL,Netherlands,100.00
0/10/24 12:00,BE,Belgium,123.76
0/10/24 12:00,DE_LU,Germany_Luxemburg,135.18
0/10/24 12:00,FR,France,130.65
0/10/24 12:00,NL,Netherlands,112.79
0/10/24 12:00,BE,Belgium,133.83
0/10/24 12:00,DE_LU,Germany_Luxemburg,169.76
0/10/24 12:00,FR,France,150.32
0/10/24 12:00,NL,Netherlands,134.23
0/10/24 12:00,BE,Belgium,145.84
0/10/24 12:00,DE_LU,Germany_Luxemburg,182.14
0/10/24 12:00,FR,France,142.18
0/10/24 12:00,NL,Netherlands,157.73
0/10/24 12:00,BE,Belgium,137.53
0/10/24 12:00,DE_LU,Germany_Luxemburg,184.75
0/10/24 12:00,FR,France,132.77
0/10/24 12:00,NL,Netherlands,153.13
0/10/24 12:00,BE,Belgium,137.38
0/10/24 12:00,DE_LU,Germany_Luxemburg,186.50
0/10/24 12:00,FR,France,119.00
0/10/24 12:00,NL,Netherlands,163.00
0/10/24 12:00,BE,Belgium,132.60
0/10/24 12:00,DE_LU,Germany_Luxemburg,180.62
0/10/24 12:00,FR,France,117.35
0/10/24 12:00,NL,Netherlands,135.22
0/10/24 12:00,BE,Belgium,138.00
0/10/24 12:00,DE_LU,Germany_Luxemburg,190.78
0/10/24 12:00,FR,France,115.21
0/10/24 12:00,NL,Netherlands,169.15
0/10/24 12:00,BE,Belgium,141.28
0/10/24 12:00,DE_LU,Germany_Luxemburg,189.41
0/10/24 12:00,FR,France,120.72
0/10/24 12:00,NL,Netherlands,169.48
0/10/24 12:00,BE,Belgium,149.54
0/10/24 12:00,DE_LU,Germany_Luxemburg,197.64
0/10/24 12:00,FR,France,131.00
0/10/24 12:00,NL,Netherlands,176.60
0/10/24 12:00,BE,Belgium,158.21
0/10/24 12:00,DE_LU,Germany_Luxemburg,200.18
0/10/24 12:00,FR,France,145.01
0/10/24 12:00,NL,Netherlands,179.97
0/10/24 12:00,BE,Belgium,160.23
0/10/24 12:00,DE_LU,Germany_Luxemburg,202.38
0/10/24 12:00,FR,France,160.60
0/10/24 12:00,NL,Netherlands,159.90
0/10/24 12:00,BE,Belgium,181.00
0/10/24 12:00,DE_LU,Germany_Luxemburg,181.00
0/10/24 12:00,FR,France,181.00
0/10/24 12:00,NL,Netherlands,181.00
0/10/24 12:00,BE,Belgium,176.73
0/10/24 12:00,DE_LU,Germany_Luxemburg,180.17
0/10/24 12:00,FR,France,178.28
0/10/24 12:00,NL,Netherlands,176.65
0/10/24 12:00,BE,Belgium,151.00
0/10/24 12:00,DE_LU,Germany_Luxemburg,166.60
0/10/24 12:00,FR,France,157.99
0/10/24 12:00,NL,Netherlands,151.98
0/10/24 12:00,BE,Belgium,129.52
0/10/24 12:00,DE_LU,Germany_Luxemburg,151.15
0/10/24 12:00,FR,France,140.51
0/10/24 12:00,NL,Netherlands,120.00
0/10/24 12:00,BE,Belgium,127.68
0/10/24 12:00,DE_LU,Germany_Luxemburg,137.94
0/10/24 12:00,FR,France,134.22
0/10/24 12:00,NL,Netherlands,107.20
0/10/24 12:00,BE,Belgium,121.37
0/10/24 12:00,DE_LU,Germany_Luxemburg,121.37
0/10/24 12:00,FR,France,121.37
0/10/24 12:00,NL,Netherlands,121.37
0/10/24 12:00,BE,Belgium,105.37
0/10/24 12:00,DE_LU,Germany_Luxemburg,115.94
0/10/24 12:00,FR,France,109.44
0/10/24 12:00,NL,Netherlands,100.00
0/11/24 12:00,BE,Belgium,104.12
0/11/24 12:00,DE_LU,Germany_Luxemburg,108.22
0/11/24 12:00,FR,France,105.70
0/11/24 12:00,NL,Netherlands,101.85
0/11/24 12:00,BE,Belgium,101.97
0/11/24 12:00,DE_LU,Germany_Luxemburg,107.31
0/11/24 12:00,FR,France,104.17
0/11/24 12:00,NL,Netherlands,96.54
0/11/24 12:00,BE,Belgium,100.35
0/11/24 12:00,DE_LU,Germany_Luxemburg,106.17
0/11/24 12:00,FR,France,102.62
0/11/24 12:00,NL,Netherlands,97.10
0/11/24 12:00,BE,Belgium,98.20
0/11/24 12:00,DE_LU,Germany_Luxemburg,108.69
0/11/24 12:00,FR,France,100.85
0/11/24 12:00,NL,Netherlands,96.51
0/11/24 12:00,BE,Belgium,107.03
0/11/24 12:00,DE_LU,Germany_Luxemburg,125.31
0/11/24 12:00,FR,France,114.16
0/11/24 12:00,NL,Netherlands,97.10
0/11/24 12:00,BE,Belgium,116.40
0/11/24 12:00,DE_LU,Germany_Luxemburg,163.42
0/11/24 12:00,FR,France,123.45
0/11/24 12:00,NL,Netherlands,100.10
0/11/24 12:00,BE,Belgium,149.60
0/11/24 12:00,DE_LU,Germany_Luxemburg,295.50
