Trading day,hour of day where trading occurred,Volume (MWh),Share
D-1,13:00,2500,0%
D-1,14:00,110517,16%
D-1,15:00,19348,3%
D-1,16:00,11284,2%
D-1,17:00,5774,1%
D-1,18:00,6289,1%
D-1,19:00,6425,1%
D-1,20:00,7072,1%
D-1,21:00,6367,1%
D-1,22:00,7484,1%
D-1,23:00,12345,2%
D,0:00,14973,2%
D,1:00,16285,2%
D,2:00,19141,3%
D,3:00,16636,2%
D,4:00,17335,3%
D,5:00,18490,3%
D,6:00,27603,4%
D,7:00,34680,5%
D,8:00,37333,5%
D,9:00,31605,5%
D,10:00,33505,5%
D,11:00,30866,4%
D,12:00,31717,5%
D,13:00,35357,5%
D,14:00,37505,5%
D,15:00,26366,4%
D,16:00,23657,3%
D,17:00,19398,3%
D,18:00,17818,3%
D,19:00,16636,2%
D,20:00,15491,2%
D,21:00,12100,2%
D,22:00,7999,1%
D,23:00,5055,1%
