Country,Cross-border marginal price [EUR/MWh],Probability density function
AT,−913.60,0.00
DE,−934.15,0.00
CZ,−957.07,0.00
SK,−959.03,0.00
BE,−764.00,0.00
NL,−912.58,0.00
DK,−949.65,0.00
DK,−949.65,0.00
AT,−874.55,0.00
DE,−894.68,0.00
CZ,−917.14,0.00
SK,−919.06,0.00
BE,−728.00,0.00
NL,−873.55,0.00
DK,−909.86,0.00
DK,−909.86,0.00
AT,−835.50,0.00
DE,−855.20,0.00
CZ,−877.20,0.00
SK,−879.08,0.00
BE,−692.00,0.00
NL,−834.51,0.00
DK,−870.07,0.00
DK,−870.07,0.00
AT,−796.45,0.00
DE,−815.73,0.00
CZ,−837.27,0.00
SK,−839.11,0.00
BE,−656.00,0.00
NL,−795.48,0.00
DK,−830.29,0.00
DK,−830.29,0.00
AT,−757.40,0.00
DE,−776.26,0.00
CZ,−797.34,0.00
SK,−799.14,0.00
BE,−620.00,0.00
NL,−756.45,0.00
DK,−790.50,0.00
DK,−790.50,0.00
AT,−718.35,0.00
DE,−736.79,0.00
CZ,−757.41,0.00
SK,−759.17,0.00
BE,−584.00,0.00
NL,−717.42,0.00
DK,−750.71,0.00
DK,−750.71,0.00
AT,−679.29,0.00
DE,−697.32,0.00
CZ,−717.48,0.00
SK,−719.20,0.00
BE,−548.00,0.00
NL,−678.39,0.00
DK,−710.92,0.00
DK,−710.92,0.00
AT,−640.24,0.00
DE,−657.84,0.00
CZ,−677.55,0.00
SK,−679.23,0.00
BE,−512.00,0.00
NL,−639.35,0.00
DK,−671.13,0.00
DK,−671.13,0.00
AT,−601.19,0.00
DE,−618.37,0.00
CZ,−637.61,0.00
SK,−639.25,0.00
BE,−476.00,0.00
NL,−600.32,0.00
DK,−631.34,0.01
DK,−631.34,0.01
AT,−562.14,0.00
DE,−578.90,0.00
CZ,−597.68,0.00
SK,−599.28,0.00
BE,−440.00,0.00
NL,−561.29,0.00
DK,−591.55,0.00
DK,−591.55,0.00
AT,−523.09,0.00
DE,−539.43,0.00
CZ,−557.75,0.00
SK,−559.31,0.00
BE,−404.00,0.00
NL,−522.26,0.00
DK,−551.77,0.00
DK,−551.77,0.00
AT,−484.04,0.00
DE,−499.96,0.00
CZ,−517.82,0.00
SK,−519.34,0.00
BE,−368.00,0.00
NL,−483.23,0.00
DK,−511.98,0.00
DK,−511.98,0.00
AT,−444.99,0.00
DE,−460.48,0.00
CZ,−477.89,0.00
SK,−479.37,0.00
BE,−332.00,0.00
NL,−444.19,0.00
DK,−472.19,0.00
DK,−472.19,0.00
AT,−405.94,0.00
DE,−421.01,0.00
CZ,−437.95,0.00
SK,−439.39,0.00
BE,−296.00,0.00
NL,−405.16,0.00
DK,−432.40,0.00
DK,−432.40,0.00
AT,−366.89,0.00
DE,−381.54,0.00
CZ,−398.02,0.00
SK,−399.42,0.00
BE,−260.00,0.00
NL,−366.13,0.00
DK,−392.61,0.00
DK,−392.61,0.01
AT,−327.84,0.00
DE,−342.07,0.00
CZ,−358.09,0.00
SK,−359.45,0.00
BE,−224.00,0.00
NL,−327.10,0.00
DK,−352.82,0.00
DK,−352.82,0.00
AT,−288.79,0.00
DE,−302.60,0.00
CZ,−318.16,0.00
SK,−319.48,0.00
BE,−188.00,0.00
NL,−288.07,0.00
DK,−313.03,0.00
DK,−313.03,0.01
AT,−249.74,0.00
DE,−263.12,0.00
CZ,−278.23,0.00
SK,−279.51,0.00
BE,−152.00,0.00
NL,−249.03,0.00
DK,−273.25,0.00
DK,−273.25,0.00
AT,−210.68,0.00
DE,−223.65,0.00
CZ,−238.30,0.00
SK,−239.54,0.00
BE,−116.00,0.01
NL,−210.00,0.00
DK,−233.46,0.00
DK,−233.46,0.01
AT,−171.63,0.00
DE,−184.18,0.01
CZ,−198.36,0.00
SK,−199.56,0.00
BE,−80.00,0.03
NL,−170.97,0.00
DK,−193.67,0.00
DK,−193.67,0.00
AT,−132.58,0.01
DE,−144.71,0.02
CZ,−158.43,0.00
SK,−159.59,0.00
BE,−44.00,0.02
NL,−131.94,0.00
DK,−153.88,0.00
DK,−153.88,0.00
AT,−93.53,0.01
DE,−105.24,0.02
CZ,−118.50,0.00
SK,−119.62,0.00
BE,−8.00,0.03
NL,−92.91,0.00
DK,−114.09,0.01
DK,−114.09,0.04
AT,−54.48,0.01
DE,−65.76,0.03
CZ,−78.57,0.00
SK,−79.65,0.00
BE,28.00,0.07
NL,−53.87,0.00
DK,−74.30,0.01
DK,−74.30,0.00
AT,−15.43,0.05
DE,−26.29,0.03
CZ,−38.64,0.00
SK,−39.68,0.00
BE,64.00,0.13
NL,−14.84,0.03
DK,−34.51,0.05
DK,−34.51,0.07
AT,23.62,0.15
DE,13.18,0.10
CZ,1.29,0.07
SK,0.29,0.05
BE,100.00,0.32
NL,24.19,0.05
DK,5.28,0.17
DK,5.28,0.18
AT,62.67,0.19
DE,52.65,0.15
CZ,41.23,0.11
SK,40.27,0.11
BE,135.99,0.20
NL,63.22,0.14
DK,45.06,0.18
DK,45.06,0.16
AT,101.72,0.27
DE,92.12,0.25
CZ,81.16,0.24
SK,80.24,0.21
BE,171.99,0.09
NL,102.25,0.49
DK,84.85,0.25
DK,84.85,0.19
AT,140.77,0.15
DE,131.60,0.14
CZ,121.09,0.24
SK,120.21,0.25
BE,207.99,0.04
NL,141.29,0.19
DK,124.64,0.14
DK,124.64,0.12
AT,179.82,0.10
DE,171.07,0.14
CZ,161.02,0.18
SK,160.18,0.19
BE,243.99,0.01
NL,180.32,0.05
DK,164.43,0.08
DK,164.43,0.05
AT,218.87,0.03
DE,210.54,0.05
CZ,200.95,0.10
SK,200.15,0.12
BE,279.99,0.01
NL,219.35,0.02
DK,204.22,0.05
DK,204.22,0.03
AT,257.92,0.01
DE,250.01,0.02
CZ,240.89,0.03
SK,240.13,0.02
BE,315.99,0.01
NL,258.38,0.01
DK,244.01,0.01
DK,244.01,0.01
AT,296.98,0.01
DE,289.48,0.01
CZ,280.82,0.01
SK,280.10,0.01
BE,351.99,0.00
NL,297.41,0.00
DK,283.80,0.01
DK,283.80,0.00
AT,336.03,0.00
DE,328.96,0.00
CZ,320.75,0.01
SK,320.07,0.01
BE,387.99,0.00
NL,336.45,0.00
DK,323.58,0.01
DK,323.58,0.00
AT,375.08,0.00
DE,368.43,0.00
CZ,360.68,0.00
SK,360.04,0.00
BE,423.99,0.01
NL,375.48,0.00
DK,363.37,0.01
DK,363.37,0.00
AT,414.13,0.00
DE,407.90,0.00
CZ,400.61,0.00
SK,400.01,0.00
BE,459.99,0.00
NL,414.51,0.00
DK,403.16,0.00
DK,403.16,0.02
AT,453.18,0.00
DE,447.37,0.00
CZ,440.54,0.00
SK,439.98,0.00
BE,495.99,0.01
NL,453.54,0.00
DK,442.95,0.00
DK,442.95,0.02
AT,492.23,0.00
DE,486.84,0.00
CZ,480.48,0.00
SK,479.96,0.00
BE,531.99,0.00
NL,492.57,0.00
DK,482.74,0.00
DK,482.74,0.00
AT,531.28,0.00
DE,526.32,0.00
CZ,520.41,0.00
SK,519.93,0.00
BE,567.99,0.00
NL,531.61,0.00
DK,522.53,0.00
DK,522.53,0.00
AT,570.33,0.00
DE,565.79,0.00
CZ,560.34,0.00
SK,559.90,0.00
BE,603.99,0.00
NL,570.64,0.00
DK,562.32,0.00
DK,562.32,0.00
AT,609.38,0.00
DE,605.26,0.00
CZ,600.27,0.00
SK,599.87,0.00
BE,639.99,0.00
NL,609.67,0.00
DK,602.10,0.00
DK,602.10,0.00
AT,648.43,0.00
DE,644.73,0.00
CZ,640.20,0.00
SK,639.84,0.00
BE,675.99,0.00
NL,648.70,0.00
DK,641.89,0.00
DK,641.89,0.00
AT,687.48,0.00
DE,684.20,0.00
CZ,680.14,0.00
SK,679.82,0.00
BE,711.99,0.00
NL,687.73,0.00
DK,681.68,0.00
DK,681.68,0.01
AT,726.53,0.00
DE,723.68,0.00
CZ,720.07,0.00
SK,719.79,0.00
BE,747.99,0.00
NL,726.77,0.00
DK,721.47,0.00
DK,721.47,0.00
AT,765.59,0.00
DE,763.15,0.00
CZ,760.00,0.00
SK,759.76,0.00
BE,783.99,0.00
NL,765.80,0.00
DK,761.26,0.00
DK,761.26,0.00
AT,804.64,0.00
DE,802.62,0.00
CZ,799.93,0.00
SK,799.73,0.00
BE,819.99,0.00
NL,804.83,0.00
DK,801.05,0.00
DK,801.05,0.00
AT,843.69,0.00
DE,842.09,0.00
CZ,839.86,0.00
SK,839.70,0.00
BE,855.99,0.00
NL,843.86,0.00
DK,840.84,0.00
DK,840.84,0.00
AT,882.74,0.00
DE,881.56,0.00
CZ,879.79,0.00
SK,879.67,0.00
BE,891.99,0.00
NL,882.89,0.00
DK,880.62,0.00
DK,880.62,0.00
AT,921.79,0.00
DE,921.04,0.00
CZ,919.73,0.00
SK,919.65,0.00
BE,927.99,0.00
NL,921.93,0.00
DK,920.41,0.00
DK,920.41,0.00
AT,960.84,0.00
DE,960.51,0.00
CZ,959.66,0.00
SK,959.62,0.00
BE,963.99,0.00
NL,960.96,0.00
DK,960.20,0.00
DK,960.20,0.00
AT,999.89,0.00
DE,999.98,0.00
CZ,999.59,0.00
SK,999.59,0.00
BE,999.99,0.00
NL,999.99,0.00
DK,999.99,0.00
